Acronym,Meaning,Source,Source (URL),Catgories/Tags,Contact,URL Link,URL Link (URL),Notes,,Rational for what is included in Acronym List,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCTAC,Canadian Commercial Total Allowable Catch,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,Cumulative Effects,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEBP,Coastal Ecosystem Baseline Program ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Coastal Environmental Baseline Program - Canada.ca,https://www.canada.ca/en/fisheries-oceans/news/2020/11/coastal-environmental-baseline-program.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFN,Coastal First Nations ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNFASR,Canada Nature Fund for Aquatic Species at Risk,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Grants and Contributions ,,Canada Nature Fund for Aquatic Species at Risk (CNFASAR) (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/species-especes/sara-lep/cnfasar-fnceap/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COE,Centre of Expertise,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,DFO Branch/Division/Program/Area,,Centres of expertise (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/science/partnerships-partenariats/coe-cde/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHO ABM ,Coho Abundance-Based Management,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSEWIC,Committee on the Status of Endangered Wildlife in Canada,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,External Committee/Board/Panel etc.,,Cosewic / Cosepac - Home,https://www.cosewic.ca/index.php/en-ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPUE ,Catch Per Unit Effort,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRB,Columbia River Basin,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREST,Catch and Release Estimation Survey Tool ,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSAB ,Commercial Salmon Advisory Board,,,External Committee/Board/Panel etc.,,Commercial Salmon Advisory Board (CSAB) | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/consultation/smon/csab-ccpcs/index-eng.html?wbdisable=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSAF,Commercial Salmon Allocation Framework ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSAP,Centre for Science Advice Pacific ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Centre for Science Advice Pacific | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/science/csap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSAS,Canadian Science Advisory Secretariat,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Government Organization,,Canadian Science Advisory Secretariat (CSAS) (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/csas-sccs/index-eng.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSRS,Catch Statistic Reporting System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTAC ,Canadian Total Allowable Catch,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU ,Conservation Unit,,,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWT,Coded wire tag,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBE,DIfference Between Estimates,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFO,Fisheries and Oceans Canada,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Government Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFO AMD,DFO Aquaculture Management Division,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,DFO Branch/Division/Program/Area,,Aquaculture Management | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/fisheries-management/aquaculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM,Deputy Minister,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMP,Dockside Monitoring Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DU,Designatable Unit,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVS,Departmental Violations System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBM,Ecosystem Based Management,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBSA,Ecological and Biological Sensitive Area,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECVI,East Coast Vancouver Island,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMB,Ecosystems Management Branch,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Ecosystems Management Branch | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/ecosystems-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENPRO,Enhancement Project,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO,Economic Opportunity,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOS ,Ecosystem Ocean Science,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAD,Enhancement Planning and Assessment,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PRO,Enhancement Program,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER,Exploitation Rate,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERAF,Ecological Risk Assessment Framework,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,Ecosystem Stressors,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESD,Ecosystem Science Division,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,About the Pacific Region Science branch | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSR,Excess Salmon to Spawning Requirement,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA,Fisheries Act ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTAP,Fisheries and Aquaculture Clean Technology Adoption Program ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,Fisheries and Aquaculture Clean Technology Adoption Program (FACTAP) (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/aquaculture/business-entreprises/factap-patppa-eng.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEATS,Fisheries Enforcement Activity Tracking System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFHPP,Fish and Fish Habitat Protection Program,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,The Fish and Fish Habitat Protection Program (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/pnw-ppe/ffhpp-ppph-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGP,Federal Geospatial Portal,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,GCgeo,https://gcgeo.gc.ca/en/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH,Fish Health Database,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHAS,Fish Health Audit and Surveillance System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIA,Fraser Interior Area,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM,Fisheries Management Branch,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Fisheries Management | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/fisheries-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN ,First Nation,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNFC,First Nations Fisheries Council ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,First Nations Fisheries Council (fnfisheriescouncil.ca),https://www.fnfisheriescouncil.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNS,First Nations Summit,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,First Nations Summit (fns.bc.ca),https://fns.bc.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FO,Fisheries Officer,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,Fishery Operations System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS_ISE,Fishery Operations System - Commercial Salmon In-season Estimates,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS_PSE,Fishery Operations System - Commercial Salmon Post-season Estimates,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIS,Fisheries Regulations Information System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRP,Fraser River Panel,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,External Committee/Board/Panel etc.,,Fraser River Panel - Pacific Salmon Commission (psc.org),https://www.psc.org/about-us/structure/panels/fraser-river/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRRA,Fisheries Resources Reconciliation Agreement ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRSSI,Fraser River Sockeye Salmon Initiative,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSC,"Food, Social and Ceremonial",Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSCMA,Fraser Salmon Collaborative Management Agreement,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSMB,Fraser Salmon Management Board,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,» Fraser Salmon Management Board FSMB,https://frasersalmon.ca/collaborative-management-agreement/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSMC,Fraser Salmon Management Council,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Indigenous,,https://frasersalmon.ca,https://frasersalmon.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G&C,Grants and Contributions,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Grants and Contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
