Inventory_ID,Approved_By,Data_Asset_Name,Data_Asset_Steward,Data_Asset_Sorting_Category,Operational_Or_Analytical_Data,Data_Asset_Acronym,Data_Asset_Description,APM_ID,Non_Salmon_Data,Data_Asset_Status,Data_Asset_Format,Data_Type,Data_Asset_Location,Data_Asset_Trustee,Data_Asset_Custodian,Application_Data_Asset_Is_Associated_With,Application_Description,Technical_Documentation,Access_Point,Policy_Levers_Data_Asset_Supports,Key_Decisions,Impact_to_DFO_Data_Consumers,Decision_Supporting_Key_Products,Impact_on_Decision_Making,Uniqueness,Cost,Data_Asset_Size,Update_Frequency,Data_Standards,Metadata_Maturity,Data_Quality_Rating,Naming_Conventions,Security_Classification,Inbound_Data_Linkage,Outbound_Data_Linkage,Publication_Status,,,,,,,,,,,,,,,,,
26,,Fish Health Audit and Surveillance System,"
O'Grady, Chris
Sandberg, Krista",1,Operational,FHAS,Aquaculture Fish Health Management tool. Will be replaced with AHEAD. Will be in production for another quarter and availbe for another year.,519,,Production,.Net Framework,Structured,DFO Server,Fisheries and Harbour Management-Fisheries Resource Management,,Fish Health Audit and Surveillance System - FHAS,Same as database component,,,Not defined,,,,,,,,,,,,,,,,,,,,,Integration - Multiple,,,,,,,,,,,,
27,,Fish Health Database,"Christy Thompson, 
Higgins, Mark",1,Analytical,FH_Database,"Published in FGP and Open Data Inventory ID ODI-2017-0314
The Fish Pathology Program (FPP) located at the Pacific Biological Station in Nanaimo has been assessing the health of aquatic animals since the early 1970’s. Utilizing traditional diagnostic methods, the FPP has supported internal and external clients to provide clinical data and management advice on the health of aquatic animals. The dataset contains information from diagnostic fish health cases coming from the Salmonid Enhancement Program, Research, Public and I&T submissions. Data contained in the database includes pathogen findings from submitted cases from all of the Pacific Region. The publication of The Fish Health Database will comply with public release recommendations documented in recommendation twenty two, made in volume three of the Final Report (October 2012) submitted by the Cohen Commission of Inquiry into the Decline of the Sockeye Salmon in the Fraser River.",N/A,Yes,Production,MS Access,Structured,Desktop/Shared Drive,Ecosystems and Ocean Science - Aquatic Animal Health Program,Christy Thompson,Fish Health Database,Same as db description,Talk to Christy,Accessed through one machine,Enhancement - Multiple,Data collected informs the DFO vets medical diagnosis so they can prescribe treatments or other interventions; decisions are usually treatments for disease in hatcheries. Most of fish analyzed are for SEP hatcheries but also include wild fish. ,"SEP, Science: end users would have impact on ability to operate make decisions. Not large impact.",CFIA Reporting - have to report certain pathogens.,"30-50%
Database is used for analytical purposes i.e. looking at trends, not for day to day decisions.",No,"Invaluable
Data goes back to 1970s",Ask Christy Thompson,Quarterly,Yes,No,,No,Protected B,No,No,"Yes
Open Data",,,,,Not defined,,,,,,,,,,,,
29,,Fisheries Enforcement Activity Tracking System,"Melanson, Lise",1,,FEATS,"NCR - National System - not Pacific region managed data asset
R1377955
Activity and results tracking (front line Fishery Officers)
R1294355 - Moved under product C&P APPS",521,,Production,Oracle database,,DFO Server,Aquatic Ecosystems-Ecosystems Management - NCR,"Souliere, Allen / Markevicius, Feliksas / ",Fisheries Enforcement Activity Tracking System - FEATS,Same as database component,,,Not defined,,,,,,,,,,,,,,NETS,,,,,,,,,,,,,,,,,,,
30,,Fisheries Regulations Information System,"Markevicius, Felix
Hornby, Greg",1,Operational,FRIS,"Provides real-time regulations information to fishers regarding fishery changes such as openings and closures, contamination notices, variation and prohibition orders. Internal application that feeds DFO's online Sport Fishing Guide and external/3rd party Mobile apps (via an API).",1276,Yes,Production,Oracle database,Structured,DFO Server,Resource Management and Sustainability (Pacific),"







Bryn Tassel",Fisheries Regulations Information System - including mobile app,Same as Data_Asset_Description,"Documentation includes - User Guides, System Operations, Developer Guide, API Guide, System Architecture, Physical Database Design","1) http://paccfprodin/fris/#dashboard
2) http://paccfprodin/fris2/#dashboard
3) FRIS API URLs:
•	SOAP:  
https://www-ops2.pac.dfo-mpo.gc.ca/frisexternalservices/FrisExternalService.svc?wsdl
•	REST:  
Operations at https://www-ops2.pac.dfo-mpo.gc.ca/frisExternalServices/FrisExternalService.svc/rest",Harvest - Recreational,"FRIS supports Variation Order (VO) authorization (by RDG) and VO processing by DFO Regulations Staff for tidal water recreational fisheries, and the subsequent posting of these regulation changes to DFO's online Sport Fishing Guide and to external/3rd party mobile Apps.","(1) Recreational Fishing Program, Resource Management and Sustainability, FIsheries Management
(2) Policy and Regulations, Conservation and Protection, Fisheries Management",DFO's Sport Fishing Guide,"50% - Recreational fishers would not have easy access to up-to-date regulations data, which changes frequently; could potentially access data via Fishery Notice as an alternate data delivery mechanism - or - manually updated HTML pages. VO authorization and processing would return to manual processes.",No,2,1.5,Real-time,Yes,Yes,High,Yes,Protected A,No,"Yes
(1) DFO's Sport Fishing Guide;
(2) DFO's Fishery Notification System","Yes
(1) DFO's Sport Fishing Guide;
(2) DFO's Fishery Notification System;
(3) the Sport Fishing Institute's moble app - FishingBC",,,,,,,,,,,,,,,,,
35,,Aboriginal Contribution Agreements Tracking System,"Whyte, Lourdes",1,,ACATS,Manage various habitat projects worked on by Aboriginal groups.,237,,Decommissioned,Oracle database,,DFO Server,,"Souliere, Allen / Wang, Hai ",Aboriginal Contribution Agreements Tracking System - ACATS,,,,Harvest - Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,fry survey,Maybe the same asw ATS (acoustic trawl),1,,,"Database does not exist.
extensive juvinile monitoring prgm, enumeration vs density",,,,Shared Drive - salmon drive,,Desktop/Shared Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,FSC Managers' Database,"Rushton, Aleta",1,Operational,N/A,"Once imported into KREST (by the end of fiscal year 2022/2023) will be decommissioned .
South Coast FSC data reported directly from First Nations to DFO. Includes all species, not just salmon. Holds about 5 years worth of data from 2012-2017. ",N/A,Yes,Production,MS Access,Structured,Desktop/Shared Drive,Ecosystems and Fisheries Management,"Conley, Kevin",Kept and Released Estimation Survey Tool - KREST (will be imported to KREST),,no,Acess to DFO network Drive ,Harvest - Indigenous,"Used in fisheries management/resource sharing decisions (such as opening, closures, quota management) allocation decisions and analysis, enforcement (C&P) and policy analysis. ","Science (stock assessment), R&P, FM (fishery managers)","Informs PSC reports for PST obligations, IFMP  
Forecasting, stock assessment, exploitation rate analysis, catch estimate reports",60-80,No,n/a,0.003,N/A,Yes,Yes,Medium,Yes,Protected A,No,No,No,,,,,,,,,,,,,,,,,
45,,Grants and Contributions Agreement Tracking System,"Norrena, Richard",1,,GCATS,"NCR - National System - not Pacific region managed data asset
The Aboriginal Programs and Governance Information System (APGIS) is a national information system developed to aid DFO staff and management as they administer and manage DFO contributions agreements transfer payment programs. APGIS (Aboriginal Programs and Governance Information System)/SIPGA changed to Grants and Contributions Agreement Tracking System (GCATS) / Système de suivi des accords de subvention et de contribution (SSASC).Windows.Net Framework",,,Production,.Net Framework,,DFO Server,NCR - Fisheries and Harbour Management,,Grants and Contributions Agreement Tracking System - GCATS,,,,Not defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,"Juvenile Pacific Salmon database, Strait of Georgia","Neville, Chrys",1,,,"The juvenile Pacific salmon database, Strait of Georgia, is comprised of biological information from marine trawl surveys conducted annually in the Strait of Georgia and associated waters from 1998 to the present. Published in Open Data Inventory ID ODI-2017-0457, not published in the FGP.
",,,,"Excel, Access, CSV, ESRI REST",,,Ecosystems and Ocean Science,,NuSEDS?,,,,,,,,,,,,Monthly,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
51,,Kept and Released Estimation Survey Tool,"Yu, Faith (SDC)",1,Both,KREST,"The KREST system manages both raw and estimated Recreational and First Nations Food Social and Ceremonial catch and effort data in the Pacific Region, providing a web UI for data entry, reporting, administration and detailed analysis of the data. KREST includes two remote data collection applications: KREST Remote and AHMS. Web services also exist to synchronizing data, pushing out standard lookup table data and pulling in catch and effort data from remote systems. Integrates with other DFO applications including NSLIS, NRLS, Reference Data System.",355,Yes,Production,Oracle database,Structured,DFO Server,Fisheries and Harbour Management - Fisheries Resource Management,"Yu, Faith",Kept and Released Estimation Survey Tool - KREST,,"There are a suite of instruction manuals for the three main system components (KREST User Interface, KREST Remote, and AHMS). Documentation available in Confluence.","KREST Test: http://kresttstin/KREST/ 

KREST Production: krestprdin.ent.dfo-mpo.ca/KREST/",Harvest - Multiple,"Used in fisheries management/resource sharing decisions (such as opening, closures, quota management) allocation decisions and analysis, enforcement (C&P) and policy analysis. ","Science (stock assessment), R&P, FM (fishery managers)","Informs PSC reports for PST obligations, IFMP  
Forecasting, stock assessment, exploitation rate analysis, catch estimate reports",30-50,Yes,2,20,Daily,Yes,Yes,High,Yes,Protected B,"Maa-nulth Treaty Catch Database, FSC Managers' Database, AHMS (send/receive), CREST, MERCI, NRLS, NSLIS, RefData, KREST Remote (send/receive), PacAdmin",None,No,,,,,,,,,,,,,,,,,
52,,La Perouse acoustic-trawl survey.,"Boldt, Jennifer",1,,,"The main goal of the La Perouse acoustic-trawl survey was to understand factors affecting the distribution, relative abundance, and trophodynamics of pelagic fish (especially herring) and prey species (small fish, zooplankton). The operational objectives included examining the relative abundance and distribution of pelagic fish in an area where herring have historically aggregated in the summer. 
During 2013-2015, acoustic data were collected along parallel transects in a core survey area off the southwest coast of Vancouver Island. The area was bounded inshore by approximately the 50 m isobath and bounded offshore in the south and west by the 200 m isobath (general maximum depth distribution of herring). The northern boundary was based on historical surveys and known distributions of herring. Transect locations were placed from a random starting point and spaced 6 nmi apart. A second set of transects was offset from the first set by half the distance between transects. Data were collected along extra transects north of the core survey area to explore the validity of the northern boundary. 
Acoustic data were collected with a SIMRAD EK60 scientific echo sounder operating at 18 kHz, 38 kHz, and 120 kHz. Acoustic echosign was verified using a midwater trawl net (which was often equipped with net cameras to help identify specific layers in the water column) to collect small representative samples of animals. Trawl net catch per unit effort and catch weight and composition were recorded.  Most catches included herring, hake, and pollock; salmon were present in some catches, but were not commonly caught.  Data from net hauls and catches are held by Jennifer Boldt; acoustic data are held by Stephane Gauthier.  
",,Yes,,MS Access,Structured,,Ecosystems and Ocean Science,Stephane Gauthier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Maa-nulth Treaty Catch Database,"Saraga, Rachel",1,Both,MERP,"
MERP is a series of 5 databases that must be individually updated and then merged together to produce a summary for DFO. This is inconvenient for the users. MERP is being replaced with a new regional solution in AHMS in fiscal 2023/2024 year that will be cloud-based and allow all users to update their catches independently and produce a real time updated summary. MERP data planned to be migrated into KREST. ",N/A,Yes,Production,Excel ,Structured,Desktop/Shared Drive,Ecosystems and Fisheries Management,nil,Kept and Released Estimation Survey Tool - KREST,Same as db description,MERP User Manual Version 2013.02, http://pacfish.ca/dfo_fsc/,Harvest - Indigenous,"Supports Maa-nulth Domestic Harvest accounting decisions, which influence access to overages/underages in subsequent years. Can be used for assessing catch and effort relative to domestic allocations and access, assignment of stock composition needed for run reconstructions Treaty obligations. ","Science (stock assessment), R&P, FM (fishery managers)","Post-season review, IFMP, MRP",N/A - will be replace by AHMS in fiscal 2023/24,N/A - will be replace by AHMS in fiscal 2023/25,N/A - will be replace by AHMS in fiscal 2023/26,N/A - will be replace by AHMS in fiscal 2023/27,Ad-hoc,N/A - will be replace by AHMS in fiscal 2023/27,N/A - will be replace by AHMS in fiscal 2023/28,N/A - will be replace by AHMS in fiscal 2023/29,N/A - will be replace by AHMS in fiscal 2023/30,Protected B,N/A,KREST,No,,,,,,,,,,,,,,,,,
