Y_LAT,X_LONGT,River,CUName,CUNameSPP,CUIndex,Outlook,SMU,,,,,
50.87100454,-126.1649736,,,,,,,,,,,
50.87719802,-126.1663964,Ahta Valley Creek,SOUTHERN COASTAL STREAMS,CM,CM-8,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.87719802,-126.1663964,Ahta Valley Creek,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.87719802,-126.1663964,Ahta Valley Creek,SOUTHERN FJORDS,PI,PKO-7,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.87719802,-126.1663964,,,,,,,,,,,
53.73695665,-132.424368,Ain River,HG-GRAHAM ISLAND LOWLANDS,CO,CO-25,,,,,,,
53.73695665,-132.424368,Ain River,NORTH HAIDA GWAII,CM,CM-24,Haida Gwaii,HAIDA GWAII CHUM SALMON,,,,,
53.73695665,-132.424368,Ain River,NORTH HAIDA GWAII,PI,PKO-10,Haida Gwaii – Odd & Even,HAIDA GWAII PINK SALMON,,,,,
53.73695665,-132.424368,Ain River,AIN/SKUNDALE/IAN,SO,SEL-17-01,,,,,,,
53.73695665,-132.424368,,,,,,,,,,,
54.30643643,-130.4071661,Airport Dock Creek,SKEENA ESTUARY,CO,CO-31,Area 5,NASS COHO SALMON,,,,,
52.38946602,-126.5736888,Airport Side Channel,BELLA COOLA RIVER-LATE,CM,CM-17,Areas 7 to 10,CENTRAL COAST CHUM SALMON,,,,,
52.38946602,-126.5736888,Airport Side Channel,BELLA COOLA-DEAN RIVERS,CO,CO-22,Areas 7 to 10,CENTRAL COAST COHO SALMON,,,,,
52.38946602,-126.5736888,Airport Side Channel,HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN,PI,PKO-8,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
52.38946602,-126.5736888,,,,,,,,,,,
54.12901782,-129.1878075,Alastair Lake,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
54.12901782,-129.1878075,Alastair Lake,ALASTAIR,SO,SEL-20-01,,,,,,,
52.47949897,-119.1307005,Albreda River,NORTH THOMPSON,CO,CO-9,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
52.47949897,-119.1307005,Albreda River,NORTH THOMPSON_SP_1.3,CN,CK-18,Fraser River Spring Run 52,FRASER SPRING RUN 52 CHINOOK SALMON,,,,,
52.43660194,-131.3144802,Alder Island Creek,EAST HG,CM,CM-21,Haida Gwaii,HAIDA GWAII CHUM SALMON,,,,,
52.43660194,-131.3144802,Alder Island Creek,HG-EAST,CO,CO-23,,,,,,,
52.43660194,-131.3144802,,,,,,,,,,,
54.67929384,-128.7542137,Alice Creek,LOWER SKEENA,CM,CM-27,Skeena,SKEENA COHO SALMON,,,,,
54.67929384,-128.7542137,Alice Creek,LOWER SKEENA,PI,PKO-15,North Coast Areas 3 to 6 – Odd & Even,SKEENA/NASS PINK SALMON,,,,,
54.67929384,-128.7542137,Alice Creek,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
54.67929384,-128.7542137,Alice Creek,KITSUMKALUM,SO,SEL-20-06,,,,,,,
51.18836281,-126.9162938,Alison River,SOUTHERN COASTAL STREAMS,CM,CM-8,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
51.18836281,-126.9162938,Alison River,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
51.46467036,-127.3272446,Allard Creek,HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN,PI,PKO-8,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
51.46467036,-127.3272446,Allard Creek,RIVERS INLET,CO,CO-21,Areas 7 to 10,CENTRAL COAST COHO SALMON,,,,,
51.46467036,-127.3272446,Allard Creek,SMITH INLET,CM,CM-12,Areas 7 to 10,CENTRAL COAST CHUM SALMON,,,,,
51.46467036,-127.3272446,,,,,,,,,,,
50.88183911,-126.8292269,Allardyce Creek,SOUTHERN COASTAL STREAMS,CM,CM-8,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.88183911,-126.8292269,Allardyce Creek,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
49.71230876,-126.5382397,Almond Lagoon Creek,SOUTHWEST VANCOUVER ISLAND,CM,CM-10,WCVI,WCVI CHUM SALMON,,,,,
49.26454603,-122.7073541,Alouette River,FRASER RIVER,PI,PKO-1,Fraser – Odd only,FRASER PINK SALMON - ODD,,,,,
49.26454603,-122.7073541,Alouette River,LOWER FRASER,CM,CM-2,Fraser River,FRASER CHUM SALMON,,,,,
49.26454603,-122.7073541,Alouette River,LOWER FRASER,CO,CO-47,Lower Fraser,LOWER FRASER COHO SALMON,,,,,
49.26454603,-122.7073541,,,,,,,,,,,
49.26454603,-122.7073541,,,,,,,,,,,
53.86273332,-130.2780702,Alpha Creek,HECATE STRAIT MAINLAND,CO,CO-27,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
53.86273332,-130.2780702,Alpha Creek,NASS-SKEENA ESTUARY,PI,PKO-14,North Coast Areas 3 to 6 – Odd & Even,SKEENA/NASS PINK SALMON,,,,,
53.86273332,-130.2780702,Alpha Creek,NORTHERN COASTAL STREAMS,SO,SER-17,,,,,,,
53.86273332,-130.2780702,Alpha Creek,SKEENA ESTUARY,CM,CM-26,,,,,,,
53.86273332,-130.2780702,,,,,,,,,,,
59.43787366,-137.9587683,Alsek River,ALSEK RIVER,SO,SER-24,,,,,,,
59.43787366,-137.9587683,,,,,,,,,,,
53.80551192,-129.8463393,Alvin Creek,HECATE LOWLANDS,CM,CM-18,Fall – Lower Fraser,FRASER SOCKEYE SALMON - LATE,,,,,
53.80551192,-129.8463393,Alvin Creek,HECATE STRAIT MAINLAND,CO,CO-27,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
54.46554942,-128.737243,Alwyn Creek,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
54.46554942,-128.737243,,,,,,,,,,,
50.02361461,-127.0768594,Amai Creek,SOUTHWEST VANCOUVER ISLAND,CM,CM-10,WCVI,WCVI CHUM SALMON,,,,,
50.02361461,-127.0768594,Amai Creek,WEST VANCOUVER ISLAND,SO,SER-10,,,,,,,
50.02361461,-127.0768594,Amai Creek,WEST VANCOUVER ISLAND,PI,PKO-6,WCVI – Odd & Even,WCVI PINK SALMON,,,,,
50.02361461,-127.0768594,Amai Creek,WEST VANCOUVER ISLAND,CO,CO-17,WCVI,WCVI COHO SALMON,,,,,
50.02361461,-127.0768594,Amai Creek,WEST VANCOUVER ISLAND-NOOTKA AND KYUQUOT_FA_0.x,CN,CK-32,,,,,,,
50.02361461,-127.0768594,,,,,,,,,,,
51.69780864,-127.0435524,Amback Creek,HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN,PI,PKO-8,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
51.69780864,-127.0435524,Amback Creek,RIVERS INLET,CM,CM-13,Areas 7 to 10,CENTRAL COAST CHUM SALMON,,,,,
51.69780864,-127.0435524,Amback Creek,RIVERS INLET,CO,CO-21,Areas 7 to 10,CENTRAL COAST COHO SALMON,,,,,
51.69780864,-127.0435524,Amback Creek,OWIKENO-LATE TIMING,SO,SEL-15-03,,,,,,,
51.69780864,-127.0435524,,,,,,,,,,,
51.69780864,-127.0435524,American Bay Creek,SKEENA ESTUARY,CO,CO-31,Area 5,NASS COHO SALMON,,,,,
54.60628677,-130.7556709,,,,,,,,,,,
54.60628677,-130.7556709,,,,,,,,,,,
49.43259386,-121.4376428,American Creek,FRASER CANYON,CO,CO-5,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
49.43259386,-121.4376428,American Creek,FRASER RIVER,PI,PKO-1,Fraser – Odd only,FRASER PINK SALMON - ODD,,,,,
49.43259386,-121.4376428,American Creek,INTERIOR FRASER<<BIN>>,CM,CM-9004,,,,,,,
49.43259386,-121.4376428,,,,,,,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,SO,SER-08,,,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT,PI,PKO-4,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-14,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CN,CK-29,,,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,NORTHEAST VANCOUVER ISLAND,CM,CM-5,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.35819095,-125.6869622,Amor De Cosmos Creek,NORTHEAST VANCOUVER ISLAND,CM,CM-5,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.35819095,-125.6869622,,,,,,,,,,,
54.34872215,-128.5934167,Andalas Creek,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
54.34872215,-128.5934167,Andalas Creek,LAKELSE,SO,SEL-20-07,,,,,,,
49.63934365,-123.9834818,Anderson Creek,DOUGLAS CHANNEL-KITIMAT ARM,CO,CO-29,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
54.03225156,-128.6854045,Anderson Creek,DOUGLAS-GARDNER,CM,CM-20,Coastal Areas 5 & 6,CENTRAL COAST CHUM SALMON,,,,,
54.03225156,-128.6854045,Anderson Creek,GEORGIA STRAIT,CM,CM-4,Georgia Strait,INNER SOUTH COAST CHUM SALMON,,,,,
54.03225156,-128.6854045,Anderson Creek,GEORGIA STRAIT MAINLAND,CO,CO-11,Georgia Strait,STRAIT OF GEORGIA COHO SALMON,,,,,
49.63934365,-123.9834818,Anderson Creek,HECATE STRAIT-FJORDS,PI,PKO-13,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
54.03225156,-128.6854045,Anderson Creek,NORTHERN COASTAL FJORDS,SO,SER-16,,,,,,,
54.03225156,-128.6854045,,,,,,,,,,,
54.03225156,-128.6854045,,,,,,,,,,,
49.20465421,-121.7355532,Anderson Creek Channel,FRASER CANYON,CO,CO-5,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
50.54815674,-122.4688024,Anderson Lake-Shore Spawners,ANDERSON/SETON-EARLY SUMMER TIMING,SO,SEL-06-01,,,,,,,
49.84240911,-121.4385973,Anderson River,FRASER CANYON,CO,CO-5,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
49.84240911,-121.4385973,Anderson River,FRASER RIVER,PI,PKO-1,Fraser – Odd only,FRASER PINK SALMON - ODD,,,,,
49.84240911,-121.4385973,Anderson River,INTERIOR FRASER<<BIN>>,CM,CM-9004,,,,,,,
49.84240911,-121.4385973,Anderson River,MIDDLE FRASER-FRASER CANYON_SP_1.3,CN,CK-8,,,,,,,
54.37924152,-129.1260577,Andesite Creek,LOWER SKEENA,CM,CM-27,Skeena,SKEENA COHO SALMON,,,,,
54.37924152,-129.1260577,Andesite Creek,LOWER SKEENA,PI,PKO-15,North Coast Areas 3 to 6 – Odd & Even,SKEENA/NASS PINK SALMON,,,,,
54.37924152,-129.1260577,Andesite Creek,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
54.37924152,-129.1260577,Andesite Creek,SKEENA RIVER,SO,SER-18,,,,,,,
54.37924152,-129.1260577,,,,,,,,,,,
54.37924152,-129.1260577,,,,,,,,,,,
49.10099138,-121.6276484,Angel-Wing Channel,LOWER FRASER,CO,CO-47,Lower Fraser,LOWER FRASER COHO SALMON,,,,,
53.31744492,-128.8829899,Angler Cove Creek,DOUGLAS-GARDNER,CM,CM-20,Coastal Areas 5 & 6,CENTRAL COAST CHUM SALMON,,,,,
53.31744492,-128.8829899,Angler Cove Creek,HECATE STRAIT-FJORDS,PI,PKO-13,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
53.31744492,-128.8829899,Angler Cove Creek,NORTHERN COASTAL FJORDS,SO,SER-16,,,,,,,
53.31744492,-128.8829899,Angler Cove Creek,NORTHERN COASTAL STREAMS,CO,CO-30,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
53.31744492,-128.8829899,,,,,,,,,,,
49.09076737,-125.5178432,Angora Creek,CLAYOQUOT,CO,CO-18,WCVI,WCVI COHO SALMON,,,,,
49.09076737,-125.5178432,Angora Creek,KENNEDY,SO,SEL-13-14,,,,,,,
49.50957915,-123.7562721,Angus Creek,GEORGIA STRAIT,CM,CM-4,Georgia Strait,INNER SOUTH COAST CHUM SALMON,,,,,
49.50957915,-123.7562721,Angus Creek,GEORGIA STRAIT,PI,PKO-3,Georgia Strait – East – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
49.50957915,-123.7562721,Angus Creek,GEORGIA STRAIT MAINLAND,CO,CO-11,Georgia Strait,STRAIT OF GEORGIA COHO SALMON,,,,,
49.50957915,-123.7562721,Angus Creek,SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x,CN,CK-20,,,,,,,
55.65765912,-126.1917469,Ankwill Creek,TAKLA/TREMBLEUR-EARLY STUART TIMING,SO,SEL-06-14,,,,,,,
55.03459195,-129.5736131,Anliyen Creek,LOWER NASS,CO,CO-35,Area 3,NASS COHO SALMON,,,,,
52.70334177,-131.8487498,Anna Inlet Creek,EAST HAIDA GWAII,SO,SER-13,,,,,,,
52.70334177,-131.8487498,Anna Inlet Creek,EAST HAIDA GWAII,PI,PKO-9,Haida Gwaii – Odd & Even,HAIDA GWAII PINK SALMON,,,,,
52.70334177,-131.8487498,Anna Inlet Creek,EAST HG,CM,CM-21,Haida Gwaii,HAIDA GWAII CHUM SALMON,,,,,
52.70334177,-131.8487498,Anna Inlet Creek,HG-EAST,CO,CO-23,,,,,,,
52.70334177,-131.8487498,,,,,,,,,,,
49.38691719,-124.5878871,Annie Creek,EAST VANCOUVER ISLAND-GEORGIA STRAIT,CO,CO-13,Georgia Strait,STRAIT OF GEORGIA COHO SALMON,,,,,
49.38691719,-124.5878871,Annie Creek,GEORGIA STRAIT,CM,CM-4,Georgia Strait,INNER SOUTH COAST CHUM SALMON,,,,,
55.13818941,-129.3581021,Ansedagan Creek,LOWER NASS,CM,CM-31,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
55.13818941,-129.3581021,Ansedagan Creek,LOWER NASS,CO,CO-35,Area 3,NASS COHO SALMON,,,,,
55.13818941,-129.3581021,Ansedagan Creek,LOWER NASS-PORTLAND,SO,SER-20,,,,,,,
55.13818941,-129.3581021,Ansedagan Creek,NASS-PORTLAND-OBSERVATORY,PI,PKO-17,North Coast Areas 3 to 6 – Odd & Even,SKEENA/NASS PINK SALMON,,,,,
55.13818941,-129.3581021,,,,,,,,,,,
51.13123921,-118.8994306,Anstey River,SOUTH THOMPSON,CO,CO-8,Interior Fraser,INTERIOR FRASER COHO SALMON,,,,,
51.13123921,-118.8994306,Anstey River,SHUSWAP COMPLEX-EARLY SUMMER TIMING,SO,SEL-09-02,,,,,,,
51.13123921,-118.8994306,Anstey River,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
51.1292683,-118.9053189,Anstey River - Shore,SHUSWAP COMPLEX-LATE TIMING,SO,SEL-09-03,,,,,,,
54.23854032,-129.8539466,Antigonish Creek,LOWER SKEENA,CO,CO-32,Skeena – Nass,SKEENA-NASS CHUM SALMON,,,,,
53.25874914,-121.4120166,Antler Creek,UPPER FRASER RIVER_SP_1.3,CN,CK-12,Fraser River Spring Run 52,FRASER SPRING RUN 52 CHINOOK SALMON,,,,,
53.25874914,-121.4120166,Antler Creek,BOWRON-EARLY SUMMER TIMING,SO,SEL-07-01,,,,,,,
55.08444337,-129.4460696,,,,,,,,,,,
49.83124953,-126.9055273,Apple Creek,SOUTHWEST VANCOUVER ISLAND,CM,CM-10,WCVI,WCVI CHUM SALMON,,,,,
49.83124953,-126.9055273,Apple Creek,WEST VANCOUVER ISLAND,PI,PKO-6,WCVI – Odd & Even,WCVI PINK SALMON,,,,,
49.83124953,-126.9055273,Apple Creek,WEST VANCOUVER ISLAND,CO,CO-17,WCVI,WCVI COHO SALMON,,,,,
49.83124953,-126.9055273,Apple River,LOUGHBOROUGH,CM,CM-6,Johnstone Strait Area and Mainland Inlets (Areas 11 to 13),INNER SOUTH COAST CHUM SALMON,,,,,
50.71714098,-125.4143049,Apple River,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,CO,CO-12,Area 13 – North,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,
50.71714098,-125.4143049,Apple River,SOUTHERN FJORDS,SO,SER-09,,,,,,,
50.71714098,-125.4143049,Apple River,SOUTHERN FJORDS,PI,PKO-7,Areas 11 to 13 – Odd & Even,ECVI/MAINLAND PINK SALMON ,,,,,
50.71714098,-125.4143049,Apple River,SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x,CN,CK-28,,,,,,,
50.71714098,-125.4143049,,,,,,,,,,,
50.71714098,-125.4143049,,,,,,,,,,,
52.90491729,-129.0297843,Argyh Creek,HECATE LOWLANDS,CM,CM-18,Coastal Areas 5 & 6,CENTRAL COAST CHUM SALMON,,,,,
52.90491729,-129.0297843,Argyh Creek,HECATE STRAIT MAINLAND,CO,CO-27,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
52.90491729,-129.0297843,Argyh Creek,HECATE STRAIT-LOWLANDS,PI,PKO-12,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
52.90491729,-129.0297843,,,,,,,,,,,
52.97248967,-128.6813964,Arnoup Creek,HECATE LOWLANDS,CM,CM-18,Coastal Areas 5 & 6,CENTRAL COAST CHUM SALMON,,,,,
52.97248967,-128.6813964,Arnoup Creek,HECATE STRAIT MAINLAND,CO,CO-27,Areas 5 and 6,CENTRAL COAST COHO SALMON,,,,,
52.97248967,-128.6813964,Arnoup Creek,HECATE STRAIT-FJORDS,PI,PKO-13,Areas 7 to 10 – Odd & Even,CENTRAL COST PINK SALMON,,,,,
52.97248967,-128.6813964,Arnoup Creek,NORTHERN COASTAL FJORDS,SO,SER-16,,,,,,,
52.97248967,-128.6813964,,,,,,,,,,,
