STAR#-deleted - my reference only,Agreement_Number,Agreement_Database,Agreement Status,Agreement Status Comment, Agreement Lineage,Funding_Source,Agreement Type,Agreement Cost,Salmon-relevant cost,Project Lead Organization,Agreement Key Element/Activity-delete for my purposes only,Fund Years,PROJECT NAME,Project Description,Project Start Date,Project End Date,Region,Ecosystem Type,Primary River,Secondary River,Lake System,Watershed Name,Lat,Long,DFO Management Area,SMU Name,CUIndex,CUName,Species,Species Comment,Salmon Life Cycle,Project Phase,Project_Type,Project_Subtype,Monitoring_Approach,Project_Theme,Project_Core_Element,Project_Supportive_Element,Project Purpose,Category Comments,Links to other DFO Programs,Linked DFO Program Project Reference,Links to other Government Organizations,Government Organization Reference,Policy and Program Connections,DFO Project Authority,DFO Aboriginal Affairs Advisor,Area Chief,DFO Resource manager,First Nations,Primary First Nations Contact,Primary First Nations Contact Role,Other First Nations Contact,Other First Nations Contact Role,DFO Biologists or Technicians,Others,Partners,Partners Primary Contact,Contractors,Contractors Primary Contact,Method Type,Method Type,Method Type,Location/Organization responsible for Scale Processing,Location/Organization responsible for Otolith Processing,Location/Organization responsible for DNA Processing,Location/Organization responsible for Heads Processing,Location/Organization responsible for Instrument Data Processing,Data Entry Method Type,Method Document Type,Author,Year,Title,Reference Number,Link to Document,Samples Collected,Samples Collected Comment,Samples Collected Database,Barrier to sample collection?,Were sample collection data entered into database?,Wad sample data quality check complete?,Person responsible for data quality check,,Barriers to data checks/enter into database,Sample Collection Formats,Data Products,Data Products Database,Data Products Comment,Data Programs,How was data communicated back to funding recipient?,Report Timeline,Report Limitations and concerns,Report Types,Document Name,Document Owner/Author,Document Location,Document Reference Information,Document Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,AFS2017-MLT-1731-5-A4,APGIS,Certified,Unknown,AFS2017-MLT-1731-4,AFS,FORMAL AGREEMENT,,"$30,140.00",FIRST NATIONS,A4,2020,Quesnel Coho Counts Using Sonar,"Task Description:1.The Organization will install and maintain two SONAR units (one on each bank) with deflection fences at the Quesnel Research facility sonar site on the Quesnel River from approximately September 28 to November 6, 2020. 2.The Organization will download data and conduct immediate counts of the first 20 minutes of each hour. Further counts will be conducted as time allows.3.The Organization will provide bi-weekly data to DFO, using an Excel spreadsheet provided by DFO. DFO will provide training on how to complete the Excel spreadsheet and the requirements for in-season reporting.",4/1/2017,31/3/2022,FIA,FRESHWATER,Quesnel River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CO,,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,ESCAPEMENT,FIELD WORK,"DATA COLLECTION,EQUIPMENT SUPPORT","POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,"John Bylenga, Chad Ridley",Unknown,Timber Whitehouse,Unknown,Northern Shuswap Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Instrumentation,Sonar,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Excel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,AFS2017-MLT-1732-6-P1,APGIS,Certified,Unknown,,TB G&C,FORMAL AGREEMENT,,"$30,000.00",FIRST NATIONS,P1,2019,NTC fisheries 30k Bedwell,"Juvenile Chinook in Bedwell Sound and Moyeha River will be bio-sampled and tagged to collect data for use in Genetic Stock identification. Juveniles will be captured by using a Rotary Screw Trap installed on the Bedwell River, with Uu-a-thluk crew sampling and tagging with Visible Implant Elastomer (VIE) tags. Additional juvenile trapping includes seining in the Bedwell River Estuary and the Bedwell Sound once a week, as well as employing beach seines.  ",Unknown,Unknown,SCA,FRESHWATER,Cowichan River,Unknown,Unknown,Unknown,48.75355112,-123.6370155,Unknown,GEORGIA STRAIT CHINOOK SALMON,CK-22,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CH,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Pat Vek,Unknown,Wilf Luedke,Unknown,Nuu-chah-nulth Tribal Council,Jim Lane,BIOLOGIST,Jared Dick,Fisheries Technician,"Wesley Smith, Shelby Hunter",Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,AFS2017-MLT-1732-6-P2,APGIS,Certified,completed in 2019,,AFS,FORMAL AGREEMENT,,"$5,000.00",FIRST NATIONS,P2,2019,WCVI Chum and Coho Escapement Surveys in PFMA 22,(Ditidaht FN) Conduct snorkey and estuary surveys at specified locations outlined in the work plan.,Unknown,Unknown,SCA,FRESHWATER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Area 22,Unknown,Unknown,Unknown,"[CM, CO]",,ADULT,COMPLETED,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,STOCK ASSESSMENT AND RESEARCH,WCVI Escapement Surveys,UNKNOWN,Unknown,Pacific Salmon Treaty,Brenda Wright,Unknown,Wilf Luedke,Unknown,Nuu-chah-nulth Tribal Council,Jim Lane,BIOLOGIST,Paul Sieber,Fishery Manager,Unknown,Unknown,Unknown,Unknown,MC Wright & Associates,Mike Wright,"Data Entry, Field Work, Planning",Unknown,"Snorkle, Stream Walk",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SIL/AUC Database,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excel, Database Files",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Project Report, Stream Summary",WCVI Weekly inseason reports; 2019 WCVI Annual Stream Summary,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,AFS2017-MLT-1732-6-P3,APGIS,Certified,Unknown,,TB G&C,FORMAL AGREEMENT,,,FIRST NATIONS,P3,2019,Pacheedaht / Ditidaht,"Nitinat Escapement Surveys - 1. Conduct snorkel surveys on the Upper and Lower Nitinat River and tributaries.   2. Conduct estuary surveys on Campus Creek, Caycus River, Doobah Creek and Hobiton Creek.",Unknown,Unknown,SCA,FRESHWATER,Nitinat River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[CH, CM]",,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Brenda Wright,Unknown,Wilf Luedke,Unknown,Nuu-chah-nulth Tribal Council,Jim Lane,BIOLOGIST,Paul Sieber,Fishery Manager,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,AFS2017-MLT-1733-5-A5,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$40,000.00",FIRST NATIONS,A5,2019,Okanagan Summer Chinook Enhancement and Pit Marking,"Co-develop a genetic management study design with DFO and other groups, brood collection and egg take to support a 40k juvenile release group, PIT tag and release juveniles, and report haterchy production data to RMIS and MRP.",4/1/2017,3/31/2022,FIA,FRESHWATER,Okanagan River,Unknown,Unknown,Unknown,51.39954654,-127.1177046,Unknown,OKANAGAN CHINOOK SALMON,CK-1,OKANAGAN_1.x,CH,,"[SPAWNING, JUVENILE]",ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ENHANCEMENT,"PLANNING,FIELD WORK,SAMPLE PROCESSING,DATA ENTRY,DATA ANALYSIS,REPORTING","DATA COLLECTION,STUDY DESIGN","POPULATION ESTIMATES, ADULT ABUNDANCE, SMOLT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,"Chuck Parken, Lynda Ritchie",Unknown,Timber Whitehouse,Unknown,Okanagan Nation Alliance,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,"Broodstock take, PIT tagging",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,DFO Shared Drive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PSMFC CWT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,AFS2017-MLT-1735-4-P1,APGIS,Certified,completed in 2019,,AFS,FORMAL AGREEMENT,,"$10,023.50",FIRST NATIONS,P1,2019,WCVI Snorkel Surveys in PFMA 20,"On a weekly basis, conduct snorkel surveys in PFMA 20 (specific rivers and creeks specified in the work plan) from early Sept to Dec and submit salmon spawning data to DFO to generate escapement estimates.",Unknown,Unknown,SCA,FRESHWATER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Area 20,South Coast,South Coast,South Coast,UNKNOWN,,ADULT,COMPLETED,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,STOCK ASSESSMENT AND RESEARCH,WCVI Escapement Surveys,UNKNOWN,Unknown,Pacific Salmon Treaty,Brenda Wright,Unknown,Wilf Luedke,Unknown,Pacheedaht First Nation,Jeff Jones,FISHERY MANAGER,Helen Jones,Fishery Manager,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Snorkle,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SIL/AUC Database,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excel, Database files",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Project Report, Stream Summary",WCVI Weekly inseason reports; 2019 WCVI Annual Stream Summary,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,AFS2017-MLT-1737-3-A3,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$30,000.00",FIRST NATIONS,A3,2016,Thompson River Index Fishery.,"Feasibility study to determine if gill net catches, coupled with DNA information, can provide an index of salmon abundance and migration timing into the Thompson/Shuswap drainages. Biological data, DNA, and scale samples",4/1/2017,31/2/2022,FIA,FRESHWATER,Thompson River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,"FIELD WORK,DATA ENTRY,DATA ANALYSIS","DATA COLLECTION,ANALYSIS OF CURRENT DATA","POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Cindy Samaha,Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,"Gill Net, GSI, Scales",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Protocol,Unknown,Unknown,Unknown,Doc74,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,AFS2017-MLT-1737-4-A6,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$19,346.00",FIRST NATIONS,A6,2019,Biological Chinook/Coho at Shuswap and Eagle Rivers ,(Splatsin FN) To provide 58 days of technical support to chinook and/or coho stock assessment programs in the Shuswap and Eagle rivers. ,4/1/2017,31/2/2022,FIA,FRESHWATER,Lower Shuswap River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[CH, CO]",,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,ESCAPEMENT,FIELD WORK,STAFFING,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,"Nicole Trouton, Bruce Whitehead",Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Planning Method Documents,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,AFS2017-MLT-1737-5-A11,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$18,000.00",FIRST NATIONS,A11,2019,Recreational Catch Monitoring Progarm South Thompson River,"(ALIB) Hire three catch monitor to gather information (e.g., type of gear used, length of time spent fishing, species caught and/or released, etc.) for the creel survey during open fishing times.",4/1/2017,31/2/2022,FIA,FRESHWATER,Thompson River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,CATCH (FIRST NATIONS),FIELD WORK,STAFFING,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,Cindy Samaha,Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Creel,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iRec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iRec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,AFS2017-MLT-1737-5-A12,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$5,300.00",FIRST NATIONS,A12,2019,Recreational Catch Monitoring Progarm Mabel Lake,"(Splatsin FN) Hire one catch monitor to gather information (e.g., type of gear used, length of time spent fishing, species caught and/or released, etc.) for the creel survey during open fishing times.",4/1/2017,31/2/2022,FIA,FRESHWATER,Mabel Lake,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,,ADULT,ACTIVE,POPULATION SCIENCE,MONITORING,EXTENSIVE,CATCH (FIRST NATIONS),FIELD WORK,STAFFING,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,Cindy Samaha,Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Creel,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iRec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,iRec,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,AFS2017-MLT-1737-5-A8-P1,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$1,500.00",FIRST NATIONS,A8-P1,2019,Historical Stock Assessment Data Search,"(SFC) Search for historial datsets of individaul salmon paper and electronic records from the 1990/2000s framework, as well as for scale books and scale book ID numbers from the same time period. Historical data will be inventoried and entered into MS Excel in order to improve the performance of the PSC Chinook model.",4/1/2017,31/2/2022,FIA,FRESHWATER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CH,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,UNKNOWN,DATA ENTRY,ANALYSIS OF HISTORICAL DATA,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,"Lynda Ritchie,Lita Gomez",Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Age,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,AFS2017-MLT-1737-5-A8-P2,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,,FIRST NATIONS,A8-P2,2019,Historical Stock Assessment Data Search,"Historical stock assessment data (length, sex, age for individual salmon) and scale books will be inventoried, data entered into MS Excel, and shared with DFO. The purpose of this information sharing is to improve the performance of PSC Chinook model.",4/1/2017,31/2/2022,FIA,FRESHWATER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CH,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,DATA ENTRY,ANALYSIS OF HISTORICAL DATA,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,"Lynda Ritchie,Lita Gomez",Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Biodata,"Length, Age, Sex",Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,AFS2017-MLT-1737-5-A9,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$2,500.00",FIRST NATIONS,A9,2019,Deadman River Resistivity Counter: Data Infilling Improvements,"(SFC) Compile data for years where infilling is required, and carry out statistical modelling to generate in-filled values with support from DFO.",4/1/2017,31/2/2022,FIA,FRESHWATER,Deadman River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,DATA ANALYSIS,ANALYSIS - OTHER,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Pacific Salmon Treaty,Lynda Ritchie,Unknown,Timber Whitehouse,Unknown,Shuswap Nation Tribal Council,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Data,Infilling,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,AFS2017-MLT-1746-6-A7,APGIS,Certified,Unknown,,AFS,FORMAL AGREEMENT,,"$40,000.00",FIRST NATIONS,A7,2019,Aerial Counts of the Chiko and Elkin Rivers Summer 1.3 Chinook Population and the Chilko River Coho Population,To conduct a number of systematic flights (detailed in a schedule) on the Chilko system and on the chilko and Elkin systems combined during peak spawning activity.,1/4/2017,31/3/2022,FIA,FRESHWATER,"Chilko River, Elkin River",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"[CH, CO]",,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,"Nicole Trouton, Chad Ridley",Unknown,Timber Whitehouse,Unknown,Tsilhqot'in National Government,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Aerial,Plane,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,AFS2017-MLT-1751-3-A2,APGIS,Certified,Unknown,AFS2017-MLT-1751-2,AFS,FORMAL AGREEMENT,,"$95,213.00",FIRST NATIONS,A2,2019,Qualark Creek Hydroacoustic Site Operations,Operation of the Qualark Creek Hydroacoustic Site by one seasonal PT supervisor and six seasonal FT technicians - monitor two DIDSON acoustic units (24h/day) to collect acoustic image data to enumerate migrating adult salmon in the Fraser River. Review source acoustic data to count the number of migrating adult salmon (both upstream and downstream) by acoustic range bin.,1/4/2017,31/3/2021,FIA,FRESHWATER,Qualark Creek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,"ESCAPEMENT,CATCH",FIELD WORK,"DATA COLLECTION,STAFFING","POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,UNKNOWN,Unknown,Unknown,Jim Krivanek,Unknown,Timber Whitehouse,Unknown,Yale First Nation,Unknown,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning",Unknown,Hydroacoustic,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,AFS2018-MLT-1808-2-A2,APGIS,Certified,Unknown,,AAROM,FORMAL AGREEMENT,,"$86,452.00",FIRST NATIONS,A2,2016,Adult Salmon Enumeration and Trail Clearance.,"Sockeye enhancement. Pink and Chum Stream Walks to enumerate pink and chum salmon returns in creeks and streams and determine in-season escapement. Sockeye Stream Walks to support populations of pink, chum, and sockeye salmon.",4/1/2018,3/31/2020,NCA,FRESHWATER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Area 7/8,Unknown,Unknown,Unknown,"[PK, SK, CM]",,ADULT,ACTIVE,POPULATION SCIENCE,SAMPLING,EXTENSIVE,ESCAPEMENT,FIELD WORK,DATA COLLECTION,"POPULATION ESTIMATES, ADULT ABUNDANCE",,UNKNOWN,Unknown,NOT APPLICABLE,Unknown,Unknown,Kate McGivney,Melanie Anthony,Shaun Davies,Wendy Evans,Heiltsuk Tribal Council,Mike Reid,FISHERIES MANAGER,Unknown,Unknown,Jayde and Jayda,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Entry, Field Work, Planning","Visual, Enhancement",Stream Walks,Unknown,Unknown,Unknown,Unknown,Unknown,"Paper, followed by entry into computer",Protocol,Unknown,Unknown,Unknown,"Doc54, Doc55",Unknown,Unknown,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SIL-hardcopy,Unknown,NuSEDs,Unknown,Excel,Data Summary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
