Organization Name,Organization Type,Section,Address - Road/Box,City,Province/State,Country,Phone,Primary email,Website,Last modified
Jim Wilson Contracting,COMPANY,,638 Glen Rd,Gibsons,BRITISH COLUMBIA,CANADA,604-740-2962,eos@telus.net,,15/2/2021
"Kintama Research Services, Ltd",COMPANY,,4737 Vista View Cres.   Nanaimo,Nanaimo,BRITISH COLUMBIA,CANADA,250-744-0019,david.welch@kintama.com,,15/2/2021
Kitasoo First Nation,FIRST NATION,,General Delivery,Klemtu,BRITISH COLUMBIA,CANADA,250-839-1255,kitasooband@gmail.com,https://klemtu.com/,16/9/2020
Kyuquot First Nation,FIRST NATION,,General Delivery,Kyuquot,BRITISH COLUMBIA,CANADA,250-656-0127,frankdragon61@hotmail.com,,15/2/2021
Lax Kw’alaams First Nation,FIRST NATION,,206 Shashaak Street,Port Simpson,BRITISH COLUMBIA,CANADA,250-625-3293,bill_fisheries@laxband.com,http://laxkwalaams.ca/,9/9/2020
LGL Limited,COMPANY,Sidney Office,9768 Second Street,Sidney,BRITISH COLUMBIA,CANADA,250-656-0127,bbocking@lgl.com,https://www.lgl.com/en/,15/10/2020
Lheidli T'enneh First Nation,FIRST NATION,,1041 Whenun Road,Prince George,BRITISH COLUMBIA,CANADA,250-963-8451,info@lheidli.ca,https://www.lheidli.ca/,6/11/2020
Lil'wat Nation,FIRST NATION,,321 Road #10,Mount Currie,BRITISH COLUMBIA,CANADA,604-894-6115,Maxine.bruce@lilwat.ca ,https://lilwat.ca/,14/12/2020
Mainland Enhancement of Salmonid Species Society,COMPANY,,General Delivery,Simoom Sound,BRITISH COLUMBIA,CANADA,250-230-0955,bennettsonbaker@xplornet.com,,15/2/2021
Marc Labelle,COMPANY,,P.O Box 33,Brentwood Bay ,BRITISH COLUMBIA,CANADA,250-655-6541,Marc_L@shaw.ca,,15/2/2021
Mark Winston,COMPANY,,101-1878 Robson St.,Vancouver,BRITISH COLUMBIA,CANADA,604-561-9080,winston@sfu.ca,,15/2/2021
MC Wright & Associates Ltd,COMPANY,,2231 Neil Drive,Nanaimo,BRITISH COLUMBIA,CANADA,250-753-1055,mike.wright@mcwrightonline.com,,15/2/2021
Moore Laboratory at Simon Fraser University,UNIVERSITY,Simon Fraser University,"B6220 Shrum Science Centre, 8888 University Drive",Burnaby,BRITISH COLUMBIA,CANADA,778-782-9427,adminjwm@sfu.ca,https://www.jonwmoore.org/,15/10/2020
Namgis First Nation,FIRST NATION,,PO Box 210,Alert Bay,BRITISH COLUMBIA,CANADA,250-974-5556,nicd@namgis.bc.ca,,15/2/2021
Nanaimo River Stewardship Society,NON-PROFIT ORGANIZATION,,PO Box 281,Cassidy,BRITISH COLUMBIA,CANADA,250-245-7780,bbanks@nanimoriverhatchery.ca,,15/2/2021
Nootka Sound Watershed Society,NON-PROFIT ORGANIZATION,,PO Box 293,Gold River,BRITISH COLUMBIA,CANADA,250-283-2900,kent@thelodgeatgoldriver.ca,,15/2/2021
Northern Shuswap Tribal Council,FIRST NATION,,17 First Avenue South,Williams Lake,BRITISH COLUMBIA,CANADA,250-392-7361,administration@nstq.org,https://nstq.ca/,6/11/2020
Nuu-chah-nulth Tribal Council,FIRST NATION,,5001 Mission Rd- PO Box 1383,Port Alberni,BRITISH COLUMBIA,CANADA,250-724-5757,jim.lane@nuuchahnulth.org,,15/2/2021
Nuxalk First Nation,FIRST NATION,,Box 65,Bella Coola,BRITISH COLUMBIA,CANADA,250-799-5959,,https://nuxalknation.ca/,16/9/2020
Okanagan Nation Alliance,FIRST NATION,,"#101, 3535 Old Okanagan Hwy",West Bank,BRITISH COLUMBIA,CANADA,250-707-0095,,https://www.syilx.org/,19/10/2020
Pacheedaht First Nation,FIRST NATION,,Box 170- 350 Kalaid St,Port Renfrew,BRITISH COLUMBIA,CANADA,250-647-5521 (ext. 205),research@pacheedaht.ca,,15/2/2021
Pacific Salmon Foundation,NON-PROFIT ORGANIZATION,,#300-1682 West 7th Avenue,Vancouver,BRITISH COLUMBIA,CANADA,604-664-7664,salmon@psf.ca,https://www.psf.ca/,15/10/2020
Pacificus Biological Services Ltd.,COMPANY,,6690 Market Street,Port Hardy,BRITISH COLUMBIA,CANADA,250-949-9450,doug@pacificus.ca,,15/2/2021
Percy Walkus Hatchery,UNKNOWN,Wuikinuxv Nation,,Oweekeno Village,BRITISH COLUMBIA,CANADA,604-449-2040,admin@pwhatchery.org,http://www.percywalkushatchery.org/main.html,15/10/2020
PRA Inc.,COMPANY,,500-363 Broadway,Winnipeg,MANITOBA,CANADA,1-888-877-6744,admin@pra.ca,,15/2/2021
Quatsino (First Nation),FIRST NATION,,305 Quattishe Road,Coal Harbour,BRITISH COLUMBIA,CANADA,250-230-2977,fisheries@quatsinofn.ca,,15/2/2021
Q'ul-lhanumutsun Aquatic Resources Society,NON-PROFIT ORGANIZATION,,PO Box 50013- RPO Askew Creek,Chemainus,BRITISH COLUMBIA,CANADA,250-246-4736,jordanbromley@qars.ngo,,15/2/2021
Rivers Inlet Salmon Initiative,PROGRAM,Wuikinuxv Nation,,,,,,,,15/10/2020
Rockfish Services Ltd.,COMPANY,,235 Neen Road,Nanaimo,BRITISH COLUMBIA,CANADA,250-716-3311,rockfishltd@shaw.ca,,15/2/2021
Sea This Consulting ,COMPANY,,1814 Bay St,Nanaimo,BRITISH COLUMBIA,CANADA,250-585-2779,king@seathis.com,,15/2/2021
Shawn Hay,COMPANY,,1671 Juniper Drive,Campbell River,BRITISH COLUMBIA,CANADA,250-830-4712,shawnhay@icloud.com,,15/2/2021
Shishalh Nation (Sechelt Indian Band),FIRST NATION,,Box 740,Sechelt,BRITISH COLUMBIA,CANADA,604-740-5600 (ext. 242),squinn@secheltnation.net,,15/2/2021
Shuswap Nation Tribal Council,FIRST NATION,,680 West Athabasca Street,Kamloops,BRITISH COLUMBIA,CANADA,778-471-8200,sntcadmn@shuswapnation.org,https://shuswapnation.org/,6/11/2020
Skeena Fisheries Commission,FIRST NATION,,3135 Barnes Crescent,Kispiox,BRITISH COLUMBIA,CANADA,,stu_barnes@skeenafisheries.ca,http://www.skeenafisheries.ca/,9/9/2020
Snuneymuxw First Nation (Nanaimo),FIRST NATION,,668 Centre St.,Nanaimo,BRITISH COLUMBIA,CANADA,250-740-2330,chrisg@snuneymuxw.ca,,15/2/2021
SOLV Consulting Ltd.,COMPANY,,Unit 60607   RPO Granville Park   ,Vancouver,BRITISH COLUMBIA,CANADA,604-420-1528,Gottfried.pestal@solv.ca,,15/2/2021
Sport Fishing Institute ,COMPANY,,110-7858 Hoskins St,Delta,BRITISH COLUMBIA,CANADA,604-805-6554,birdo@sportfishing.bc.ca,,15/2/2021
Sq'ewlets First Nation,FIRST NATION,,Box 76,Lake Erroch,BRITISH COLUMBIA,CANADA,604-826-5813,katinapennier@gmail.com,http://digitalsqewlets.ca/index-eng.php,18/12/2020
Strategic Natural Resource Consultants ,COMPANY,,#2-1488 Beach Drive-  PO Box 1327,Port McNeill,BRITISH COLUMBIA,CANADA,250-956-2260 (ext.129),kim.lefebvre@snrc.ca,,15/2/2021
Sts'ailes First Nation,FIRST NATION,,4690 Salish Way,Agassiz,BRITISH COLUMBIA,CANADA,604-796-2116,admin.reception@stsailes.com,https://www.stsailes.com/,18/12/2020
Taku River Tlingit First Nation,FIRST NATION,Crown Clan,Box 132,Atlin,BRITISH COLUMBIA,CANADA,250-651-7900,finance.officer@gov.trtfn.com,http://trtfn.com/,7/28/2020
Taku River Tlingit First Nation,FIRST NATION,Wolf Clan,Box 132,Atlin,BRITISH COLUMBIA,CANADA,250-651-7900,finance.officer@gov.trtfn.com,http://trtfn.com/,7/28/2020
Teslin Tlingit Council,FIRST NATION,,Box 133,Teslin,YUKON TERRITORY,CANADA,867-390-2532,,http://www.ttc-teslin.com/,9/9/2020
Thornton Creek Enhancement Society ,COMPANY,,PO Box 255,Ucluelet,BRITISH COLUMBIA,CANADA,250-726-7566,thorton.creek.hatchery@gmail.com,,15/2/2021
Tla'amin Nation,FIRST NATION,,4779 Klahanie Rd.,Powell River,BRITISH COLUMBIA,CANADA,604-483-4111,Tyrone.Wilson@tn-bc.ca,,15/2/2021
Tl'azt'en Nation,FIRST NATION,,Box 670,Fort St James,BRITISH COLUMBIA,CANADA,250-648-3212,,http://tlaztennation.ca/contact/,26/1/2021
Tofino Salmon Enhancement Society,NON-PROFIT ORGANIZATION,,Box 476,Tofino,BRITISH COLUMBIA,CANADA,250-725-2376,tdpalfrey@hotmail.com,,15/2/2021
Triton Environmental Consultants Ltd.,COMPANY,,650-1040 West Georgia Street   ,Vancouver,BRITISH COLUMBIA,CANADA,604-631-2211,dwood@triton-env.com,,15/2/2021
Tseshaht First Nation ,FIRST NATION,,5091 Tsuma-as Drive,Port Alberni,BRITISH COLUMBIA,CANADA,250-724-1225,fisheries@Tseshaht.com,,15/2/2021
Uchucklesaht Tribe,FIRST NATION,,Suite A – 5251  Argyle St,Port Alberni,BRITISH COLUMBIA,CANADA, 250-724-1832,ryan.anaka@uchucklesaht.ca,,15/2/2021
VIC Ritchie Foundation (Gillard Pass Fisheries Association),NON-PROFIT ORGANIZATION,,756 Serengeti Avenue,Campbell River,BRITISH COLUMBIA,CANADA,250-287-0845,Ritchie.foundation@shaw.ca,,15/2/2021
West Coast Aquatic Management Association,COMPANY,,Unit B - 4770 Johnston Rd.,Port Alberni,BRITISH COLUMBIA,CANADA,250-723-0708,tawney@westcoastaquatic.ca,http://westcoastaquatic.ca/,15/2/2021
Wet'suwet’en Treaty Office Society,FIRST NATION,,"205 Beaver Road, Suite 1",Smithers,BRITISH COLUMBIA,CANADA,250-847-3630,dpierre@wetsuweten.com,https://www.wetsuweten.com/,9/9/2020
Wild Coast Environmental Consulting,COMPANY,,2824 Woodland Drive,Port McNeill,BRITISH COLUMBIA,CANADA,250-514-5662,wildcoastenvironmental@gmail.com,,15/2/2021
Wild salmon Centre,NON-PROFIT ORGANIZATION,Headquarters,"721 NW Ninth Ave, Suite 300",Portland,OREGON,UNITED STATES OF AMERICA,503-222-1804,,https://www.wildsalmoncenter.org/,15/10/2020
Wood Environment & Infrastructure Solutions,COMPANY,,#600 4445 Lougheed Hwy,Burnaby,BRITISH COLUMBIA,CANADA,604-294-3811,duncan.hendricks@woodplc.com,,15/2/2021
Wuikinuxv Nation,FIRST NATION,,Bag 3500,Port Hardy,BRITISH COLUMBIA,CANADA,250-949-8625,tribal_manager@wuikinuxv.net,http://www.wuikinuxv.net/,16/9/2020
Yale First Nation,FIRST NATION,,Box 1869,Hope,BRITISH COLUMBIA,CANADA,604-869-0013,reception@yalefirstnation.ca,https://www.yalefirstnation.ca/,6/11/2020
,,,,,,,,,,
,,,,,(f2-f99)=UPPER,,,,,
,,,,,,,,,,
,,,,,,,,,,
