Agreement Database,Funding Sources,Region,Species,Project Stage,Ecosystem Type,Project Type,Project Sub-Type,Monitoring Approach,Project Theme,Salmon Life Stage,Project Core Element,Project Supportive Element,Links to other DFO programs,Links to other Government Organizations,Policy and Program Connections,Primary First Nation contact role,Programs used in analysis,Samples Collected,Element Title,yes/no,Outcomes Category,Data Quality Level,Outcome Sample Type,Agreement Type,Report Timeline,Report Type,SMU,Project lead Organization,Barriers to Sample Collection,Barriers to data checks/enter into database,Barrier to achieving outcomes?,What capacity building did this project provide?,Project Purpose,Lead Organization,Database,Data Products,Data Format,Planning Type,Field Work Type,Field Work Method,Sample Processing Type,Method Document Type,Objective Category,CU Name,CU Index,Primary River,Watershed Name,First Nations
None,IHPP ,,,,,,,,Limnology,,,Study Design,,,,Stewardship Director,,Coded Wire Tagging,,,Meeting Summary,,Coded Wire Tagging,,,CSAS Report,FRASER SPRING RUN 52 CHINOOK SALMON,,,,,Not Applicable,New Program Development,,First Nations Harvest (AHMS),Sex Composition,Other,,,Weir,,Journal Article,,ALSEK,CK-19,Adams Lake,Big Creek,Fraser River Aboriginal Fisheries Secretariat
,RFCPP ,,,,,,,,Water Quality - Natural Parametres,,,Literature Review,,,,,,Egg Collection,,,Live Collection,,Egg Collection,,,Committee Report,FRASER SUMMER RUN 41 CHINOOK SALMON,,,,,,New Method Development,,Fishery Operations System (FOS),Age Composition Data,,,,Fence,,Guidance Document,,ALSEK RIVER,CK-2,Adams River,Blackwater River,Fraser Thompson Indian Services Society
,AFSAR,,,,,,,,Riparian Condition,,,Data Collection,,,,,,Enhancement-Unspecified,,,Other,,Enhancement-Unspecified,,,PSC Report,FRASER SUMMER RUN 52 CHINOOK SALMON,,,,,,New Project Site Development,,Mark Recovery Program (MRPRO),Stock composition (GSI / DNA)Data,,,,Fishway-tunnels,,Unknown,,ANDERSON/SETON-EARLY SUMMER TIMING,CK-20,Adams River - Shore,Blue River,Fraser Valley Aboriginal Fisheries Society
,SEP,,,,,,,,Estuary Condition,,,Equipment Support,,,,,,Fin Clips,,,,,Fin Clips,,,Area Annual Report,GEORGIA STRAIT CHINOOK SALMON,,,,,,Establishment of Baseline Data,,Clockwork,Condition of Fish - (DNA based),,,,Sonar,,Other,,ASITIKA,CK-21,Adams River (Upper),Bonaparte River,Gitanyow Huwilp
,AHRF,,,,,,,,Water Quality - Non-natural Parametres,,,Equipment Repair/Building,,,,,,Fish Health Condition,,,,,Fish Health Condition,,,Schedule 7,HAIDA GWAII CHUM SALMON,,,,,,Habitat Conservation,,Biodatabase (South Coast DFO),Ratio of catchability,,,,Sonar-DIDSON,,,,AWUN,CK-22,Aero Creek,Bowron,Gitga'at First Nation
,SSI,,,,,,,,Forestry,,,Analysis of Current Data,,,,,,Length,,,,,Length,,,Schedule E,HAIDA GWAII PINK SALMON,,,,,,Plan Implementation,,PADS,ESSR Targets,,,,Video,,,,AZUKLOTZ,CK-23,Agnes Creek,Bridge Creek,Gitksan First Nation
,PSSI,,,,,,,,Habitat Composition,,,Analysis of Historical Data,,,,,,Mark/Tagging-Unspecified,,,,,Mark/Tagging-Unspecified,,,Unknown,INNER SOUTH COAST CHUM SALMON,,,,,,Loss Investigation,,Otomanager,Production,,,,Hydroacoustic,,,,BABINE,CK-25,Ahbau Creek,Brooks Peninsula,Gitxaala Nation
,SEP-CED,,,,,,,,Stream Condition,,,Analysis- Other,,,,,,Not Specified,,,,,Not Specified,,,,INTERIOR FRASER COHO SALMON,,,,,,Applying project elements to other systems,,Pacific Salmon Commission,Biomass Data,,,,Resistivity,,,,BACKLAND,CK-27,Ahnuhati River,Bulkley River,Gwa'sala-'xakwaxda'xw
,SEP-CI,,,,,,,,Instream Structure,,,Unknown,,,,,,Otoliths,,,,,Otoliths,,,,JOHNSTONE STRAIT/MAINLAND INLET CHINOOK SALMON,,,,,,Contribute to Outmigration Estimation,,Genetics Group (PBS),Spawning Success,,,,River Surveyor,,,,BANKS,CK-28,Ahta River,Bull River,Haisla First Nation
,Other ,,,,,,,,Habiat-Administration,,,Not Applicable,,,,,,PIT Tagging,,,,,PIT Tagging,,,,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,,,,,,Improve Fish Recruitment,,Individual computer,Fish Passage Data,,,,Coded Wire Tagging,,,,BEAR,CK-29,Ahta Valley Creek,Campbell River,Halalt First Nation
,Unknown,,,,,,,,Habitat Condition,,,Construction,,,,,,Scales,,,,,Scales,,,,LOWER FRASER COHO SALMON,,,,,,Improve Fish Health,,Pacific States Marine Fisheries Commission (www.rmpc.org),Predation rates,,,,Coded Wire Tag Recovery,,,,BELLA COOLA-BENTINCK,CK-3,Ain River,Canoe Reach,Heiltsuk Tribal Council
,,,,,,,,,Fish Distribution,,,Community Education,,,,,,Sea Lice Count,,,,,Sea Lice Count,,,,NASS COHO SALMON,,,,,,Testing Effectiveness of Project Modifications,,Central Coast FSC Catch,Other,,,,PIT Tagging,,,,BELLA COOLA-DEAN RIVERS,CK-31,Airport Dock Creek,Carp Lake,Homalco First Nation
,,,,,,,,,,,,Feasibility Study,,,,,,Secondary Marks,,,,,Secondary Marks,,,,OKANAGAN CHINOOK SALMON,,,,,,Develop Excess to Spawning Requirements (ESSR),,Private,,,,,Hallprint Tagging,,,,BELLA COOLA RIVER-LATE,CK-32,Airport Side Channel,Cariboo River,Hupacasath First Nation
,,,,,,,,,,,,Data Entry-Current Data,,,,,,Sex,,,,,Sex,,,,PORCUPINE CHUM SALMON,,,,,,Project/Program Review,,PIT Tag Information System (PTAGIS),,,,,Spaghetti Tagging,,,,BLOOMFIELD,CK-33,Alastair Lake,Cheslatta River,Huu-ay-aht First Nation
,,,,,,,,,,,,Data Entry-Historical Data,,,,,,Spaghetti Tagging,,,,,Spaghetti Tagging,,,,SKEENA-NASS CHUM SALMON,,,,,,Other - Open text,,Not Applicable,,,,,Radio Tagging,,,,BOLTON CREEK,CK-34,Albreda River,Chilako River,Island Marine Aquatic Working Group
,,,,,,,,,,,,Data Review,,,,,,Species Identification,,,,,Species Identification,,,,SKEENA COHO SALMON,,,,,,"Administration- any contribution to the project that involves the purchase of equipment, staffing or training.",,Other,,,,,Mark-Recapture-other,,,,BONILLA,CK-35,Alder Island Creek,Chilko River,Kitasoo First Nation
,,,,,,,,,,,,,,,,,,Tag Recovery-Unspecified,,,,,Tag Recovery-Unspecified,,,,SKEENA/NASS PINK SALMON,,,,,,Unknown,,CREST,,,,,Finclips,,,,BORROWMAN CREEK,CK-37,Alice Creek,Chukachida River,Kitselas First Nation
,,,,,,,,,,,,,,,,,,Tissue Collection-Unspecified,,,,,Tissue Collection-Unspecified,,,,STIKINE COHO SALMON,,,,,,Support Stock Rebuilding,,EPADS,,,,,BioData-Physical Measurement,,,,BOUNDARY BAY,CK-39,Alison River,Chilliwack River,Kitsumkalum First Nation
,,,,,,,,,,,,,,,,,,Tissue Collection-DNA,,,,,Tissue Collection-DNA,,,,STRAIT OF GEORGIA COHO SALMON,,,,,,Support Harvest Access,,,,,,,BioData-Tissue Collection,,,,BOUNDARY BAY_FA_0.3,CK-4,Allard Creek,Clayoquot,Klahoose First Nation
,,,,,,,,,,,,,,,,,,Unknown,,,,,Unknown,,,,TAKU COHO SALMON,,,,,,,,,,,,,BioData-Visual Observation,,,,BOWRON-EARLY SUMMER TIMING,CK-41,Allardyce Creek,Columbia Reach,Ktunaxa Nation Council Society
,,,,,,,,,,,,,,,,,,Weight,,,,,Weight,,,,Unknown,,,,,,,,,,,,,BioData-Unspecified,,,,BOWSER,CK-42,Almond Lagoon Creek,Clearwater River,Kwakiutl First Nation
,,,,,,,,,,,,,,,,,,Predation,,,,,Predation,,,,WCVI CHUM SALMON,,,,,,,,,,,,,Fish Health Condition,,,,BULKLEY,CK-46,Alouette River,Coal River,Kyuquot First Nation
,,,,,,,,,,,,,,,,,,Dissolved Oxygen,,,,,Dissolved Oxygen,,,,WCVI COHO SALMON,,,,,,,,,,,,,Plane,,,,BUSEY CREEK,CK-48,Alpha Creek,Columbia River,Lake Babine Nation
,,,,,,,,,,,,,,,,,,Water Samples-eDNA,,,,,Water Samples-eDNA,,,,WCVI PINK SALMON,,,,,,,,,,,,,Helicopter,,,,BUTE INLET,CK-5,Alsek River,Comox,Lax Kw'alaams First Nation
,,,,,,,,,,,,,,,,,,Water Samples-Unspecified,,,,,Water Samples-Unspecified,,,,YUKON CHUM SALMON,,,,,,,,,,,,,Drone,,,,CANOE CREEK,CK-53,Alvin Creek,Cottonwood River,Lheidli T'enneh
,,,,,,,,,,,,,,,,,,Forestry Data-Unspecified,,,,,Forestry Data-Unspecified,,,,Not Applicable,,,,,,,,,,,,,Flight-Unspecified,,,,CANOONA,CK-56,Alwyn Creek,Cowichan,Lhtako Dene Nation
,,,,,,,,,,,,,,,,,,Habitat Condition-General,,,,,Habitat Condition-General,,,,,,,,,,,,,,,,,Creel,,,,CARIBOO-SUMMER TIMING,CK-57,Amai Creek,Crooked River,Lil'wat Nation
,,,,,,,,,,,,,,,,,,Habitat Use,,,,,Habitat Use,,,,,,,,,,,,,,,,,Plankton Sampling,,,,CARTWRIGHT CREEK,CK-58,Amback Creek,Cry Lake,Lower Fraser Fisheries Alliance Society
,,,,,,,,,,,,,,,,,,Hydrology-Discharge/Flow,,,,,Hydrology-Discharge/Flow,,,,,,,,,,,,,,,,,Riparian Monitoring,,,,CECILIA,CK-6,American Bay Creek,Deadman River,Malahat First Nation
,,,,,,,,,,,,,,,,,,Water Samples-Toxicology,,,,,Water Samples-Toxicology,,,,,,,,,,,,,,,,,Habitat Monitoring-General,,,,CHEEWAT,CK-60,American Creek,Dease Lake,Matsqui First Nation
,,,,,,,,,,,,,,,,,,Water Temperature,,,,,Water Temperature,,,,,,,,,,,,,,,,,Habitat Monitoring-Spawning,,,,CHIC CHIC,CK-67,Amor De Cosmos Creek,Dease River,Metlakatla First Nation
,,,,,,,,,,,,,,,,,,Land Use Planning,,,,,Land Use Planning,,,,,,,,,,,,,,,,,Smolt Trapping,,,,CHILKO-EARLY SUMMER TIMING,CK-7,Andalas Creek,Dog Creek,Nak'azdli First Nation
,,,,,,,,,,,,,,,,,,Restoration Activities,,,,,Restoration Activities,,,,,,,,,,,,,,,,,Seine Trapping,,,,CHILKO-SUMMER TIMING,CK-72,Anderson Creek,Driftwood River,Namgis First Nation
,,,,,,,,,,,,,,,,,,Water Samples-Microscopic Examination,,,,,Water Samples-Microscopic Examination,,,,,,,,,,,,,,,,,Gill Net Trapping,,,,CHILLIWACK-EARLY SUMMER TIMING,CK-73,Anderson Creek Channel,Duncan Lake,Nanaimo River Stewardship Society
,,,,,,,,,,,,,,,,,,Incubation Data,,,,,Incubation Data,,,,,,,,,,,,,,,,,Brood Collection,,,,CHRISTINA,CK-8,Anderson Lake-Shore Spawners,Dunedin River,Nicomen First Nations
,,,,,,,,,,,,,,,,,,Enhancement Targets,,,,,Enhancement Targets,,,,,,,,,,,,,,,,,Egg Collection,,,,CHUTINE,CK-82,Anderson River,Elk River,North Coast Skeena First Nations Stewardship Society
,,,,,,,,,,,,,,,,,,Egg Characteristics,,,,,Egg Characteristics,,,,,,,,,,,,,,,,,Fish Culture,,,,CLAYOQUOT,CK-83,Andesite Creek,Euchiniko River,Northern Shuswap Tribal Council (NSTC)
,,,,,,,,,,,,,,,,,,Other,,,,,Other,,,,,,,,,,,,,,,,,Pond Fry,,,,CLEMENTS,CK-9,Angel-Wing Channel,Euchiniko Lake,Nuu-chah-nulth Tribal Council
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fry Release,,,,CULTUS-LATE TIMING,CK-9006,Angler Cove Creek,Finlay Arm,Nuxalk Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spawn Brood,,,,CURTIS INLET,CK-9008,Angora Creek,Finlay River,Okanagan Nation Alliance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gamete Incubation,,,,DALLAIN CREEK,CM-10,Angus Creek,Firesteel River,Oweekeno (Wui'Kinuxv)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temperature Logging,,,,DAMDOCHAX/WINIMASIK,CM-11,Ankwill Creek,Fontas River,Pacheedaht First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxygen Monitoring,,,,DAMSHILGWIT,CM-12,Anliyen Creek,Fox River,Pacific Salmon Commission
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical Analysis,,,,DEAN RIVER,CM-13,Anna Inlet Creek,Francois Lake,Pauquachin First Nations
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sampling-Chemical,,,,DEER,CM-14,Annie Creek,Fraser Canyon,Penelakut First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Sampling-Biological,,,,DESERTED,CM-15,Ansedagan Creek,Frog River,Q'ul-lhanumutsun Aquatic Resources Society
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive Species Survey,,,,DEVON,CM-16,Anstey River,Gataga River,Qualicum First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation Survey,,,,DOCEE,CM-17,Anstey River - Shore,Gladys River,Quatsino First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photo Point,,,,DOME,CM-18,Antigonish Creek,Gold River,Scw'exmx Tribal Council (STC)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitat Modifications,,,,DONJEK-KLUANE,CM-19,Antler Creek,Graham Island,Sechelt First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Management,,,,DOUGLAS-GARDNER,CM-2,Anudol Creek,Green Lake,Secretariat of the Haida Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traditional Ecological Knowledge,,,,DOUGLAS CHANNEL-KITIMAT ARM,CM-20,Apple Creek,Guichon Creek,Shuswap Nation Tribal Council
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,DOUGLAS CREEK,CM-21,Apple River,Harrison River,Skeena Fisheries Commission
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST HAIDA GWAII,CM-22,Argyh Creek,Hay River,Snuneymuxw First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST HG,CM-23,Arnoup Creek,Herrick Creek,Squamish Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST HOWE SOUND-BURRARD INLET,CM-24,Arrow Creek,Holberg,Sts'ailes First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x,CM-25,Artlish River,Homathko River,Stz'uminus First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-GEORGIA STRAIT,CM-26,Ashlu Creek,Horsefly River,T'aaq-wiihak First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3,CM-27,Ashlulm Creek,Ingenika River,T'it'q'et First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x,CM-28,Asitka River,Inklin River,T'Sou-ke Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT,CM-3,Asseek River,Iskut River,Tahltan First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-JOHNSTONE STRAIT-SOUTHERN FJORDS,CM-30,Atchelitz Creek,Jennings River,Taku River Tlingit First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x,CM-31,Atleo River,Jervis Inlet,Teslin Tlingit Council
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-NANAIMO_SP_1.x,CM-32,Atna River,Kahntah River,Tl'azt'en First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-NORTH_FA_0.x,CM-38,Atnarko River,Kakiddi Creek,Tla'amin First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x,CM-4,Atnarko Spawning Channel,Kotcho Lake,Tla-o-qui-aht
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST VANCOUVER ISLAND AND GEORGIA STRAIT,CM-42,Avalon Creek,Keecha Creek,Tsawout First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECSTALL,CM-43,Aveling Creek,Kettle River,Tseshaht First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECSTALL/LOWER,CM-44,Avola Creek,Kicking Horse River,Tsilhqot'in National Government
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELIZABETH,CM-45,Awun River,Khutze River,Tsleil-Waututh First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELSIE/HOY,CM-46,Ayum Creek,Kinskuch River,Uchucklesaht Tribe Government
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,END HILL CREEK,CM-5,Azuklotz Creek,Kiskatinaw River,Ulkatcho First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVELYN,CM-6,B.C. Rail Spawning Channel,Kispiox River,Unknown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVINRUDE INLET,CM-7,Babine Lake,Kitlope River,Upper Fraser Fisheries Conservation Alliance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIRFAX,CM-8,Babine River -  Unaccounted,Kitimat River,Wet'suwet'en Treaty Office Society
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIRY,CM-9,Babine River - Section 1-3,Klappan River,Xwisten First Nation (Bridge River)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FANNIE COVE,CM-9004,Babine River - Section 4,Klinaklini River,Yale First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOOTSORE/HODDER,CO-1,Babine River - Section 5,Kalum River,Yekooche First Nation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANCOIS-EARLY SUMMER TIMING,CO-10,Bachus Creek,Knight Inlet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANCOIS-LATE TIMING,CO-11,Baezaeko River,Kootenay Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANCOIS/FRASER-SUMMER TIMING,CO-12,Bag Harbour Creek,Kootenay River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>,CO-13,Baker Creek,Kshwan River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER-EARLY SUMMER TIMING,CO-14,Balcom Inlet Creek,Kitasu Bay,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>,CO-15,Bamford Creek,Kumowdah River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER-MISCELLANEOUS<<BIN>>,CO-16,Bancroft Creek,Kusawa River,
