Agreement_Number,Unique Objective,Reporting_Outcome,Reporting Met,Reporting Link,,,,,,,,,,,
AFS2018-MLT-1837-3-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-3-A5,1,Raw Data,No,,,,,,,,,,,,
AFS2018-MLT-1837-3-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,2,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,3,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,4,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,5,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,6,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,7,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,8,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-A3,9,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-0-B1,1,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-2-A6,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-2-A6,2,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,2,Summarized Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,2,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,2,Submitted Samples,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,3,Data Entry,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A4,4,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,2,Summarized Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,2,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,2,Submitted Samples,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,3,Data Entry,No,,,,,,,,,,,,
AFS2019-MLT-1913-3-A5,4,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-4-A6,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-4-A6,1,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1913-4-A6,2,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1913-4-A6,2,Report Document,No,,,,,,,,,,,,
AFS2019-MLT-1922-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1922-3-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2019-MLT-1922-3-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,1,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,9,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-A2,10,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2021-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A2,2,Data Entry,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A2,3,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A3,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A4,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,9,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,10,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,11,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,12,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,13,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,14,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,15,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,16,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,17,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A5,18,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,4,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,5,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,4,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A6,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A7,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A7,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A8,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A8,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A8,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A8,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-A8,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-0-B2,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,3,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,4,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,5,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A2,6,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A3,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A4,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,9,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,10,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,11,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,12,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,13,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,14,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,15,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,16,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,17,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A5,18,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,4,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A6,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A7,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A7,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A8,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A8,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A8,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A8,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-A8,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B2,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B3,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B4,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B5,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B6,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2023-2-B7,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,9,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,10,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,11,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,12,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,13,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,14,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,15,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,16,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,17,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,18,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,19,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,20,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,21,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,22,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,23,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,24,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,25,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,26,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,27,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,28,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,29,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,30,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,31,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,32,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,33,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,34,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,35,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,36,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,37,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,38,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A2,39,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,2,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-A4,4,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2024-0-B1,1,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,1,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,1,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,2,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,2,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,3,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,3,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,3,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,4,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,4,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,4,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,5,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,5,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,5,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,6,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,6,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,7,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,7,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,7,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,8,Submitted Samples,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,8,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-A2,8,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-B1,1,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-B1,2,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-0-B1,3,Summarized Data,No,,,,,,,,,,,,
AFS2020-MLT-2036-1-A6,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-2-B1,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-2-B1,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2036-2-B1,3,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,8,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A3,9,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A4,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-A4,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-0-B1,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,1,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,3,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,4,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,5,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,6,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,7,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,2,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,1,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,8,Raw Data,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,2,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,8,Report Document,No,,,,,,,,,,,,
AFS2020-MLT-2047-3-A5,9,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,3,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,4,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,5,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,6,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,7,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-A2,8,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2111-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2117-0-A2,9,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2117-0-B1,1,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,1,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,1,Report Document,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,1,Submitted Samples,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,1,Summarized Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,1,Report Document,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,2,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,2,Report Document,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,2,Submitted Samples,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,2,Summarized Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,2,Report Document,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,3,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,4,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,5,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,6,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,7,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,8,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,9,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,10,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,11,Raw Data,No,,,,,,,,,,,,
AFS2021-MLT-2132-0-A2,12,Raw Data,No,,,,,,,,,,,,
