Organization Name,Organization Type,Section,Address,City,Province/State,Country,Phone,Primary email,Website
Central Westcoast Forest Society,Non-Profit Organization,,"PO Box 641, 286 Main St",Ucluelet,British Columbia,Canada,250-726-2424,jessica@clayoquot.org,https://clayoquot.org/
Cinclus,Company,,688 Western Acres Road,Nanaimo,British Columbia,Canada,(778) 269-5297,stevenjbaillie@gmail.com,Unknown
Coastal Resource Mapping Ltd (CRM),Company,,#5-4515 Uplands Drive,Nanaimo,British Columbia,Canada,250-758-4323 (ext. 1),john@crmltd.ca,https://crmgismapping.ca/
Coastland Research,Company,,2115 22nd Ave.   Smithers,Smithers,British Columbia,Canada,250-889-2830,coastlandresearch@gmail.com,Unknown
Cook's Ferry,First Nation,,Box 130,Spences Bridge,British Columbia,Canada,250-458-2312,david.walkem@cooksferry.com,https://www.bcafn.ca/first-nations-bc/thompson-okanagan/cooks-ferry
Cowichan Tribes,First Nation,,2380 Hatchery Rd,,British Columbia,Canada,250-746-5741,Don.Elliott@cowichantribes.com,https://cowichantribes.com/
D. Burt & Associates,Company,,2245 Ashlee Road,Nanaimo,British Columbia,Canada,250-753-0027,DBurt_and_Assoc@telus.net,Unknown
D.R. Clough Consulting,Company,,6966 Leland Road   ,Lantzville,British Columbia,Canada,250-390-2901 / 250-714-5416 (cell),drclough@shaw.ca,Unknown
Department of Fisheries and Oceans - Coded Wire Tag Program,Government,Coded Wire Tag Program,3189 Hammond Bay Road,Nanaimo,British Columbia,Canada,250-756-7224,kathryn.fraser@dfo-mpo.gc.ca,https://www.pac.dfo-mpo.gc.ca/pacific-smon-pacifique/science/research-recherche/cwt-mmc-eng.html
Department of Fisheries and Oceans - Genetics Laboratory,Government,Genetics Laboratory,3190 Hammond Bay Road,Nanaimo,British Columbia,Canada,250-756-7224,john.candy@dfo-mpo.gc.ca,https://www.pac.dfo-mpo.gc.ca/science/facilities-installations/pbs-sbp/mgl-lgm/index-eng.html
Ditidaht First Nation,First Nation,,Box 340,Port Alberni,British Columbia,Canada,250-745-3333,psieber@ditidaht.ca,https://www.nitinaht.com/
DMT Fisheries Society,First Nation,,,Alert Bay,British Columbia,Canada,250-287-2955,bert@dmtfisheries.ca,https://mamalilikulla.ca/
Ecofish Research Ltd ,Company,,600 Comox Road,Courtenay,British Columbia,Canada,250-334-3042,imurphy@ecofishresearch.com,https://www.ecofishresearch.com/
Ecometric Research ,Company,,3560 West 22nd  Avenue,Vancouver,British Columbia,Canada,604-737-8314,jkorman@ecometric.com,http://ecometric.com/
EKOS Research Associates,Company,,"359 Kent St,  Suite 300",Ottawa,Ontario,Canada,613-235-7215 (ext. 112),djansen@ekos.com,https://ekos.com/
ESSA Technologies Ltd,Company,,#600-2695 Granville St,Vancouver,British Columbia,Canada,604-637-9591,bma@essa.com,https://essa.com/
Fraser Thompson Indian Services Society (formerly Nlaka'pamux Nation),First Nation,,1632 St. Georges Road,Lytton,British Columbia,Canada,250-455-2711,nlakapamux@nntc.ca,https://www.nntc.ca/pages/affiliates.aspx
Fraser Valley Aboriginal Fisheries Society,First Nation,,4071 Soowahlie Road,Cultus Lake,British Columbia,Canada,1-888-282-2111,kenneth.malloway@gmail.com,Unknown
Galeforce Consultants Ltd.,Company,,7222 Warner Street,Powell River,British Columbia,Canada,604-414-6174,H20_cathy@hotmail.com,http://galeforceconsulting.com/
Gitga'at First Nation,First Nation,,445 Hayimiisaxaa Way,Hartley Bay,British Columbia,Canada,250-841-2500,brucereece@gitgaat.ca ,http://gitgaatnation.ca/
Gitksan Watershed Authorities,First Nation,,Box 166,Hazelton,British Columbia,Canada,250-842-2213,,http://gitksanwatershed.com/
Gitxaala Nation,First Nation,,11 Ocean Drive,Kitkatla,British Columbia,Canada,250-848-2214,,https://www.gitxaalanation.com/
Golder Associates Ltd.,Company,,Suite 300- 398 Harbour Road,Victoria,British Columbia,Canada,250-881-7372,Jesse_Maddaloni@golder.com,https://www.golder.com/
Haisla Nation Council,First Nation,,Box 1101,Kitamaat Village,British Columbia,Canada,250-639-9361,fisheries@haisla.ca,https://haisla.ca/
Ha'oom Fisheries Society,First Nation,,"320 Opitsaht  IR Road, PO Box 1108",Tofino,British Columbia,Canada,250-725-2802,paul@haoom.ca,https://www.haoom.ca/
Heiltsuk Tribal Council,First Nation,,Box 880,Waglisla,British Columbia,Canada,250-957-2381,reception@heiltsuk.ca,http://www.heiltsuknation.ca/
High Bar First Nation,First Nation,,Box 458,Clinton,British Columbia,Canada,250-459-2117,cao@hbfn.ca,https://www.highbarfirstnation.ca/
Hupacasath First Nation,First Nation,,Box 211,Port Alberni,British Columbia,Canada,250-724-4091,Rick@hupacasath.ca,https://hupacasath.ca/
Huu-ay-aht First Nation,First Nation,,4644 Adelaide St,Port Alberni,British Columbia,Canada,250-728-3414,christine.g@huuayaht.org,https://huuayaht.org/
InStream Fisheries Research Inc.,Company,, 215-2323 Boundary Rd.,Vancouver,British Columbia,Canada,604-428-8819,dani@instream.net,https://instream.net/
J.O. Thomas and Associates,Company,,1370 Kootenay St,Vancouver,British Columbia,Canada,604-291-6340,tallmand@jothomas.com,Unknown
Jim Wilson Contracting,Company,,638 Glen Rd,Gibsons,British Columbia,Canada,604-740-2962,eos@telus.net,Unknown
"Kintama Research Services, Ltd",Company,,4737 Vista View Cres.   Nanaimo,Nanaimo,British Columbia,Canada,250-744-0019,david.welch@kintama.com,http://kintama.com/
Kitasoo First Nation,First Nation,,General Delivery,Klemtu,British Columbia,Canada,250-839-1255,kitasooband@gmail.com,https://klemtu.com/
Kitselas First Nation,First Nation,,2225 Gitaus Road,Terrace,British Columbia,Canada,778-634-3517,mrso@kitselas.com,www.kitselas.com
Kitsumkalum First Nation,First Nation,,Box 544,Terrace,British Columbia,Canada,250-635-5000,,www.kitsumkalum.com
Klahoose First Nation,First Nation,,Box 9,Squirrel Cove,British Columbia,Canada,250-935-6536,kevinpeacey@klahoose.org,www.klahoose.org
Kwakiutl First Nation,First Nation,,Box 1440,Port Hardy,British Columbia,Canada,250-949-6012,reception@kwakiutl.bc.ca,https://www.kwakiutl.bc.ca/
Kyuquot First Nation,First Nation,,General Delivery,Kyuquot,British Columbia,Canada,250-656-0127,frankdragon61@hotmail.com,https://kyuquotbc.ca/
Lake Babine Nation,First Nation,,Box 879,Burns Lake,British Columbia,Canada,250-692-4700,receptionist@lakebabine.com,www.lakebabine.com
Lax Kw�alaams First Nation,First Nation,,206 Shashaak Street,Port Simpson,British Columbia,Canada,250-625-3293,bill_fisheries@laxband.com,http://laxkwalaams.ca/
LGL Limited,Company,Sidney Office,9768 Second Street,Sidney,British Columbia,Canada,250-656-0127,bbocking@lgl.com,https://www.lgl.com/en/
Lheidli T'enneh First Nation,First Nation,,1041 Whenun Road,Prince George,British Columbia,Canada,250-963-8451,info@lheidli.ca,https://www.lheidli.ca/
Lhtako Dene Nation,First Nation,,Box 4069,Quesnel,British Columbia,Canada,250-747-2900,reception@lhtako.ca,http://carrierchilcotin.org/lhtako-dene-nation/
Lil'wat Nation,First Nation,,321 Road #10,Mount Currie,British Columbia,Canada,604-894-6115,Maxine.bruce@lilwat.ca ,https://lilwat.ca/
Mainland Enhancement of Salmonid Species Society,Company,,General Delivery,Simoom Sound,British Columbia,Canada,250-230-0955,bennettsonbaker@xplornet.com,http://www.messs.ca/
Malahat First Nation,First Nation,,110 Thunder Road,Mill Bay,British Columbia,Canada,250-,info@malahatnation.com,www.malahatnation.com
Marc Labelle,Company,,P.O Box 33,Brentwood Bay ,British Columbia,Canada,250-655-6541,Marc_L@shaw.ca,Unknown
Mark Winston,Company,,101-1878 Robson St.,Vancouver,British Columbia,Canada,604-561-9080,winston@sfu.ca,Unknown
Matsqui First Nation,First Nation,,31989 Harris Road,Pitt Meadows,British Columbia,Canada,604-826-7009,brenda.morgan@shaw.ca,https://labrc.com/first-nation/matsqui/
Maxim Analytics,Company,,can not find information online,,,,,,Unknown
MC Wright & Associates Ltd,Company,,2231 Neil Drive,Nanaimo,British Columbia,Canada,250-753-1055,mike.wright@mcwrightonline.com,http://mcwrightonline.com/
Metlakatla First Nation,First Nation,,PO Box 459,Prince Rupert,British Columbia,Canada,250-628-3234,,http://www.metlakatla.ca/
Moore Laboratory at Simon Fraser University,University,Simon Fraser University,"B6220 Shrum Science Centre, 8888 University Drive",Burnaby,British Columbia,Canada,778-782-9427,adminjwm@sfu.ca,https://www.jonwmoore.org/
Nak'azdli First Nation,First Nation,,PO Box 1329,Fort St James,British Columbia,Canada,250-996-7171,reception@nakazdli.ca,https://www.bcafn.ca/first-nations-bc/nechako/nakazdli
Namgis First Nation,First Nation,,PO Box 210,Alert Bay,British Columbia,Canada,250-974-5556,nicd@namgis.bc.ca,http://www.namgis.bc.ca/
Nanaimo River Stewardship Society,Non-Profit Organization,,PO Box 281,Cassidy,British Columbia,Canada,250-245-7780,bbanks@nanimoriverhatchery.ca,Unknown
Nicomen Indian Band,First Nation,,,Lytton,British Columbia,Canada,778-254-9789,reception@nicomenband.com,https://www.nicomenband.com/
Nootka Sound Watershed Society,Non-Profit Organization,,PO Box 293,Gold River,British Columbia,Canada,250-283-2900,kent@thelodgeatgoldriver.ca,https://www.nootkasound.info/
Northern Shuswap Tribal Council,First Nation,,17 First Avenue South,Williams Lake,British Columbia,Canada,250-392-7361,administration@nstq.org,https://nstq.ca/
Nuu-chah-nulth Tribal Council,First Nation,,5001 Mission Rd- PO Box 1383,Port Alberni,British Columbia,Canada,250-724-5757,jim.lane@nuuchahnulth.org,https://nuuchahnulth.org/
Nuxalk First Nation,First Nation,,Box 65,Bella Coola,British Columbia,Canada,250-799-5959,,https://nuxalknation.ca/
Okanagan Nation Alliance,First Nation,,"#101, 3535 Old Okanagan Hwy",West Bank,British Columbia,Canada,250-707-0095,,https://www.syilx.org/
Okweekeno/Wuikinuxv,First Nation,,,Port Hardy,British Columbia,Canada,250-949-8625,,https://www.wuikinuxv.net/
Pacheedaht First Nation,First Nation,,Box 170- 350 Kalaid St,Port Renfrew,British Columbia,Canada,250-647-5521 (ext. 205),research@pacheedaht.ca,https://www.bcafn.ca/first-nations-bc/vancouver-island-coast/pacheedaht-first-nation
Pacific Salmon Foundation,Non-Profit Organization,,#300-1682 West 7th Avenue,Vancouver,British Columbia,Canada,604-664-7664,salmon@psf.ca,https://www.psf.ca/
Pacificus Biological Services Ltd.,Company,,6690 Market Street,Port Hardy,British Columbia,Canada,250-949-9450,doug@pacificus.ca,https://www.pacificus.ca/
Pauquachin,First Nation,,9010 W Saanich Rd,North Saanich,British Columbia,Canada,250-656-0191,,https://www.pauquachin.ca/
Penelakut,First Nation,,,Penelakut,British Columbia,Canada,877-246-0530,denean.jack@penelakut.ca,https://penelakut.ca/
PRA Inc.,Company,,500-363 Broadway,Winnipeg,Manitoba,Canada,1-888-877-6744,admin@pra.ca,https://pra.ca/
Qualicum First Nation,First Nation,,,Qualicum Beach,British Columbia,Canada,,,https://www.qualicumfirstnation.com/band-office
Quatsino First Nation,First Nation,,305 Quattishe Road,Coal Harbour,British Columbia,Canada,250-230-2977,fisheries@quatsinofn.ca,https://quatsinofn.com/
Q'ul-lhanumutsun Aquatic Resources Society,Non-Profit Organization,,PO Box 50013- RPO Askew Creek,Chemainus,British Columbia,Canada,250-246-4736,jordanbromley@qars.ngo,https://aarom.ca/aarom-department-profiles/qul-lhanumutsun-aquatic-resources-society/
Rockfish Services Ltd.,Company,,235 Neen Road,Nanaimo,British Columbia,Canada,250-716-3311,rockfishltd@shaw.ca,Unknown
Fraser River Aboriginal Fisheries Secretariat,First Nation,,,,British Columbia,Canada,250-378-4235,,https://www.scwexmxtribal.com/
Sea This Consulting ,Company,,1814 Bay St,Nanaimo,British Columbia,Canada,250-585-2779,king@seathis.com,Unknown
Shawn Hay,Company,,1671 Juniper Drive,Campbell River,British Columbia,Canada,250-830-4712,shawnhay@icloud.com,Unknown
Shishalh Nation (Sechelt Indian Band),First Nation,,Box 740,Sechelt,British Columbia,Canada,604-740-5600 (ext. 242),squinn@secheltnation.net,https://shishalh.com/
Shuswap Nation Tribal Council,First Nation,,680 West Athabasca Street,Kamloops,British Columbia,Canada,778-471-8200,sntcadmn@shuswapnation.org,https://shuswapnation.org/
Skeena Fisheries Commission,First Nation,,3135 Barnes Crescent,Kispiox,British Columbia,Canada,,stu_barnes@skeenafisheries.ca,http://www.skeenafisheries.ca/
Snuneymuxw First Nation (Nanaimo),First Nation,,668 Centre St.,Nanaimo,British Columbia,Canada,250-740-2330,chrisg@snuneymuxw.ca,https://www.snuneymuxw.ca/
SOLV Consulting Ltd.,Company,,Unit 60607   RPO Granville Park   ,Vancouver,British Columbia,Canada,604-420-1528,Gottfried.pestal@solv.ca,Unknown
Sport Fishing Institute ,Company,,110-7858 Hoskins St,Delta,British Columbia,Canada,604-805-6554,birdo@sportfishing.bc.ca,https://sportfishing.bc.ca/
Sq'ewlets First Nation,First Nation,,Box 76,Lake Erroch,British Columbia,Canada,604-826-5813,katinapennier@gmail.com,http://digitalsqewlets.ca/index-eng.php
Strategic Natural Resource Consultants ,Company,,#2-1488 Beach Drive-  PO Box 1327,Port McNeill,British Columbia,Canada,250-956-2260 (ext.129),kim.lefebvre@snrc.ca,https://snrc.ca/
Sts'ailes First Nation,First Nation,,4690 Salish Way,Agassiz,British Columbia,Canada,604-796-2116,admin.reception@stsailes.com,https://www.stsailes.com/
T�it�q�et First Nation,First Nation,,59 Retasket Street,Lillooet,British Columbia,Canada,250-256-4544,tfnadmin@titqet.org,http://www.titqet.org/
Taku River Tlingit First Nation Crown,First Nation,Crown Clan,Box 132,Atlin,British Columbia,Canada,250-651-7900,finance.officer@gov.trtfn.com,http://trtfn.com/
Taku River Tlingit First Nation Wolf,First Nation,Wolf Clan,Box 132,Atlin,British Columbia,Canada,250-651-7900,finance.officer@gov.trtfn.com,http://trtfn.com/
Teslin Tlingit Council,First Nation,,Box 133,Teslin,Yukon Territory,Canada,867-390-2532,,http://www.ttc-teslin.com/
Thornton Creek Enhancement Society ,Company,,PO Box 255,Ucluelet,British Columbia,Canada,250-726-7566,thorton.creek.hatchery@gmail.com,https://www.thorntoncreekhatchery.com/
Tla'amin Nation,First Nation,,4779 Klahanie Rd.,Powell River,British Columbia,Canada,604-483-4111,Tyrone.Wilson@tn-bc.ca,https://www.tlaaminnation.com/
Tl'azt'en Nation,First Nation,,Box 670,Fort St James,British Columbia,Canada,250-648-3212,,http://tlaztennation.ca/contact/
Tofino Salmon Enhancement Society,Non-Profit Organization,,Box 476,Tofino,British Columbia,Canada,250-725-2376,tdpalfrey@hotmail.com,Unknown
Triton Environmental Consultants Ltd.,Company,,650-1040 West Georgia Street   ,Vancouver,British Columbia,Canada,604-631-2211,dwood@triton-env.com,
Tseshaht First Nation ,First Nation,,5091 Tsuma-as Drive,Port Alberni,British Columbia,Canada,250-724-1225,fisheries@Tseshaht.com,
Uchucklesaht Tribe,First Nation,,Suite A � 5251  Argyle St,Port Alberni,British Columbia,Canada,250-724-1832,ryan.anaka@uchucklesaht.ca,
Ulkatcho,First Nation,,PO Box 3430,Anahim Lake,British Columbia,Canada,250-742-3288,bjohnson@ulkatcho.ca,https://www.ulkatcho.ca/
VIC Ritchie Foundation (Gillard Pass Fisheries Association),Non-Profit Organization,,756 Serengeti Avenue,Campbell River,British Columbia,Canada,250-287-0845,Ritchie.foundation@shaw.ca,
West Coast Aquatic Management Association,Company,,Unit B - 4770 Johnston Rd.,Port Alberni,British Columbia,Canada,250-723-0708,tawney@westcoastaquatic.ca,http://westcoastaquatic.ca/
Wet'suwet�en Treaty Office Society,First Nation,,"205 Beaver Road, Suite 1",Smithers,British Columbia,Canada,250-847-3630,dpierre@wetsuweten.com,https://www.wetsuweten.com/
Wild Coast Environmental Consulting,Company,,2824 Woodland Drive,Port McNeill,British Columbia,Canada,250-514-5662,wildcoastenvironmental@gmail.com,
Wild salmon Centre,Non-Profit Organization,Headquarters,"721 NW Ninth Ave, Suite 300",Portland,Oregon,United States of America,503-222-1804,,https://www.wildsalmoncenter.org/
Wood Environment & Infrastructure Solutions,Company,,#600 4445 Lougheed Hwy,Burnaby,British Columbia,Canada,604-294-3811,duncan.hendricks@woodplc.com,
Wuikinuxv Nation,First Nation,,Bag 3500,Port Hardy,British Columbia,Canada,250-949-8625,tribal_manager@wuikinuxv.net,http://www.wuikinuxv.net/
Yale First Nation,First Nation,,Box 1869,Hope,British Columbia,Canada,604-869-0013,reception@yalefirstnation.ca,https://www.yalefirstnation.ca/
