Project Number,Agreement Number,Project Name,Project Description,Agreement Database,Agreement Comment, Agreement Information??-connections,Funding Sources,Other Funding Sources,Agreement Type,Lead Organization,Fund Years-with costing,Project Start Date,Project End Date,Region,Ecosystem Type,Primary_River,Secondary River,Lake System,Watershed Name,DFO Management Area,Lat,Long,Stock Management Unit,CUIndex,CUName,Species,Salmon Life Stage,Project Stage,Project_Type,Project_Subtype,Monitoring_Approach,Project_Theme,Project_Core_Element,Project_Supportive_Element,Project Purpose,Category Comments,Links to other DFO Programs,Linked DFO Program Project Reference,Links to other Government Departments,Policy and Program Connections,DFO Project Authority,DFO Aboriginal Affairs Advisor,Area Chief,DFO Resource manager,First Nations,First Nations Contact,First Nations Contact Role,DFO Biologists or Technicians,Partners,Partners Primary Contact,Contractors,Contractors Primary Contact,Method Type,Location/Organization responsible for Scale Processing,Location/Organization responsible for Otolith Processing,Location/Organization responsible for DNA Processing,Location/Organization responsible for Heads Processing,Location/Organization responsible for Instrument Data Processing,Method Document Type,Traditional Ecological Knowledge Considered?,Reference Number,Link to Document,Samples Collected,Samples Collected Comment,Samples Collected Database,Barrier to sample collection?,Was sample collection data entered into database(s)?,Was sample data quality check complete?,How was data quality check completed?,Barriers to data checks/enter into database,Sample Collection Format(s),Data Products,Data Products Database(s),Data Products Comment,Data Programs,How was the data communicated to recipient?,Report Timeline,Report Limitations and concerns,Report Types,Document Name,Document Owner/Author,Document Reference Information,Document Link,Is this report published?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-3-A5,Pacific Salmon Treaty funds to support the Lower Harrison River Watershed Adult Chum Tagging and Stream Surveys,"Improve the delivery and accuracy of the chum enumeration program, escapement estimate, and stream surveys for Fiscal Year 2020-2021 by providing additional staffing, equipment, and general operating expenses.",APGIS,,,"AFS,PST",,Amendment,First Nations,2020,2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Chehalis River,Unknown,Harrison River,Unknown,49.21890306,-121.9450663,FRASER CHUM SALMON,CM-2,LOWER FRASER,CM,Adult,Active,Population Science,Monitoring,Extensive,Escapement,Field Work,Data Collection,Improve Monitoring Data Quality,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Stream Walks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Counts,Mark/Tagging-Unspecified",Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-FIA-AFS-1837,AFS2018-MLT-1837-3-A6,Operational Capacity Funding - 4x4 Pickup Truck Purchase,"The organization will purchase a 4x4 ½ ton pickup truck to replace its primary fisheries vehicle which is from 2005, and is worn out from 15 years of heavy use. ",APGIS,,,AFS,,Amendment,First Nations,2020,2018-04-01,2020-03-31,FIA,Freshwater,Harrison River,Unknown,Unknown,Harrison River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Adult,Completed,Population Science,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Joe Tadey,Unknown,Timber Whitehouse,Unknown,Sts'ailes First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-0-A2,Somass Watershed Sockeye Salmon Enumeration,"This project focuses on the Somass River watershed. The Somass is one of the largest sockeye rivers in B.C.  It is a crucial component of the Organization's food, social and ceremonial catch as well as the other five First Nations in the Barkley Sound Watershed.  The enumeration work has been conducted by the Organization and DFO over the past 18 years. This activity seeks to continue and build on that work.  The work focuses on the technical aspect of collaborative management, and involves the collection, sampling and dissemination of the Sockeye enumeration data. A biologist has been hired to work with the Organization's Members to help achieve this goal. The short term result of this work will be increased capacity regarding technical science methodology. The Organization sees this as a continuing step to achieving the longer term goal of enabling members to understand, analyze, and apply data to support their interests in collaborative resource management regarding the watershed and approach areas. The goal of this project is to increase the capacity of the Organization to engage in an expanded collaborative relationship with DFO and ensure sustainable management of fish in the Organization's asserted traditional area.",APGIS,,,AFS,,Primary Agreement,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Somass River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,Adult,Active,Population Science ,"Monitoring,Sampling",Indicator,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Nick Brown,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Video,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Counts,Scales",Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-0-A3,Fall Salmon (non-Sockeye) Stock Assessment,"The Organization works with DFO to conduct adult salmon enumeration and biological sampling at the Stamp, Sproat River and Great Central Lake fish ways from May until November. Work is done under contract with DFO South Coast Stock Assessment Unit (Diana Dobson). The Organization's AFS funded guardian (non-designated) and fisheries manager assist other Hupacasath staff with this work as well as interact with DFO assessment staff regularly throughout the duration of the program. 2.",APGIS,,,"AFS,PST",,Primary Agreement,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Sproat Lake,Stamp River,Great Central Lake,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CM,CH,CO",Adult,Active,Population Science ,"Monitoring,Sampling",Extensive,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Snorkle,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Year End Report,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-0-B1,"Food, Social and Ceremonial Fisheries Management - Hupacasath First Nation",The Organization’s Fisheries staff engages their community members to develop their fishing plans. Hupacasath's FSC Somass salmon fishing plans are part of their overall Tsu-ma-uss Fisheries Agreement with DFO and their non-salmon FSC fishing plans are part of this Agreement. Hupacasath Fisheries regularly engages and communicates Hupacasath FSC fishing plans and opportunities to its Members. The Organization’s Fisheries staff provide catch monitoring information to DFO throughout the year according to agreed upon Schedules.,APGIS,,,"AFS,PST",,Primary Agreement,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Somass River,Unknown,Unknown,Unknown,Unknown,51.1930487,-126.6727355,"WCVI COHO SALMON,WCVI CHUM SALMON","CO-17,CM-10","WEST VANCOUVER ISLAND,SOUTHWEST VANCOUVER ISLAND","CO,CH,CM,PK,SK",Adult,Active,Population Science ,"Monitoring,Sampling",Indicator,Catch (First Nations),Field Work,Data Collection,"Contribute to Escapement Estimation,Community Relations",Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Creel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-2-A6,Surplus funding - Juvenile Sockeye Stock Assessment Acoustic Trawl Surveys,"Hupacasath Fisheries has been conducting ATS surveys for the past three seasons. These surveys are an essential tool in assessing the productivity of sockeye nursery lakes and provide data that is directly used in forecasting the adult returns. Locally Hupacasath FN has been conducting two surveys at each Great Central Lake and Sproat Lake annually, but with the recent declines in the stocks in both systems the importance of monitoring these populations has grown. We are proposing two additional surveys at each lake be conducted to ensure accurate pre-smolt estimates can be generated and any mortality events in the lakes be identified. The cost for these additional surveys is outlined below. To date the Hupacasath Fisheries department has not completed any surveys in Henderson Lake due to access issues, but with the recent development of a smaller, more mobile set up, there is an opportunity to restart these surveys. One survey will be funded within this agreement. This survey will provide very important data for DFO stock assessment to accurately forecast the sockeye returns to Henderson Lake. The cost to conduct this survey is detailed below.",APGIS,,,AFS,,Amendment,First Nations,2019,2019-04-01,2022-03-31,SCA,Freshwater,Somass River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Completed,Population Science ,Monitoring,Indicator,Administration,Field Work,Data Collection,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-2-A7,Surplust funding - Fisheries Program Truck (Capital Acquisition),,APGIS,,,AFS,,Amendment,First Nations,2019,2019-04-01,2022-03-31,SCA,Freshwater,Somass River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,Completed,Population Science ,Monitoring,Indicator,Administration,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-3-A4,Spring and Early Summer Salmon Enumeration at Sproat River Fishway and Stamp Falls Fishway,"To estimate escapement of salmon using video counts from the Sproat and Stamp Falls fishways. Counting operations will run from mid-May through mid-Aug, and a sub-sample of videos from both sites will be reviewed to identify fish to species and estimate the portion of marked fish. Biological samples will also be collected (2-3 times per week from fish at both sites to estimate the age and sex composition of escapement).",APGIS,,,"AFS,PST",,Amendment,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Sproat Lake,Stamp River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CO,CH,CM,PK,SK",Adult,Active,Population Science ,"Monitoring,Sampling",Indicator,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer","Leon Lauder,Tony Tatoosh,Ellen Lauder,Leslie Lauder,Cameron Tatoosh",Unknown,Unknown,Unknown,Unknown,"Video,BioData-Tissue Collection,BioData-Visual Observation",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Scales,Tissue Collection-DNA,Counts,Mark/Tagging-Unspecified",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Excel, Database Files",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-3-A5,Late Summer and Fall Salmon Enumeration at Sproat River and Stamp Fall Fishways  - Pacific Salmon Treaty,Late Summer and Fall Salmon Enumeration at Sproat River and Stamp Fall Fishways  - Pacific Salmon Treaty,APGIS,,,"AFS,PST",,Amendment,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Sproat Lake,Stamp River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"CO,CH,CM,PK,SK",Adult,Active,Population Science ,"Monitoring,Sampling",Indicator,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Video,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Scales,Tissue Collection-DNA,Counts,Mark/Tagging-Unspecified",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-4-A6,Great Central Lake and Sproat Lake Sockeye Smolt Out-Migration,Used to install and get traps prepared prior to March 31st. Traps will be in operation until June with the rest of the work to be conducted in fiscal year 2021-2022.,APGIS,,,"AFS,PST",,Amendment,First Nations,2020,2019-04-01,2022-03-31,SCA,Freshwater,Sproat Lake,Robertson Creek,"Sproat Lake, Great Central Lake",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SK,Juvenile,Active,Population Science,"Monitoring,Sampling",Indicator,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Nick Brown,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Counts,Length",Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-SCA-AFS-1913,AFS2019-MLT-1913-6-A8,Rotary Screw Trap (PST),"To hire a company to begin construction of a rotary screw trap (RST). Components to construct are a floating fish rotating screen including a steel trailer; aluminum pontoon base, aluminum fish catch box, and an aluminum cones catching drum. The full estimated cost to build the RST is $51,450.00 plus taxes. The $9,345.00 will be spent this fiscal and the remaining balance will be covered in the 2021-2022 fiscal year. The RST will be used for existing projects to estimate the abundance of the Smolt Out-Migration through Robertson Creek and Sproat River.",APGIS,,,"AFS,PST",,Amendment,First Nations,"2019,2020,2021",2019-04-01,2022-03-31,SCA,Freshwater,Sproat Lake,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Adult,Active,Population Science ,Monitoring,Indicator,Administration,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Diana McHugh,Unknown,Wilf Luedke,Unknown,Hupacasath First Nation,Rick Hewson,"Chief Executive Officer,Chief Financial Officer",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-0-B1,FSC Salmon Catch Monitoring of all Metlakatla and designated non-members fishing (under Metlakatla designation) in the approach waters to the Skeena River (not including sub-areas 4-12 and 4-15) ,"MAR will conduct routine catch monitoring to encourage compliance with the conditions of communal licences.  The MAR staff will conduct on-grounds inspection of personal and vessel designations, observe catch methods, and monitor harvest levels.  MAR operates a FSC salmon validation and distribution program from June - September to assist with FSC needs.  Through this program, salmon are distributed to band members, and dockside validators record by-catch and salmon catch numbers from each vessel that delivers to the program.  Landing stations will be located in Metlakatla and at Metlakatla's Fisheries dock in Prince Rupert.  Records of validation; such as dates, vessels, number of salmon, and distribution to membership will be maintained.  ",APGIS,,,AFS,,Primary Agreement,First Nations,2019,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,53.2255114,-128.6615466,"SKEENA-NASS CHUM SALMON,SKEENA/NASS PINK SALMON,SKEENA COHO SALMON","CO-32,PKO-15,CM-27",LOWER SKEENA,"CO,CH,CM,PK,SK",Adult,Active,Population Science ,Monitoring,Extensive,Escapement,Field Work,Data Collection,Contribute to Escapement Estimation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Creel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Counts,Unknown,NuSEDs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A2,Metlakatla Aquatic Resources Salaries and Wages,"Funding to support a portion of the wagefor the manager, biologist and fisheries technician in the last quarter of the fiscal year to participate in harvest patrols and make call-outs to the community for FSC numbers and meeting participation.   ",APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Staffing,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A3,Surplus Funding - Boat Trailer and Insurance Purchase,"The Organization will purchase an 8600 lb capacity boat trailer for a 24-28' boat, along with insurance.  ",APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A5,Surplus Funding - Survival Suits Purchase,The Organization will purchase six survival suits for their staff.,APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A6,Surplus Funding - Rigid Hull Inflatable Tender Vessel and Trailer Purchase,The Organization will purchase a replacement rigid hull tender vessel and trailer.,APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A7,Surplus Funding - Drone Pilot Training,"Drone pilot training for up to 3 staff members; includes travel to Vancouver, 20 hours of ground school instruction with certified drone trainers and Transport Canada online course.",APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A8,Surplus Funding - Purchase of a Work Truck ,The Organization will purchase a 1 ton work truck,APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-NCA-AFS-1922,AFS2019-MLT-1922-1-A9,Surplus Funding - Purchase of a Containerized Mobile Wet Lab with Fume Hood and PCR Machine,"The Organization will purchase a containerized mobile wet lab with fume hood and PCR machine. The lab will enable Metlakatla staff to prepare biological samples for biotoxin testing relating to food safety, prepare genetic samples of salmon and other species for stock assessment, conduct marine life experiments with controlled conditions to inform ecosystem management decisions, and clam ageing activities for bivalve stock assessment.  ",APGIS,,,AFS,,Amendment,First Nations,2020,2019-04-01,2024-03-31,NCA,Freshwater,Skeena River,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Not applicable,Completed,Population Science ,Monitoring,Extensive,Escapement,Field Work,Equipment Support,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shaun Davies,Unknown,Metlakatla First Nation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Administration,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
