agreement_number,year,annual_agreement_cost,annual_project_cost
AFS2020-MLT-2023-0-A7,2021,"$633,479.00",
AFS2020-MLT-2023-0-A7,2022,"$633,479.00",
AFS2020-MLT-2023-0-A8,2020,"$633,479.00","$75,856.26"
AFS2020-MLT-2023-0-A8,2021,"$633,479.00",
AFS2020-MLT-2023-0-A8,2022,"$633,479.00",
AFS2020-MLT-2023-0-B1,2020,"$633,479.00",
AFS2020-MLT-2023-0-B1,2021,"$633,479.00",
AFS2020-MLT-2023-0-B1,2022,"$633,479.00",
AFS2020-MLT-2023-0-B2,2020,"$633,479.00",
AFS2020-MLT-2023-0-B2,2021,"$633,479.00",
AFS2020-MLT-2023-0-B2,2022,"$633,479.00",
AFS2020-MLT-2023-0-B3,2020,"$633,479.00",
AFS2020-MLT-2023-0-B3,2021,"$633,479.00",
AFS2020-MLT-2023-0-B3,2022,"$633,479.00",
AFS2020-MLT-2023-0-B4,2020,"$633,479.00",
AFS2020-MLT-2023-0-B4,2021,"$633,479.00",
AFS2020-MLT-2023-0-B4,2022,"$633,479.00",
AFS2020-MLT-2023-0-B5,2020,"$633,479.00",
AFS2020-MLT-2023-0-B5,2021,"$633,479.00",
AFS2020-MLT-2023-0-B5,2022,"$633,479.00",
AFS2020-MLT-2023-0-B6,2020,"$633,479.00",
AFS2020-MLT-2023-0-B6,2021,"$633,479.00",
AFS2020-MLT-2023-0-B6,2022,"$633,479.00",
AFS2020-MLT-2023-0-B7,2020,"$633,479.00",
AFS2020-MLT-2023-0-B7,2021,"$633,479.00",
AFS2020-MLT-2023-0-B7,2022,"$633,479.00",
AFS2020-MLT-2023-1-A9,2020,"$968,936.00","$16,160.00"
AFS2020-MLT-2023-1-A9,2021,"$633,479.00",
AFS2020-MLT-2023-1-A9,2022,"$633,479.00",
AFS2020-MLT-2023-1-A10,2020,"$968,936.00","$14,297.00"
AFS2020-MLT-2023-1-A10,2021,"$633,479.00",
AFS2020-MLT-2023-1-A10,2022,"$633,479.00",
AFS2020-MLT-2023-1-A11,2020,"$968,936.00","$30,000.00"
AFS2020-MLT-2023-1-A11,2021,"$633,479.00",
AFS2020-MLT-2023-1-A11,2022,"$633,479.00",
AFS2020-MLT-2023-1-A12,2020,"$968,936.00","$75,000.00"
AFS2020-MLT-2023-1-A12,2021,"$633,479.00",
AFS2020-MLT-2023-1-A12,2022,"$633,479.00",
AFS2020-MLT-2023-1-A13,2020,"$968,936.00","$100,000.00"
AFS2020-MLT-2023-1-A13,2021,"$633,479.00",
AFS2020-MLT-2023-1-A13,2022,"$633,479.00",
AFS2020-MLT-2023-1-A14,2020,"$968,936.00","$100,000.00"
AFS2020-MLT-2023-1-A14,2021,"$633,479.00",
AFS2020-MLT-2023-1-A14,2022,"$633,479.00",
AFS2020-MLT-2023-2-A2,2020,"$968,936.00",
AFS2020-MLT-2023-2-A2,2021,"$633,479.00","$77,785.00"
AFS2020-MLT-2023-2-A2,2022,"$633,479.00",
AFS2020-MLT-2023-2-A3,2020,"$968,936.00",
AFS2020-MLT-2023-2-A3,2021,"$633,479.00","$18,813.46"
AFS2020-MLT-2023-2-A3,2022,"$633,479.00",
AFS2020-MLT-2023-2-A4,2020,"$968,936.00",
AFS2020-MLT-2023-2-A4,2021,"$633,479.00","$10,035.83"
AFS2020-MLT-2023-2-A4,2022,"$633,479.00",
AFS2020-MLT-2023-2-A5,2020,"$968,936.00",
AFS2020-MLT-2023-2-A5,2021,"$633,479.00","$55,632.32"
AFS2020-MLT-2023-2-A5,2022,"$633,479.00",
AFS2020-MLT-2023-2-A6,2020,"$968,936.00",
AFS2020-MLT-2023-2-A6,2021,"$633,479.00","$33,838.33"
AFS2020-MLT-2023-2-A6,2022,"$633,479.00",
AFS2020-MLT-2023-2-A7,2020,"$968,936.00",
AFS2020-MLT-2023-2-A7,2021,"$633,479.00","$13,704.13"
AFS2020-MLT-2023-2-A7,2022,"$633,479.00",
AFS2020-MLT-2023-2-A8,2020,"$968,936.00",
AFS2020-MLT-2023-2-A8,2021,"$633,479.00","$75,856.26"
AFS2020-MLT-2023-2-A8,2022,"$633,479.00",
AFS2020-MLT-2023-2-B1,2020,"$968,936.00",
AFS2020-MLT-2023-2-B1,2021,"$633,479.00",
AFS2020-MLT-2023-2-B1,2022,"$633,479.00",
AFS2020-MLT-2023-2-B2,2020,"$968,936.00",
AFS2020-MLT-2023-2-B2,2021,"$633,479.00",
AFS2020-MLT-2023-2-B2,2022,"$633,479.00",
AFS2020-MLT-2023-2-B3,2020,"$968,936.00",
AFS2020-MLT-2023-2-B3,2021,"$633,479.00",
AFS2020-MLT-2023-2-B3,2022,"$633,479.00",
AFS2020-MLT-2023-2-B4,2020,"$968,936.00",
AFS2020-MLT-2023-2-B4,2021,"$633,479.00",
AFS2020-MLT-2023-2-B4,2022,"$633,479.00",
AFS2020-MLT-2023-2-B5,2020,"$968,936.00",
AFS2020-MLT-2023-2-B5,2021,"$633,479.00",
AFS2020-MLT-2023-2-B5,2022,"$633,479.00",
AFS2020-MLT-2023-2-B6,2020,"$968,936.00",
AFS2020-MLT-2023-2-B6,2021,"$633,479.00",
AFS2020-MLT-2023-2-B6,2022,"$633,479.00",
AFS2020-MLT-2023-2-B7,2020,"$968,936.00",
AFS2020-MLT-2023-2-B7,2021,"$633,479.00",
AFS2020-MLT-2023-2-B7,2022,"$633,479.00",
AFS2020-MLT-2023-2-A9,2020,"$968,936.00",
AFS2020-MLT-2023-2-A9,2021,"$633,479.00","$75,000.00"
AFS2020-MLT-2023-2-A9,2022,"$633,479.00",
AFS2020-MLT-2021-0-A2,2019,"$347,000.00",
AFS2020-MLT-2021-0-A2,2020,"$320,000.00","$58,596.00"
AFS2020-MLT-2021-0-A2,2021,"$320,000.00",
AFS2020-MLT-2021-0-A2,2022,"$320,000.00",
AFS2020-MLT-2021-0-A2,2023,"$320,000.00",
AFS2020-MLT-2021-0-B1,2019,"$347,000.00",
AFS2020-MLT-2021-0-B1,2020,"$320,000.00","$24,466.00"
AFS2020-MLT-2021-0-B1,2021,"$320,000.00",
AFS2020-MLT-2021-0-B1,2022,"$320,000.00",
AFS2020-MLT-2021-0-B1,2023,"$320,000.00",
AFS2020-MLT-2021-1-A3,2019,"$347,000.00",
AFS2020-MLT-2021-1-A3,2020,"$320,000.00","$5,363.00"
AFS2020-MLT-2021-1-A3,2021,"$320,000.00",
AFS2020-MLT-2021-1-A3,2022,"$320,000.00",
AFS2020-MLT-2021-1-A3,2023,"$320,000.00",
AFS2020-MLT-2021-1-A4,2019,"$347,000.00",
AFS2020-MLT-2021-1-A4,2020,"$320,000.00","$23,637.00"
AFS2020-MLT-2021-1-A4,2021,"$320,000.00",
AFS2020-MLT-2021-1-A4,2022,"$320,000.00",
AFS2020-MLT-2021-1-A4,2023,"$320,000.00",
AFS2018-MLT-1837-0-A2,2018,"$250,000.00","$135,606.00"
AFS2018-MLT-1837-0-A2,2019,"$250,000.00","$135,606.00"
AFS2018-MLT-1837-0-A3,2018,"$250,000.00","$35,700.00"
AFS2018-MLT-1837-0-A3,2019,"$250,000.00","$35,700.00"
AFS2018-MLT-1837-1-A4,2018,"$250,000.00",
AFS2018-MLT-1837-1-A4,2019,"$250,000.00","$40,000.00"
AFS2018-MLT-1837-3-A5,2018,"$250,000.00",
AFS2018-MLT-1837-3-A5,2019,"$299,500.00",
AFS2018-MLT-1837-3-A5,2020,"$415,000.00","$40,000.00"
AFS2018-MLT-1837-3-A5,2021,"$250,000.00",
AFS2018-MLT-1837-3-A4,2018,"$250,000.00",
AFS2018-MLT-1837-3-A4,2019,"$299,500.00",
AFS2018-MLT-1837-3-A4,2020,"$415,000.00","$75,000.00"
AFS2018-MLT-1837-3-A4,2021,"$250,000.00",
AFS2018-MLT-1837-0-B1,2018,"$250,000.00","$13,296.00"
AFS2018-MLT-1837-0-B1,2019,"$250,000.00","$13,296.00"
AFS2018-MLT-1837-2-A5,2018,"$250,000.00",
AFS2018-MLT-1837-2-A5,2019,"$299,500.00","$2,019.00"
AFS2018-MLT-1837-2-A5,2020,"$250,000.00",
AFS2018-MLT-1837-2-A5,2021,"$250,000.00",
AFS2018-MLT-1837-3-A6,2018,"$250,000.00",
AFS2018-MLT-1837-3-A6,2019,"$299,500.00",
AFS2018-MLT-1837-3-A6,2020,"$415,000.00","$50,000.00"
AFS2018-MLT-1837-3-A6,2021,"$250,000.00",
AFS2021-MLT-2132-0-A2,2021,"$519,030.00","$287,275.00"
AFS2021-MLT-2132-0-A2,2022,"$263,000.00",
AFS2021-MLT-2132-0-A2,2023,"$263,000.00",
AFS2021-MLT-2132-0-A2,2024,"$263,000.00",
AFS2021-MLT-2132-0-A2,2025,"$263,000.00",
AFS2021-MLT-2132-0-B1,2021,"$519,030.00","$18,967.00"
AFS2021-MLT-2132-0-B1,2022,"$263,000.00",
AFS2021-MLT-2132-0-B1,2023,"$263,000.00",
AFS2021-MLT-2132-0-B1,2024,"$263,000.00",
AFS2021-MLT-2132-0-B1,2025,"$263,000.00",
AFS2020-MLT-2036-0-A2,2020,"$532,040.00","$196,717.00"
AFS2020-MLT-2036-0-A2,2021,"$360,000.00",
AFS2020-MLT-2036-0-A3,2020,"$532,040.00","$39,402.00"
AFS2020-MLT-2036-0-A3,2021,"$360,000.00",
AFS2020-MLT-2036-0-A4,2020,"$532,040.00","$1,259.00"
AFS2020-MLT-2036-0-A4,2021,"$360,000.00",
AFS2020-MLT-2036-0-B1,2020,"$532,040.00","$6,125.00"
AFS2020-MLT-2036-0-B1,2021,"$360,000.00",
AFS2020-MLT-2036-2-A2,2020,"$748,202.00",
AFS2020-MLT-2036-2-A2,2021,"$548,340.00","$188,340.00"
AFS2020-MLT-2036-2-A2,2022,,"$188,340.00"
AFS2020-MLT-2036-2-A3,2020,"$748,202.00",
AFS2020-MLT-2036-2-A3,2021,"$548,340.00","$39,402.00"
AFS2020-MLT-2036-2-A3,2022,,"$39,402.00"
AFS2020-MLT-2036-2-B1,2020,"$748,202.00",
AFS2020-MLT-2036-2-B1,2021,"$548,340.00","$6,125.00"
AFS2020-MLT-2036-2-B1,2022,,"$6,125.00"
AFS2020-MLT-2036-1-A2,2020,"$748,202.00","$196,717.00"
AFS2020-MLT-2036-1-A2,2021,"$360,000.00",
AFS2020-MLT-2036-1-A6,2020,"$748,202.00","$41,162.00"
AFS2020-MLT-2036-1-A6,2021,"$360,000.00",
AFS2020-MLT-2047-0-A3,2020,"$541,000.00","$105,500.00"
AFS2020-MLT-2047-0-A3,2021,"$441,000.00",
AFS2020-MLT-2047-0-A3,2022,"$441,000.00",
AFS2020-MLT-2047-0-A3,2023,"$441,000.00",
AFS2020-MLT-2047-0-A3,2024,"$441,000.00",
AFS2020-MLT-2047-1-A6,2020,"$567,547.00","$100,000.00"
AFS2020-MLT-2047-1-A6,2021,"$441,000.00",
AFS2020-MLT-2047-1-A6,2022,"$441,000.00",
AFS2020-MLT-2047-1-A6,2023,"$441,000.00",
AFS2020-MLT-2047-1-A6,2024,"$441,000.00",
AFS2020-MLT-2047-3-A5,2020,"$647,547.00",
AFS2020-MLT-2047-3-A5,2021,"$541,000.00","$100,000.00"
AFS2020-MLT-2047-3-A5,2022,"$441,000.00",
AFS2020-MLT-2047-3-A5,2023,"$441,000.00",
AFS2020-MLT-2047-3-A5,2024,"$441,000.00",
AFS2020-MLT-2047-2-A7,2020,"$647,547.00","$80,000.00"
AFS2020-MLT-2047-2-A7,2021,"$441,000.00",
AFS2020-MLT-2047-2-A7,2022,"$441,000.00",
AFS2020-MLT-2047-2-A7,2023,"$441,000.00",
AFS2020-MLT-2047-2-A7,2024,"$441,000.00",
AFS2020-MLT-2047-0-A2,2020,"$541,000.00","$5,500.00"
AFS2020-MLT-2047-0-A2,2021,"$441,000.00",
AFS2020-MLT-2047-0-A2,2022,"$441,000.00",
AFS2020-MLT-2047-0-A2,2023,"$441,000.00",
AFS2020-MLT-2047-0-A2,2024,"$441,000.00",
AFS2020-MLT-2047-0-A4,2020,"$541,000.00",
AFS2020-MLT-2047-0-A4,2021,"$441,000.00",
AFS2020-MLT-2047-0-A4,2022,"$441,000.00",
AFS2020-MLT-2047-0-A4,2023,"$441,000.00",
AFS2020-MLT-2047-0-A4,2024,"$441,000.00",
AFS2020-MLT-2047-0-A5,2020,"$541,000.00","$25,000.00"
AFS2020-MLT-2047-0-A5,2021,"$441,000.00",
AFS2020-MLT-2047-0-A5,2022,"$441,000.00",
AFS2020-MLT-2047-0-A5,2023,"$441,000.00",
AFS2020-MLT-2047-0-A5,2024,"$441,000.00",
AFS2020-MLT-2047-0-B1,2020,"$541,000.00","$11,000.00"
AFS2020-MLT-2047-0-B1,2021,"$441,000.00",
AFS2020-MLT-2047-0-B1,2022,"$441,000.00",
AFS2020-MLT-2047-0-B1,2023,"$441,000.00",
AFS2020-MLT-2047-0-B1,2024,"$441,000.00",
AFS2021-MLT-2102-0-A1,2021,"$42,700.00","$18,075.00"
AFS2021-MLT-2102-0-A1,2022,"$16,900.00","$18,075.00"
AFS2021-MLT-2102-0-A1,2023,"$16,900.00",
AFS2021-MLT-2102-0-A1,2024,"$16,900.00",
AFS2021-MLT-2102-0-A1,2025,"$16,900.00",
AFS2021-MLT-2102-0-B1,2021,"$42,700.00","$16,400.00"
AFS2021-MLT-2102-0-B1,2022,"$16,900.00","$16,400.00"
AFS2021-MLT-2102-0-B1,2023,"$16,900.00",
AFS2021-MLT-2102-0-B1,2024,"$16,900.00",
AFS2021-MLT-2102-0-B1,2025,"$16,900.00",
AFS2021-MLT-2102-0-B3,2021,"$42,700.00",$500.00
AFS2021-MLT-2102-0-B3,2022,"$16,900.00",$500.00
AFS2021-MLT-2102-0-B3,2023,"$16,900.00",
AFS2021-MLT-2102-0-B3,2024,"$16,900.00",
AFS2021-MLT-2102-0-B3,2025,"$16,900.00",
AFS2021-MLT-2102-0-B2,2021,"$42,700.00","$7,725.00"
AFS2021-MLT-2102-0-B2,2022,"$16,900.00","$7,725.00"
AFS2021-MLT-2102-0-B2,2023,"$16,900.00",
AFS2021-MLT-2102-0-B2,2024,"$16,900.00",
AFS2021-MLT-2102-0-B2,2025,"$16,900.00",
5J440-CED-2020-212-A1,2020,,"$316,712.00"
5J440-CED-2020-212-A1,2021,,"$316,712.00"
5J440-CED-2020-212-A2,2020,,"$316,712.00"
5J440-CED-2020-212-A2,2021,,"$316,712.00"
5J440-CED-2020-218-A1,2020,,"$158,040.00"
