,Grid,Week,Species,cfa,CEU,SS,FS
91787,OP-270,17,Snow Crab,12E,162.5714,0.000111,0.018
92827,OQ-270,17,Snow Crab,12E,162.5714,0.000111,0.018
93891,OR-271,17,Snow Crab,12E,162.5714,0.000111,0.018
96031,OT-272,17,Snow Crab,12E,162.5714,0.000111,0.018
99239,OW-273,17,Snow Crab,12E,162.5714,0.000111,0.018
100273,OX-272,17,Snow Crab,12E,162.5714,0.000111,0.018
100283,OX-273,17,Snow Crab,12E,162.5714,0.000111,0.018
100293,OX-274,17,Snow Crab,12E,162.5714,0.000111,0.018
101307,OY-271,17,Snow Crab,12E,162.5714,0.000111,0.018
101317,OY-272,17,Snow Crab,12E,162.5714,0.000111,0.018
101327,OY-273,17,Snow Crab,12E,162.5714,0.000111,0.018
101337,OY-274,17,Snow Crab,12E,162.5714,0.000111,0.018
102327,OZ-272,17,Snow Crab,12E,162.5714,0.000111,0.018
102337,OZ-273,17,Snow Crab,12E,162.5714,0.000111,0.018
103342,PA-271,17,Snow Crab,12E,162.5714,0.000111,0.018
103352,PA-272,17,Snow Crab,12E,162.5714,0.000111,0.018
104307,PB-272,17,Snow Crab,12E,162.5714,0.000111,0.018
57884,NK-257,22,Snow Crab,12E,236,0.000077,0.0181
59098,NL-259,22,Snow Crab,12E,236,0.000077,0.0181
59108,NL-260,22,Snow Crab,12E,236,0.000077,0.0181
59118,NL-261,22,Snow Crab,12E,236,0.000077,0.0181
59133,NL-262,22,Snow Crab,12E,236,0.000077,0.0181
60290,NM-259,22,Snow Crab,12E,236,0.000077,0.0181
60300,NM-260,22,Snow Crab,12E,236,0.000077,0.0181
60310,NM-261,22,Snow Crab,12E,236,0.000077,0.0181
66015,NR-264,22,Snow Crab,12E,236,0.000077,0.0181
68112,NT-264,22,Snow Crab,12E,236,0.000077,0.0181
69201,NU-265,22,Snow Crab,12E,236,0.000077,0.0181
78966,OD-267,22,Snow Crab,12E,236,0.000077,0.0181
80106,OE-267,22,Snow Crab,12E,236,0.000077,0.0181
81227,OF-269,22,Snow Crab,12E,236,0.000077,0.0181
82323,OG-268,22,Snow Crab,12E,236,0.000077,0.0181
84508,OI-268,22,Snow Crab,12E,236,0.000077,0.0181
86628,OK-269,22,Snow Crab,12E,236,0.000077,0.0181
87666,OL-269,22,Snow Crab,12E,236,0.000077,0.0181
87676,OL-270,22,Snow Crab,12E,236,0.000077,0.0181
88704,OM-268,22,Snow Crab,12E,236,0.000077,0.0181
89754,ON-268,22,Snow Crab,12E,236,0.000077,0.0181
89764,ON-269,22,Snow Crab,12E,236,0.000077,0.0181
90778,OO-268,22,Snow Crab,12E,236,0.000077,0.0181
91772,OP-268,22,Snow Crab,12E,236,0.000077,0.0181
91782,OP-269,22,Snow Crab,12E,236,0.000077,0.0181
92812,OQ-268,22,Snow Crab,12E,236,0.000077,0.0181
92822,OQ-269,22,Snow Crab,12E,236,0.000077,0.0181
93866,OR-268,22,Snow Crab,12E,236,0.000077,0.0181
93876,OR-269,22,Snow Crab,12E,236,0.000077,0.0181
93886,OR-270,22,Snow Crab,12E,236,0.000077,0.0181
94930,OS-268,22,Snow Crab,12E,236,0.000077,0.0181
94940,OS-269,22,Snow Crab,12E,236,0.000077,0.0181
95996,OT-268,22,Snow Crab,12E,236,0.000077,0.0181
97072,OU-268,22,Snow Crab,12E,236,0.000077,0.0181
98138,OV-269,22,Snow Crab,12E,236,0.000077,0.0181
98158,OV-271,22,Snow Crab,12E,236,0.000077,0.0181
98168,OV-272,22,Snow Crab,12E,236,0.000077,0.0181
99194,OW-268,22,Snow Crab,12E,236,0.000077,0.0181
99204,OW-269,22,Snow Crab,12E,236,0.000077,0.0181
99214,OW-270,22,Snow Crab,12E,236,0.000077,0.0181
99224,OW-271,22,Snow Crab,12E,236,0.000077,0.0181
99234,OW-272,22,Snow Crab,12E,236,0.000077,0.0181
99244,OW-273,22,Snow Crab,12E,236,0.000077,0.0181
100248,OX-269,22,Snow Crab,12E,236,0.000077,0.0181
100258,OX-270,22,Snow Crab,12E,236,0.000077,0.0181
100268,OX-271,22,Snow Crab,12E,236,0.000077,0.0181
100278,OX-272,22,Snow Crab,12E,236,0.000077,0.0181
100288,OX-273,22,Snow Crab,12E,236,0.000077,0.0181
101302,OY-270,22,Snow Crab,12E,236,0.000077,0.0181
101312,OY-271,22,Snow Crab,12E,236,0.000077,0.0181
101322,OY-272,22,Snow Crab,12E,236,0.000077,0.0181
101332,OY-273,22,Snow Crab,12E,236,0.000077,0.0181
102322,OZ-271,22,Snow Crab,12E,236,0.000077,0.0181
102332,OZ-272,22,Snow Crab,12E,236,0.000077,0.0181
103347,PA-271,22,Snow Crab,12E,236,0.000077,0.0181
91825,OP-272,26,Snow Crab,12E,73.0286,0.000248,0.0181
92846,OQ-271,26,Snow Crab,12E,73.0286,0.000248,0.0181
108946,PH-278,26,Snow Crab,12E,73.0286,0.000248,0.0181
68131,NT-265,24,Snow Crab,12E,142,0.000129,0.0183
106789,PE-273,24,Snow Crab,12E,142,0.000129,0.0183
107538,PF-276,24,Snow Crab,12E,142,0.000129,0.0183
107555,PF-277,24,Snow Crab,12E,142,0.000129,0.0183
105218,PC-272,25,Snow Crab,12E,142,0.000141,0.02
106033,PD-274,25,Snow Crab,12E,142,0.000141,0.02
92861,OQ-272,24,Snow Crab,12E,142,0.000145,0.0206
93925,OR-273,24,Snow Crab,12E,142,0.000145,0.0206
99246,OW-273,24,Snow Crab,12E,142,0.000145,0.0206
100280,OX-272,24,Snow Crab,12E,142,0.000145,0.0206
100290,OX-273,24,Snow Crab,12E,142,0.000145,0.0206
100300,OX-274,24,Snow Crab,12E,142,0.000145,0.0206
101314,OY-271,24,Snow Crab,12E,142,0.000145,0.0206
101324,OY-272,24,Snow Crab,12E,142,0.000145,0.0206
102324,OZ-271,24,Snow Crab,12E,142,0.000145,0.0206
102334,OZ-272,24,Snow Crab,12E,142,0.000145,0.0206
103349,PA-271,24,Snow Crab,12E,142,0.000145,0.0206
60283,NM-258,25,Snow Crab,12E,142,0.000151,0.0214
61461,NN-260,25,Snow Crab,12E,142,0.000151,0.0214
91805,OP-271,25,Snow Crab,12E,142,0.000151,0.0214
99237,OW-272,25,Snow Crab,12E,142,0.000151,0.0214
99247,OW-273,25,Snow Crab,12E,142,0.000151,0.0214
100271,OX-271,25,Snow Crab,12E,142,0.000151,0.0214
100281,OX-272,25,Snow Crab,12E,142,0.000151,0.0214
100291,OX-273,25,Snow Crab,12E,142,0.000151,0.0214
101315,OY-271,25,Snow Crab,12E,142,0.000151,0.0214
102325,OZ-271,25,Snow Crab,12E,142,0.000151,0.0214
103350,PA-271,25,Snow Crab,12E,142,0.000151,0.0214
93910,OR-272,26,Snow Crab,12E,73.0286,0.000297,0.0217
94983,OS-272,26,Snow Crab,12E,73.0286,0.000297,0.0217
103371,PA-273,26,Snow Crab,12E,73.0286,0.000297,0.0217
103381,PA-274,26,Snow Crab,12E,73.0286,0.000297,0.0217
103400,PA-275,26,Snow Crab,12E,73.0286,0.000297,0.0217
104326,PB-273,26,Snow Crab,12E,73.0286,0.000297,0.0217
104336,PB-274,26,Snow Crab,12E,73.0286,0.000297,0.0217
104346,PB-275,26,Snow Crab,12E,73.0286,0.000297,0.0217
105229,PC-273,26,Snow Crab,12E,73.0286,0.000297,0.0217
106024,PD-273,26,Snow Crab,12E,73.0286,0.000297,0.0217
106791,PE-273,26,Snow Crab,12E,73.0286,0.000297,0.0217
107530,PF-275,26,Snow Crab,12E,73.0286,0.000297,0.0217
108245,PG-275,26,Snow Crab,12E,73.0286,0.000297,0.0217
108255,PG-276,26,Snow Crab,12E,73.0286,0.000297,0.0217
108274,PG-277,26,Snow Crab,12E,73.0286,0.000297,0.0217
108917,PH-276,26,Snow Crab,12E,73.0286,0.000297,0.0217
80123,OE-268,23,Snow Crab,12E,236,0.000092,0.0217
81213,OF-268,23,Snow Crab,12E,236,0.000092,0.0217
83431,OH-269,23,Snow Crab,12E,236,0.000092,0.0217
84499,OI-267,23,Snow Crab,12E,236,0.000092,0.0217
84509,OI-268,23,Snow Crab,12E,236,0.000092,0.0217
84525,OI-269,23,Snow Crab,12E,236,0.000092,0.0217
85559,OJ-268,23,Snow Crab,12E,236,0.000092,0.0217
85569,OJ-269,23,Snow Crab,12E,236,0.000092,0.0217
86609,OK-267,23,Snow Crab,12E,236,0.000092,0.0217
86619,OK-268,23,Snow Crab,12E,236,0.000092,0.0217
86629,OK-269,23,Snow Crab,12E,236,0.000092,0.0217
87637,OL-266,23,Snow Crab,12E,236,0.000092,0.0217
87647,OL-267,23,Snow Crab,12E,236,0.000092,0.0217
87657,OL-268,23,Snow Crab,12E,236,0.000092,0.0217
87667,OL-269,23,Snow Crab,12E,236,0.000092,0.0217
87677,OL-270,23,Snow Crab,12E,236,0.000092,0.0217
88675,OM-265,23,Snow Crab,12E,236,0.000092,0.0217
88685,OM-266,23,Snow Crab,12E,236,0.000092,0.0217
88695,OM-267,23,Snow Crab,12E,236,0.000092,0.0217
88705,OM-268,23,Snow Crab,12E,236,0.000092,0.0217
88715,OM-269,23,Snow Crab,12E,236,0.000092,0.0217
89735,ON-266,23,Snow Crab,12E,236,0.000092,0.0217
89745,ON-267,23,Snow Crab,12E,236,0.000092,0.0217
89755,ON-268,23,Snow Crab,12E,236,0.000092,0.0217
89765,ON-269,23,Snow Crab,12E,236,0.000092,0.0217
89775,ON-270,23,Snow Crab,12E,236,0.000092,0.0217
90759,OO-266,23,Snow Crab,12E,236,0.000092,0.0217
90769,OO-267,23,Snow Crab,12E,236,0.000092,0.0217
90779,OO-268,23,Snow Crab,12E,236,0.000092,0.0217
90789,OO-269,23,Snow Crab,12E,236,0.000092,0.0217
91763,OP-267,23,Snow Crab,12E,236,0.000092,0.0217
91773,OP-268,23,Snow Crab,12E,236,0.000092,0.0217
91783,OP-269,23,Snow Crab,12E,236,0.000092,0.0217
91793,OP-270,23,Snow Crab,12E,236,0.000092,0.0217
92803,OQ-267,23,Snow Crab,12E,236,0.000092,0.0217
92813,OQ-268,23,Snow Crab,12E,236,0.000092,0.0217
92823,OQ-269,23,Snow Crab,12E,236,0.000092,0.0217
93857,OR-267,23,Snow Crab,12E,236,0.000092,0.0217
93867,OR-268,23,Snow Crab,12E,236,0.000092,0.0217
93877,OR-269,23,Snow Crab,12E,236,0.000092,0.0217
93887,OR-270,23,Snow Crab,12E,236,0.000092,0.0217
94911,OS-266,23,Snow Crab,12E,236,0.000092,0.0217
94921,OS-267,23,Snow Crab,12E,236,0.000092,0.0217
94931,OS-268,23,Snow Crab,12E,236,0.000092,0.0217
94941,OS-269,23,Snow Crab,12E,236,0.000092,0.0217
94951,OS-270,23,Snow Crab,12E,236,0.000092,0.0217
95987,OT-267,23,Snow Crab,12E,236,0.000092,0.0217
95997,OT-268,23,Snow Crab,12E,236,0.000092,0.0217
96007,OT-269,23,Snow Crab,12E,236,0.000092,0.0217
96017,OT-270,23,Snow Crab,12E,236,0.000092,0.0217
96027,OT-271,23,Snow Crab,12E,236,0.000092,0.0217
96037,OT-272,23,Snow Crab,12E,236,0.000092,0.0217
97063,OU-267,23,Snow Crab,12E,236,0.000092,0.0217
97073,OU-268,23,Snow Crab,12E,236,0.000092,0.0217
97083,OU-269,23,Snow Crab,12E,236,0.000092,0.0217
97093,OU-270,23,Snow Crab,12E,236,0.000092,0.0217
97103,OU-271,23,Snow Crab,12E,236,0.000092,0.0217
97113,OU-272,23,Snow Crab,12E,236,0.000092,0.0217
98129,OV-268,23,Snow Crab,12E,236,0.000092,0.0217
98139,OV-269,23,Snow Crab,12E,236,0.000092,0.0217
98149,OV-270,23,Snow Crab,12E,236,0.000092,0.0217
98159,OV-271,23,Snow Crab,12E,236,0.000092,0.0217
98169,OV-272,23,Snow Crab,12E,236,0.000092,0.0217
98179,OV-273,23,Snow Crab,12E,236,0.000092,0.0217
98195,OV-274,23,Snow Crab,12E,236,0.000092,0.0217
99235,OW-272,23,Snow Crab,12E,236,0.000092,0.0217
99245,OW-273,23,Snow Crab,12E,236,0.000092,0.0217
100249,OX-269,23,Snow Crab,12E,236,0.000092,0.0217
101303,OY-270,23,Snow Crab,12E,236,0.000092,0.0217
101313,OY-271,23,Snow Crab,12E,236,0.000092,0.0217
102323,OZ-271,23,Snow Crab,12E,236,0.000092,0.0217
103348,PA-271,23,Snow Crab,12E,236,0.000092,0.0217
108232,PG-274,23,Snow Crab,12E,236,0.000092,0.0217
108242,PG-275,23,Snow Crab,12E,236,0.000092,0.0217
108252,PG-276,23,Snow Crab,12E,236,0.000092,0.0217
108904,PH-275,23,Snow Crab,12E,236,0.000092,0.0217
108914,PH-276,23,Snow Crab,12E,236,0.000092,0.0217
108924,PH-277,23,Snow Crab,12E,236,0.000092,0.0217
109555,PI-276,23,Snow Crab,12E,236,0.000092,0.0217
109576,PI-277,23,Snow Crab,12E,236,0.000092,0.0217
115788,PZ-291,27,Snow Crab,12F,71.1429,0.000313,0.0223
115799,PZ-292,27,Snow Crab,12F,71.1429,0.000313,0.0223
115995,QA-290,27,Snow Crab,12F,71.1429,0.000313,0.0223
116186,QB-290,27,Snow Crab,12F,71.1429,0.000313,0.0223
103362,PA-273,17,Snow Crab,12E,162.5714,0.000138,0.0225
