Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Aquaculture science,Aquaculture fish health,"Characterization of historical patterns of pathogen and disease prevalence on existing farms, using farm and audit fish health data.",AQ-01,"Infectious salmon anemia 
Diseases affecting: farmed salmonids in PAC Region, particularly chinook salmon found in West Coast Vancouver Island; farmed Sablefish in PAC Region; cleaner fish being used in Atlantic salmon aquaculture in Atlantic Canada (lumpfish and cunner);  farmed salmonids on the east coast of Canada. MSX in Gulf Region. QC region: new recirculating aquaculture systems are being planned; what is the impact of effluent release for salmonid species in the receiving environment.",Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation des tendances historiques liées à la prévalence des pathogènes et des maladies dans les piscicultures existantes, à l’aide de données sur la santé des poissons venant de piscicultures et de vérifications.",AQ-01,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Aquaculture science,Aquaculture fish health,"Characterization of shedding rates of priority pathogens, and their survival and infectivity in marine environment to inform risk assessments; the potential connectivity between farm sites; and to support siting and stocking density decisions",AQ-02,"Infectious salmon anemia 
Diseases affecting: farmed salmonids in PAC Region, particularly chinook salmon found in West Coast Vancouver Island; farmed Sablefish in PAC Region; cleaner fish being used in Atlantic salmon aquaculture in Atlantic Canada (lumpfish and cunner);  farmed salmonids on the east coast of Canada. MSX in Gulf Region. QC region: new recirculating aquaculture systems are being planned; what is the impact of effluent release for salmonid species in the receiving environment.",Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation des taux d’élimination des pathogènes prioritaires, et de leur survie et de leur infectivité dans le milieu marin pour éclairer les évaluations des risques, favoriser la connectivité potentielle entre les sites piscicoles et appuyer les décisions relatives à l’emplacement et à la densité de stockage.",AQ-02,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?
"
Aquaculture science,Aquaculture fish health,Characterization of the importance of past exposure to pathogens on the immunological response and estimates of disease outcomes to support the assessment of risk to wild populations.,AQ-03,"Infectious salmon anemia 
Diseases affecting: farmed salmonids in PAC Region, particularly chinook salmon found in West Coast Vancouver Island; farmed Sablefish in PAC Region; cleaner fish being used in Atlantic salmon aquaculture in Atlantic Canada (lumpfish and cunner);  farmed salmonids on the east coast of Canada. MSX in Gulf Region. QC region: new recirculating aquaculture systems are being planned; what is the impact of effluent release for salmonid species in the receiving environment.",Science de l'aquaculture,Santé des poissons d'aquaculture,Caractérisation de l’importance de l’exposition passée à des pathogènes sur la réponse immunologique et estimations des résultats des maladies pour appuyer l’évaluation du risque pour les populations sauvages.,AQ-03,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Aquaculture science,Aquaculture fish health,Characterization of the infectious dose of priority pathogens of farmed and select wild species to inform the assessment of risks and support siting decisions.  ,AQ-04,"Infectious salmon anemia 
Diseases affecting: farmed salmonids in PAC Region, particularly chinook salmon found in West Coast Vancouver Island; farmed Sablefish in PAC Region; cleaner fish being used in Atlantic salmon aquaculture in Atlantic Canada (lumpfish and cunner);  farmed salmonids on the east coast of Canada. MSX in Gulf Region. QC region: new recirculating aquaculture systems are being planned; what is the impact of effluent release for salmonid species in the receiving environment.",Science de l'aquaculture,Santé des poissons d'aquaculture,Caractérisation de la dose infectieuse d’agents pathogènes prioritaires chez les espèces d’élevage et certaines espèces sauvages pour éclairer l’évaluation des risques et appuyer les décisions relatives à l’emplacement.  ,AQ-04,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans la salmoniculture de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada. MSX dans la région du Golfe. Région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Aquaculture science,Aquaculture fish health,"Characterization of the prevalence of single and mixed infections and of disease in wild populations (pathogens causing disease in farmed fish/shellfish), to support risk assessments of disease on farms, and of pathogen transfer.",AQ-05,"Infectious salmon anemia
Diseases affecting: farmed salmonids in Pacific Region, particularly chinook salmon found in West Coast Vancouver Island;   farmed Sablefish in Pacific Region;  cleaner fish being used in Atlantic salmon aquaculture in Atlantic Canada (lumpfish and cunner);  farmed salmonids on the east coast of Canada.
MSX in Gulf Region
In QC region: new recirculating aquaculture systems are being planned; what is the impact of effluent release for salmonid species in the receiving environment.
",Science de l'aquaculture,Santé des poissons d'aquaculture,"Caractérisation de la prévalence des infections uniques et mixtes et des maladies dans les populations sauvages (pathogènes causant des maladies chez les poissons d’élevage et les mollusques et crustacés), pour appuyer l’évaluation des risques de maladies dans les piscicultures et le risque de transfert de pathogènes.",AQ-05,"Anémie infectieuse du saumon
Maladies touchant : les salmonidés d’élevage dans la région du Pacifique, en particulier le saumon quinnat présent sur la côte ouest de l’île de Vancouver; la morue charbonnière d’élevage dans la région du Pacifique; les poissons nettoyeurs utilisés dans l’élevage du saumon de l’Atlantique au Canada atlantique (grosses poules de mer et tanches-tautogues); salmonidés d’élevage sur la côte Est du Canada.
MSX dans la région du Golfe.
Dans la région du Québec : de nouveaux systèmes d’aquaculture en recirculation sont prévus; quel est l’impact du rejet d’effluents sur les espèces de salmonidés dans le milieu récepteur?"
Aquatic ecosystems Sci.: AIS-SARA,Aquatic Invasive Species,Control & Management,AEa-01,Assess efficiency of control methods,Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Contrôle et gestion,AEa-01,Évaluer l’efficacité des méthodes de contrôle
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,"a) Development of cumulative effects models/frameworks
b) Application of previous frameworks aiming to address cumulative impacts or multiple stressors (e.g. ERAF)
c) development of Pathways of Effect for various activities in an Arctic environmental context","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"a) Élaboration de modèles/cadres d’effets cumulatifs.
b) Application de cadres antérieurs visant à prendre en compte les effets cumulatifs ou les agents de stress multiples (p. ex. Cadre d’évaluation du risque écologique cumulatif [CEREC]) 
c) Élaboration de séquences des effets pour diverses activités dans un contexte environnemental arctique."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,Exploring applicability of previous frameworks aiming to address cumulative impacts or multiple stressors (e.g. Ecological Risk Assessment Framework) ,"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,Exploration de l’applicabilité des cadres antérieurs visant à traiter des effets cumulatifs ou des agents de stress multiples (p. ex. CERE) 
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,"Improving understanding of the effects of: contaminants and other key physical, chemical and biological stressors; and how they contribute to cumulative effects, including development of thresholds, tipping points and forecasting of risk. Understanding how these tipping points may change under a changing climate ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Améliorer la compréhension des effets des contaminants et d'autres agents de stress physiques, chimiques et biologiques; et comment ils contribuent aux effets cumulatifs, incluant les limites, les points critiques et les risques liés aux prévisions. Comprendre l'influence du changement climatiques sur les points critiques."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,"Research to improve understanding of the effects of: contaminants and other key physical, chemical and biological stressors; and how they contribute to cumulative effects, including development of thresholds, tipping points and forecasting of risk. Improved understanding of how these tipping points may change under a changing climate.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Recherche visant à améliorer la compréhension des effets des contaminants et d’autres agents de stress physiques, chimiques et biologiques clés et de leur contribution aux effets cumulatifs, y compris l’établissement de seuils, de points de basculement et de prévisions du risque. Meilleure compréhension de la façon dont ces points de basculement peuvent changer sous un climat lui-même changeant."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,"Research to support cumulative effects assessment, modelling and advancement of regional cumulative effects assessment; and their applicability for spatial-based management such as MPA networks or MSP.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Recherche visant à appuyer l’évaluation des effets cumulatifs, la modélisation et l’avancement de l’évaluation régionale des effets cumulatifs, ainsi que leur applicabilité à la gestion spatiale comme les réseaux d’AMP ou la planification spatiale marine (PSM)."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Cumulative effects ,AEb-06,"Understanding the interactive effects of ecosystem dynamics, climate change, and human activities on ecosystems","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Comprendre les effets interactifs de la dynamiques des écosystèms, du changement climatique et des activités humaines sur les écosystèmes"
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Cumulative impacts - Measuring and understanding the cumulative impacts of freshwater aquaculture,AQ-13,"Given our lack of knowledge on impact effects, particularly far-field effects and changes to ecosystem functions, what are the potential cumulative impacts of freshwater aquaculture?",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Effets cumulatifs – Mesurer et comprendre les effets cumulatifs de l’aquaculture en eau douce,AQ-13,"Compte tenu de notre manque de connaissances sur les effets de l’aquaculture en eau douce, particulièrement les effets sur le terrain éloigné et les changements des fonctions écosystémiques, quels sont les effets cumulatifs potentiels de l’aquaculture en eau douce?"
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ",Data collection and assessment: fisheries impacts on aquatic species at risk,AEa-09,"Advice on estimating reasonable bycatch estimates for aquatic species at risk, and considering different management approaches and tolerances for risk of over-exploitation

",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",Collecte et évaluation des données : impacts de la pêche sur les espèces en péril,AEa-09,"Avis sur l’estimation des prises accessoires raisonnables pour les espèces aquatiques en péril et sur la prise en compte de différentes approches de gestion et de la tolérance au risque de surexploitation.
"
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ","Data collection and assessment: Improved capabilities of detecting, monitoring and assessing species, including data poor, rare, and/or sensitive species.",AEa-10,"Methodologies for the detection and assessment of life cycle, habitat use, and movement of data-poor, rare, and/or sensitive species, including species at risk ",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Collecte et évaluation des données : capacités améliorées de détection, de surveillance et d’évaluation des espèces, y compris les espèces pauvres en données, rares et/ou sensibles",AEa-10,"Méthodes de détermination et d’évaluation du cycle vital, de l’utilisation d’habitat et des déplacements d’espèces rares, sensibles ou pour lesquelles il existe peu de données, y compris les espèces en péril 
"
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,"Beluga
- Cumberland Sound Beluga stock composition and movement study 
FHPP: Science to support sustainable management of national priority marine mammal, fish and invertebrate stocks consistent with our responsibilities outlined in the amended Fisheries Act (2019)
",Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,"Béluga
-Étude de la composition et du déplacement des stocks de bélugas de la baie Cumberland.
PPPHP : Le Secteur des sciences doit appuyer la gestion durable des stocks de mammifères marins, de poissons et d’invertébrés prioritaires à l’échelle nationale, conformément aux responsabilités énoncées dans la Loi sur les pêches modifiée (2019)"
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,"FFHP - Monitoring: Emerging fisheries development
Emerging and exploratory fisheries are important aspects of advancing economically prosperous fisheries development in the Arctic. This must be achieved in accordance with the Sustainable Fisheries Framework which provides the basis for ensuring that Canadian fisheries support conservation and sustainable use of resources.  In support of the precautionary approach to fisheries management, stock assessment protocols to support data poor, small-scale emerging fisheries, similar to that which has been developed for Arctic Char, for various other species is required. Community interests are currently focused on shellfish, sea urchins, sea cucumbers, lake whitefish and lake trout.",Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,"PPH – Surveillance : Développement des pêches émergentes
Les pêches émergentes et exploratoires sont des aspects importants du développement de pêches économiquement prospère dans l’Arctique. Ce développement doit être réalisé conformément au Cadre pour la pêche durable, qui constitue le fondement permettant de s’assurer que les pêches canadiennes soutiennent la conservation et l’utilisation durable des ressources. À l’appui de l’approche de précaution à l’égard de la gestion des pêches, des protocoles d’évaluation des stocks semblables à ceux qui ont été élaborés pour l’omble chevalier et diverses autres espèces sont nécessaires pour soutenir les pêches émergentes à petite échelle sur lesquelles on dispose de peu de données. Les intérêts communautaires sont actuellement axés sur les mollusques et crustacés, les oursins de mer, les holothuries, le grand corégone et la truite grise."
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,"FFHP - Shellfish
Shellfish research in support of two recent CSAS requests in 2019 - please refer to those documents as they are well thought out and co-developed with research scientists for the baseline resource and knowledge needed for developing shellfish fisheries in Arctic Canada.
",Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,"PPH – Mollusques et crustacés
Recherche sur les mollusques et crustacés à l’appui de deux demandes récentes au SCCS en 2019 – se référer à ces documents, car ils sont bien pensés et élaborés conjointement avec des chercheurs scientifiques, pour les ressources et les connaissances de base nécessaires au développement de la pêche aux mollusques et crustacés dans l’Arctique canadien."
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,"FFHP - Status and biology of coastal/estuarine species with ‘lower’ economic value, and/or species which are data-deficient
Species such as wild molluscs, Spring Herring, Mackerel, Gaspereau, Silverside, Smelt and Rock Crab fit into this category with not high value commercial species but many have important local and recreational value.",Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,"PPH – Statut et biologie des espèces côtières et estuariennes de plus faible valeur économique ou des espèces pour lesquelles les données sont insuffisantes.
Des espèces telles que les mollusques sauvages, le hareng de printemps, le maquereau, le gaspareau, la capucette, l’éperlan et le crabe commun entrent dans cette catégorie d’espèces à faible valeur commerciale, mais plusieurs d’entre elles ont une valeur locale et récréative importante."
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,For under-monitored stocks (data-poor) and development of new/improved survey methodologies,Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,Pour les stocks sous-surveillés (sur lesquels ont dispose de peu de données) et l’élaboration de méthodes de relevés nouvelles ou améliorées.
Fisheries science,Stock assessment science,Data-poor or emerging fisheries,FS-08,"Narwhal - Baffin Bay 
a. Abundance estimates and sustainable harvest levels
b. Spring and fall catch (stock) composition
c. Somerset Island, East Baffin, Smith Sound, and Jones Sound Narwhal movement and distribution
d. Biological parameters for application in the JCNB model",Sciences halieutiques,Science de l'évaluation des stocks,Pêches émergentes ou sur lesquelles on dispose de peu de données,FS-08,"Narval – baie de Baffin 
a. Estimations de l’abondance et niveaux de capture durables.
b. Composition (stock) des prises du printemps et de l’automne.
c. Déplacements et répartition des narvals de l’île Somerset, de l’est de l’île de Baffin, du détroit de Smith et du détroit de Jones.
d. Paramètres biologiques à appliquer dans le modèle de la Commission mixte Canada-Groenland."
