Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Introductions et transferts,AQ-11,Élaborer un traitement d’atténuation efficace pour les espèces aquatiques envahissantes (EAE) (principalement les espèces d’ascidie) qui réduirait le risque à un niveau acceptable afin de permettre le transfert requis (conditions du permis de collecte de naissains) des collecteurs de naissains d’huîtres d’un plan d’eau infesté par des EAE vers un plan d’eau non infesté.
Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Introductions et transferts,AQ-11,Quel est l’impact environnemental de l’introduction d’huîtres dans les habitats « non indigènes » au Québec (c.-à-d. la côte nord de l’estuaire du Saint-Laurent et l’île d’Anticosti)?
Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Site et gestion du site,AQ-12,"Comment la présence de sites d’aquaculture de moules ou de poissons à nageoires influe-t-elle sur la répartition et la capturabilité des pêches commerciales (p. ex. homards, crabes communs, espèces pélagiques et poissons de fond)? (Objectif : réduire au minimum et éviter les impacts sur la capacité de pêche)."
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Effets cumulatifs – Mesurer et comprendre les effets cumulatifs de l’aquaculture en eau douce,AQ-13,"Compte tenu de notre manque de connaissances sur les effets de l’aquaculture en eau douce, particulièrement les effets sur le terrain éloigné et les changements des fonctions écosystémiques, quels sont les effets cumulatifs potentiels de l’aquaculture en eau douce?"
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Gestion par zone ou gestion par baie,AQ-14,"Recherche à l’appui de la prestation de conseils scientifiques pour répondre aux questions suivantes : 
a) Quel est le risque que posent les activités d’aquaculture pour les habitats marins à l’échelle des baies? 
b) Quels sont les composantes et les éléments combinés qui constituent ce risque (c.?à?d. les principales séquences d’effets, comme les médicaments autorisés et les pesticides homologués, le pou de mer, les pathogènes, les interactions génétiques)? 
Cette recherche devrait examiner les conséquences et la probabilité des interactions entre les activités d’aquaculture et les habitats marins à l’échelle des baies à partir d’une seule opération ou de plusieurs opérations et de voies uniques et multiples (c.-à-d. les effets cumulatifs).
"
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Médicaments et pesticides : surveillance et modélisation des impacts après le dépôt,AQ-15,"Recherche à l’appui de l’élaboration et de la prestation de conseils scientifiques qui répondent aux questions suivantes :  
a. Quels sont les risques pour les habitats marins à l’échelle des baies découlant du dépôt de pesticides homologués et de médicaments antiparasitaires autorisés qui sont gérés en vertu des politiques et règlements fédéraux et provinciaux existants (y compris les conditions d’octroi de permis)? 
b. Quelles sont l’ampleur et la portée des impacts à proximité et à grande distance? 
c. Y a-t-il des risques d’impacts à l’échelle des côtes et, si oui, quels sont-ils? 
d. Comment les politiques et les règlements atténuent-ils les risques? 
Il est possible d’établir un lien entre les résultats et les mesures de gestion adaptative, comme l’ajustement des règlements ou les conditions de permis. Ce processus devrait examiner ces impacts sur les deux côtes."
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Médicaments et pesticides : surveillance et modélisation des impacts après le dépôt,AQ-15,Comprendre la contribution et les conséquences de la résistance antimicrobienne associée à l’utilisation d’antibiotiques par l’industrie salmonicole.
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Impact des effluents de l’aquaculture en recirculation sur les salmonidés,AQ-16,"Caractérisation des déchets rejetés dans les systèmes d’aquaculture en recirculation en corrélation avec de nouvelles formulations de nourriture et des répercussions du rejet dans l’environnement de matières exerçant une demande biochimique d’oxygène.
Avec un accent particulier sur la production de phosphore."
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Impacts du pou de mer sur la gestion de l’aquaculture et la pêche sauvage,AQ-17,"Quels sont les niveaux naturels de pou de mer chez les cinq espèces de saumon sauvage du Pacifique et de saumon de l’Atlantique d’élevage dans les régions suivantes : 
Côte ouest de l’île de Vancouver
Îles Discovery
Quels sont les facteurs qui contribuent à ces niveaux naturels? Y a-t-il un lien entre les niveaux de pou de mer chez les poissons d’élevage et les poissons sauvages? Quelle est la variation naturelle des niveaux de pou de mer chez les poissons d’élevage et sauvages dans ces régions?
"
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Mollusques : Recherche à l’appui de la surveillance environnementale des mollusques fondée sur les risques,AQ-18,"a. Recherche visant à élaborer un outil de modélisation solide et complet pour éclairer les décisions et les recommandations relatives à l’emplacement de la conchyliculture afin de réduire au minimum les impacts sur le poisson et son habitat. 
b. Recherche visant à combler les lacunes en matière de connaissances cernées dans le cadre des séquences des effets liés à l’aquaculture pour mieux comprendre les effets de la conchyliculture.
c. Recherche pour appuyer l’utilisation d’indicateurs pour la surveillance des effets benthiques et pélagiques de la conchyliculture. Comment peut-on intégrer les activités de conchyliculture dans le cadre des séquences des effets liées à l’aquaculture? 

"
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Médicaments et pesticides : surveillance et modélisation des répercussions après le dépôt,AQ-19,"a) Conception des modèles à utiliser pour prédire la dispersion de médicaments et de pesticides; 
b) Validation des modèles sélectionnés dans différents environnements au Canada; 
c) Conception de schémas et de procédés d’échantillonnage pour les environnements présentant un substrat mixte et un substrat dur; 
d) Validation des seuils environnementaux associés aux médicaments et aux pesticides (protègent-ils trop ou pas assez les écosystèmes marins?);
e) Tendances liées à la persistance des médicaments intégrés à la nourriture dans différents environnements benthiques (différents substrats, différent niveau d’enrichissement, etc.);
f) Effets cumulatifs des médicaments (antiparasitaires, antibiotiques) et des pesticides : impacts synergiques et antagonistes potentiels (priorité à long terme)."
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Modélisation de la capacité de charge écologique,AQ-20,"a) S’appuyer sur le modèle existant de capacité de charge écologique élaboré dans la région du Golfe pour le rendre plus largement applicable, notamment en consultant les programmes provinciaux d’aquaculture pour dégager les grandes priorités en vue de recueillir des données de base sur la production primaire, des renseignements hydrographiques, etc. 
b) Vérifier si l’orientation, la taille, la forme et l’aménagement général des piscicultures ont un impact sur la capacité de charge écologique.

Un SCCS existant identifiera les lacunes d'information afin que les ressources soient disponibles pour soutenir le projet SCCS et combler les lacunes du sujet suivant:
c) Détermination des activités à faible impact et des pratiques d’élevage connexes au moyen de l’étude des intervalles de tolérance liés aux impacts de la conchyliculture sur les poissons et l’habitat du poisson. "
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Amélioration de la surveillance exigée par le Règlement sur les activités d’aquaculture ,AQ-21,"a) Comment les indicateurs visuels utilisés dans l’évaluation du fond dur se rapportent-ils aux changements dans la biodiversité?
(c.?à?d. liens avec les changements écosystémiques, selon une approche semblable à celle adoptée pour le nomogramme du sulfure) (Terre-Neuve-et-Labrador) 
b) Comment la mesure de portée de l’impact correspondant à 70 % des stations d’échantillonnage se rapporte-t-elle à la biodiversité globale du site d’aquaculture? (Terre-Neuve-et-Labrador) "
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Amélioration de la surveillance exigée par le Règlement sur les activités d’aquaculture,AQ-21,"Nécessité d’une évaluation scientifique des impacts pour déterminer si des rapports annuels sont requis pour les installations terrestres de petite taille dans le cadre du RAA. Cela refléterait le risque environnemental et l’ampleur de la modification, de la perturbation ou de la destruction du poisson ou de son habitat. 
"
Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Mesurer et comprendre les répercussions de l’aquaculture en eau douce ,AQ-22,"a) Déterminer si l’ammoniac interstitiel présente un bon potentiel de remplacement du sulfure comme indicateur d’anoxie prolongée et des conséquences connexes sur la communauté benthique en eau douce. 
b) Confirmation des liens entre les impacts localisés sur les espèces benthiques (y compris le type de substrat et l’état des sédiments), et de la demande biologique en oxygène (DBO) dans l’aquaculture en eau douce. 
c) Déterminer l’importance de la densité des organismes benthiques, de la structure du réseau alimentaire et des conditions environnementales sur le taux de fragmentation des déchets piscicoles et la libération d’éléments nutritifs (pour orienter l’établissement d’une densité minimale requise) dans les lacs.
d) Les indicateurs géochimiques et biologiques et les seuils d’impact qui ont été déterminés dans un site au lac Huron s’appliquent-ils à d’autres sites et à d’autres lacs? 
e) Confirmation de la présence et de l’identité des taxons benthiques sur les structures des cages afin de clarifier les effets et les seuils de perte de diversité qui découlent du dépôt générant une DBO, et manipulation appropriée des données pour la surveillance de l’aquaculture en eau douce."
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Contrôle et gestion,AEa-01,Évaluer l’efficacité des méthodes de contrôle
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Détection précoce et surveillance,AEa-02,"Activités qu’on a entreprises pour créer des réseaux de surveillance efficaces en vue de détecter rapidement les espèces aquatiques envahissantes ou non indigènes :
a. poursuivre le développement de l’ADNe comme outil de détection précoce pour les écosystèmes milieux d’eau douce et marins
b. valider les méthodes d’ADNe existantes pour les espèces et les régions géographiques
c. élaborer des méthodes de détection précoce de la vivipare orientale;
e. élaborer le métacodage à barres de l’ADNe en tant que méthode générale de détection précoce des EAE"
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Détection précoce et surveillance,AEa-02,"Détermination et évaluation des techniques et mesures visant à détecter les EAE et à y faire face, et présentation des études écologiques et biologiques à l’appui.
"
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Détection précoce et surveillance,AEa-02,"Meilleure connaissance et modélisation accrue des EAE (à l’exception des carpes asiatiques et des lamproies marines), y compris les plantes :
a) comprendre la biologie et le comportement de ces espèces;
b) accroître les connaissances sur les effets écologiques potentiels;
c) déterminer les zones à risque élevé.                                                                                                                                                              d) déterminer l'efficacité de la détection et de la surveillance précoces et des conseils pour les meilleures approches"
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Effets des EAE sur les écosystèmes,AEa-03,"Milieu marin – Recherche liée aux répercussions écologiques des EAE :
- effets du crabe vert sur les milieux de zostères et les populations indigènes de homards."
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Mesures d’intervention suivant la réception d’un rapport crédible d’introduction ou de propagation d’espèces aquatiques envahissantes ou non indigènes,AEa-04,"Efficacité des méthodes d’intervention :
Recherche visant à évaluer l’incidence des substances nocives sur l’écosystème par rapport au risque d’introduction ou d’établissement d’EAE (cas par cas); lac Piper – achigan à petite bouche (étude de cas potentielle);"
Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Mesures d’intervention suivant la réception d’un rapport crédible d’introduction ou de propagation d’espèces aquatiques envahissantes ou non indigènes,AEa-04,"Seuils de population pour l’intervention et le contrôle des EAE marines et d’eau douce : 
a. ascidie jaune, crabe vert, tanche;
b. détermination des seuils de population des EAE en vue de minimiser les répercussions sur les milieux abritant des poissons anadromes, des mollusques et des espèces protégées en vertu de la LEP;
c. espèces émergentes (p. ex. le Diplosoma).
"
Science des écosystèmes aquatiques: EAE-LEP,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,AEa-05,"Améliorer ou élaborer des outils et des méthodes
Élaborer des méthodes et des modèles novateurs pour appuyer l’analyse, la formulation d’avis et la prise de décisions (p. ex. produits de prévision des tsunamis, répartition des EAE et risques connexes, interactions avec l’aquaculture, risques liés aux pêches et planification des zones de protection marine [ZPM]).
"
Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,"Recherche pour éclairer la conception, la prestation et l'évaluation de la performance (p. Ex., Indicateurs et protocoles de surveillance) d'une approche prioritaire pour le rétablissement des espèces en péril dans les endroits prioritaires (Patrimoine naturel) et se concentrant sur les menaces prioritaires (Patrimoine naturel) ",AEa-06,"Patrimoine naturel - les menaces prioritaires (2021-22) comprennent : les répercussions des interactions avec la pêche (p. ex. empêtrement et prises accessoires); et, les perturbations physiques et acoustiques (p. ex. collisions avec des navires et bruit marin). 

Patrimoine naturel - Lieux prioritaires (2021-22): 
1. Zones prioritaire des bassins versant des fleuves Fraser et Colombia (Colombie-Britannique)
2. Zone prioritaire du versant est des montagnes Rocheuses (Alberta)
3. Zone prioritaire du Sud des Prairies (Alberta, Saskatchewan, Manitoba)
4. Zone prioritaire du bassin versant inférieur des Grands Lacs (Ontario)
5. Zone prioritaire des basses-terres du Saint-Laurent (Québec)
6. Zone prioritaire des rivières du sud du golfe du Saint-Laurent (Nouveau-Brunswick, Nouvelle-Écosse, ’Île-du-Prince-Édouard)
7. Zone prioritaire des bassins versants de la baie de Fundy et des hautes terres du Sud (Nouvelle-Écosse, Nouveau-Brunswick)"
Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,"Projets de recherche et de collecte de données propres aux menaces maritimes prioritaires (Patrimoine naturel 2021-22), comment atténuer ces menaces pour les espèces en péril et les conséquences de ces menaces sur le rétablissement et la survie des espèces, y compris l’élaboration d’outils d’analyse et de soutien décisionnel.                                     ",AEa-07,"Patrimoine naturel - les menaces prioritaires (2021-22) comprennent : les répercussions des interactions avec la pêche (p. ex. empêtrement et prises accessoires); et, les perturbations physiques et acoustiques (p. ex. collisions avec des navires et bruit marin). "
Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,Projets de recherche et de collecte de données propres aux milieux prioritaires d’eau douce (Patrimoine naturel 2021-22) visant à répondre aux éléments suivants : les lacunes en matière de connaissances en vue de faire progresser le rétablissement et la protection; les menaces et leur atténuation; les outils d’analyse ou de soutien décisionnel; les renseignements sur le cycle vital; et l’utilisation de l’habitat.,AEa-08,"Patrimoine naturel - Lieux prioritaires (2021-22): 
1. Zones prioritaire des bassins versant des fleuves Fraser et Colombia (Colombie-Britannique)
2. Zone prioritaire du versant est des montagnes Rocheuses (Alberta)
3. Zone prioritaire du Sud des Prairies (Alberta, Saskatchewan, Manitoba)
4. Zone prioritaire du bassin versant inférieur des Grands Lacs (Ontario)
5. Zone prioritaire des basses-terres du Saint-Laurent (Québec)
6. Zone prioritaire des rivières du sud du golfe du Saint-Laurent (Nouveau-Brunswick, Nouvelle-Écosse, ’Île-du-Prince-Édouard)
7. Zone prioritaire des bassins versants de la baie de Fundy et des hautes terres du Sud (Nouvelle-Écosse, Nouveau-Brunswick)
"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",Collecte et évaluation des données : impacts de la pêche sur les espèces en péril,AEa-09,"Avis sur l’estimation des prises accessoires raisonnables pour les espèces aquatiques en péril et sur la prise en compte de différentes approches de gestion et de la tolérance au risque de surexploitation.
"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Collecte et évaluation des données : capacités améliorées de détection, de surveillance et d’évaluation des espèces, y compris les espèces pauvres en données, rares et/ou sensibles",AEa-10,"Méthodes de détermination et d’évaluation du cycle vital, de l’utilisation d’habitat et des déplacements d’espèces rares, sensibles ou pour lesquelles il existe peu de données, y compris les espèces en péril 
"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Evaluation de l’efficacité des mesures d’évitement, d’atténuation et de compensation",AEa-11,"Les Sciences doivent orienter les pratiques exemplaires de compensation de l’habitat essentiel, y compris l’habitat riverain essentiel pour les poissons et les moules (PEP). Recherche visant à évaluer l’efficacité des mesures de gestion concernant l’atteinte des objectifs de conservation ou la prestation d’avantages en matière de conservation dans les écosystèmes d’eau douce.
"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",Zones d’importance écologique et biologique pour les mammifères marins,AEa-12,"Les données sur la répartition sont essentielles à la compréhension des zones d’importance écologique et biologique (ZIEB), à l’appui de l’établissement de ZPM et de la désignation de l’habitat essentiel (p. ex., rorqual bleu, baleine noire, baleine à bec commune, tortue luth), et à l’évaluation des répercussions des grands projets d’aménagement.

"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",Gamme d’influence des navires sur les baleines,AEa-13,"Recherche sur les impacts de diverses distances d'approche pour les mammifères marins à risque prioritaires, y compris l'épaulard (Pacifique)"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ",La science de base pour améliorer la compréhension des relations écologiques et des rôles des mammifères marins et de leurs proies,AEa-14,Évaluation annuelle du régime alimentaire des cétacés 
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril 
",Gamme d’influence des navires sur les baleines,AEa-13,"Recherche sur les avantages de: 
a. Limiter le nombre total de navires qui participent à l’activité dans une zone donnée ou observer une baleine/un groupe de baleines.
b. Limiter la durée pendant laquelle un ou plusieurs navires peuvent participer à des activités d’observation de baleines.
c. Limiter l’observation d’espèces ou de mères/baleineaux (ou l’adoption d’autres pratiques en leur présence).
d. Établir d’autres distances d’approche de baleines pour les navires commerciaux d’observation de baleines, conformément à un permis.
e. Établir des zones fermées pour l’observation commerciale de baleines ou des restrictions saisonnières concernant les activités d’observation de baleines."
