id,title,org,sector,type,status,date1,date2,contact,contact_org,comment1,comment2,comment3
1010,"Exploitation de spodumène, Mine North American Lithium, La Corne",Grand Conseil des Cris,DRGÉ-PPPH,Consultation,active,6/6/2012,,Marion,"ACÉE, MPO, BGGP",Information transmise,,
1011,"Exploitation tantale et lithium, projet minier Rose, Baie-James",Waskaganish,DRGÉ-PPPH,Consultation,active,11/21/2012,,Marion ,"ACÉE, MPO, TC, RNCan, ECCC",Commentaires écrits et rencontre,,
1012,"Projet minier, Mine Arnaud, Sept-îles",Matimekush - Lac John,DRGÉ-PPPH,Consultation,active,4/1/2013,,,"ACÉE, ECCC",Commentaires écrits,"Post-autorisation
Consultations sur le RÉA terminées par l'ACÉE
Consultations sur le REMM et sa compensation d'habitat du poisson terminées par ECCC
28 sept. 2017: envoyé par MPO lettre consultation sur suivi des effets du projet sur baie de sept Îles et plan compensatoire habitat poisson
Plan compensatoire REMM: reproche à ECCC de ne pas avoir été
 consultés sur le choix initial du site de compensation d'habitat du poisson.",
1013,"Projet minier, Mine Arnaud, Sept-îles",Uashat mak Mani-Utenam,DRGÉ-PPPH,Consultation,active,4/1/2013,,,"ACÉE, ECCC",Commentaires écrits,"Post-autorisation
Consultations sur le RÉA terminées par l'ACÉE
Consultations sur le REMM et sa compensation d'habitat du poisson terminées par ECCC
28 sept. 2017: envoyé par MPO lettre consultation sur suivi des effets du projet  sur baie de sept Îles et plan compensatoire habitat poisson",
1014,"Enrochement, stabilisation du CN, PM 41.5, riv. Matapédia, Ste-Florence",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,5/11/2015,,Annik,MPO,Information transmise,,
1015,"Construction terminal maritime, expansion Port de Saguenay, rivière Saguenay, Ste-Rose-du-Nord EP",Essipit,DRGÉ-PPPH,Consultation,active,8/13/2015,,,"ACÉE, MPO",Commentaires écrits,"ABC produite en 2015 par ACÉE
17 oct. 2016: rencontre technique comité fédéral-communauté
1er nov. 2016: reçu par ACÉE préoccupations de la commuauté.
14 février 2017: envoyé par ACÉE réponses du féd. aux préoccupations soumises le 1er nov.
25 mai 2017: reçu par ACÉE demande des 3 communautés.
10 juil. 2018: L’ACÉE a rencontré Essipit, Pekuakamiulnuatsh et Pessamit 
13 août 2018: reçu par ACÉE commentaires des 3 nations innues et des Hurons-Wendat sur le rapport d'Évaluation environnementale (RÉE) provisoire.
24 août 2018: Envoyé à ACÉE commentaires du MPO suite à la réception de ceux des PNs sur la version provisoire du RÉE.
27 sept. 2018: ACÉE a transmis son plan de consultation à la communauté. 
Augmentation traffic maritime: risques d'incidents, déversements, effets sur mammifères marins (ex. béluga et espèces d'intérêt), érosion de berges.
Effets ruit sur béluga: le fjord = milieu encaissé
Projet compensatoire: devait considérer la problématique de l'éperlan arc-en-ciel
Cloisonnement connaissances: demande d'accès à tous les doc. produits sur le béluga par le gouv. fédéral. 
Éude régionale sur le transport maritime dans le Saint-Laurent et le Fjord du Saguenay requise. 

Compensation: Les 3 communautés Innues ont demandé d’être consultées et 
de participer à la planification des projets de compensation et de suivi sur 
l’habitat du poisson, entre autres.",
1016,"Expansion des infrastructures portuaires, port de Montréal, fleuve St-Laurent, Contrecoeur - EP",Akwesasne,DRGÉ-PPPH,Consultation,active,1/15/2016,,Serge-Éric,ACÉE,Commentaires écrits et rencontre,"Pré-autorisation
ABC produite en mars 2016 par ACÉE
préoccupations: Impacts cumulatifs dans le fleuve Saint-Laurent",
1017,"Expansion des infrastructures portuaires, port de Montréal, fleuve St-Laurent, Contrecoeur - EP",Kahnawà:ke,DRGÉ-PPPH,Consultation,active,1/15/2016,,Serge-Éric,ACÉE,Commentaires écrits et rencontre,"Pré-autorisation
ABC produite en mars 2016 par ACÉE. 
14 mars 2016: envoyé par ACÉE au MCK, ébauche plan de consultation, résumé nature des impacts, droits et usages autoch. + lignes directrices de l'ÉE.
23 fév. 2017: envoyé par ACÉE au MCK, plan de travail de consultation et progr. de financement pour participer à l’ÉE.   
6 mars 2018: rencontre du MCK et du Comité technique (féd. et prov.) dans le cadre de l’ÉE (MPO a participé).
Préoccupations: Impacts cumulatifs dans le fleuve Saint-Laurent",
1018,"Expansion des infrastructures portuaires, port de Montréal, fleuve St-Laurent, Contrecoeur - EP",Kanesatake,DRGÉ-PPPH,Consultation,active,1/15/2016,,Serge-Éric,ACÉE,Commentaires écrits et rencontre,"Pré-autorisation
ABC produite en mars 2016 par ACÉE
préoccupations: Impacts cumulatifs dans le fleuve Saint-Laurent",
1019,"Réfection digue, centrale des Cèdres, fleuve St-Laurent, Les Cèdres",Akwesasne,DRGÉ-PPPH,Consultation,active,1/7/2017,,Serge-Éric,,Commentaires écrits et rencontre,"Pré-autorisation
7 déc. 2017: envoyé lettre d'initiation de consultation autorisation 35 + doc. de consultation. 
Pas de réponse à l'initiation de consultation de déc. 2017.",
1020,"Réfection digue, centrale des Cèdres, fleuve St-Laurent, Les Cèdres",Kahnawà:ke,DRGÉ-PPPH,Consultation,active,1/7/2017,,Serge-Éric,,Commentaires écrits et rencontre,"Pré-autorisation
7 déc. 2017: envoyé lettre d'initiation de consultation + doc. de consultation.
31 janv. 2018: reçu commentaires écrits de Kahnawake.
12 fév. 2018: répondu par courriel aux commentaires reçus. 
Comments Jan. 2018:
Process and timing: a full impacts assessement should be required; not  enough time/resources for appropriate consultations before the works in may 2018.
Fisheries impact: additionnal info. needed concerning the scope and extent of habitat compensation projects envisionned.
Meeting: required with HQ and DFO. 
Meeting may 2018:
MCK n'avait pas été avisé du projet par province. Préoccupations larges: mode gestion du barrage, amélioration concept de réfection de la digue. 
Utilisation du site de la digue pour la pêche et importance, entre autres, du doré jaune. Choix des sites de ocmpensation, espèce ciblée et ampleur des projets. 
Intérêt envers développement d'une relation, communication avec HQ et MPO.
Visite de site souhaitée. 
Visite site oct. 2018:
MCK veut que le promo. lui transmettre une version détaillée, plus à jour et traduite de la compensation. Questions sur le suivi de l'efficacité compensatoire et préoccupation sur le fait qu'Hydro n'ait pas de vision intégrée pour restaurer un niveau d'eau permettant le libre passage du poisson entre les barrages des Cèdres et de Saint-Thimothée. 
Lettre août 2019:
MCK veut: - une table de consultation avec HQ sur l'anguille/Connectivity
- les résultats de suivis de compensation
- HQ s'implique sur le suivi à long terme de l'anguille et l'alose et être  impliqué dans ces derniers.
-avoir les résultats de suivis des projets pilote du passage en amont de l'anguille et de l'alose au Barrge Beauharnois et Les Cèdres.",
1021,"Réfection digue, centrale des Cèdres, fleuve St-Laurent, Les Cèdres",Kanesatake,DRGÉ-PPPH,Consultation,active,1/7/2017,,Serge-Éric,,Commentaires écrits et rencontre,"Pré-autorisation
7 déc. 2017: envoyé lettre d'initiation de consultation autorisation 35 + doc. de consultation.
Pas de réponse à l'initiation de consultation.",. 
1022,"Reconstruction d’un pont, sécurité des usagers, barachois de Hope Town, Hope Town",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,1/19/2017,,,,Commentaires écrits,"Migration et reproduction poisson: considérer anguille d'Amérique et éperlan arc-en-ciel;
Mesures d'atténuatin: lacune dans prévention dedéversements pétroliers;
Ratios compensatoire: veulent comprendre l'analyse de la compensation par MPO;
Suivi environnementaux: souhaitent y participer.",
1023,"Construction autoroute 85 (phase 3), tronçon 2, travaux 2018-2019, Saint-Antonin",Malécites de Viger,DRGÉ-PPPH,Consultation,active,1/22/2017,,"Stéphanie, Annik ","INFC, MPO",Commentaires écrits,"Toujours en attente de la lettre de commentaires
",
1024,"Expansion des infrastructures portuaires, port de Montréal, fleuve St-Laurent, Contrecoeur - EP",Conseil de la Nation huronne-wendat,DRGÉ-PPPH,Consultation,active,2/23/2017,,Serge-Éric,ACÉE,Commentaires écrits et rencontre,"Pré-autorisation
ABC produite en mars 2016 par ACÉE (sans NHW)
23 fév. 2017: envoyé par ACÉE au GCNHW, plan de travail de consultation et progr. de financement pour participer à l’ÉE.
23 déc. 2017: envoyé par ACÉE lettre progr. aide financière pour consultations
Préoccupations: poisson et habitat du poisson
impacts cumulatifs du transport maritime
utilisation du corridor de dragage, 
accès au sites de pêche et de chasse durant travaux",
1025,"Expansion des infrastructures portuaires, port de Montréal, fleuve St-Laurent, Contrecoeur - EP",Grand Conseil de la Nation Waban-Aki,DRGÉ-PPPH,Consultation,active,2/23/2017,,Serge-Éric,ACÉE,Commentaires écrits et rencontre,"Préoccupations: poisson et habitat du poisson
impacts cumulatifs du transport maritime
utilisation du corridor de dragage, 
accès au sites de pêche et de chasse",
1026,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Algonquins of Ontario,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits et rencontre,"Consultations: 18 janv. 2017, durant consultations sur nouvelle LP, Conseil tribal nation algonquine Anishinabeg est inquiet sur le projet et consultations. 

Projet: 8 Mai 2017, dans lettre à SPAC, Communauté Kitigan Zibi Anishinabeg se montre en défaveur du projet.

Poisson: 18 juil. 2017, durant réunion avec SPAC, communauté de Wolf Lake reproche absence du MPO, car questions en lien avec le poisson.

Habitat poisson: 14 sept. 2017, lettre de la PN Kebaowek à la ministre de l'environement McKenna sur différentes préoccupations dont l'esturgeon. 
14 nov. 2017: Présentation de la PN Kebaowek aux différents ministères. 

Savoir autochtone et habitat du poisson: 20 juil. 2018, lettre des Alonquins of Ontario (AOO) à l'ACÉE. AOO demandent demande que leur savoir autochtone soit considéré pour protéger l'esturgeon et l'anguille dans le cadre du projet. Demande de considérer la libre circulation du poisson dans le choix des alternatives pour le barrage, ainsi que les impacts suivants : altération du régime hydrologique et sédimentaire de la rivière des Outaouais; modification de l'environnement bio-physique; érosion et sédimentation causées par les changements au réservoir et à la rivière; nécessité du maintien de la libre circulation du poisson entre l'aval et l'amont (notamment tous les stades de l'anguille); impacts du barrage sur la pêche autochtone. 


",
1027,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Kebawoek,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits et rencontre,Voir dans algonquins of ontario,
1028,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Métis Nation of Ontario,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits,Voir dans algonquins of ontario,
1029,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Nipissing First Nation’s ,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits,Voir dans algonquins of ontario,
1030,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Timiskaming ,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits et rencontre,Voir dans algonquins of ontario,
1031,"Remplacement barrage de Témiscamingue (côté du Québec), rivière des Outaouais, Témiscaming",Wolf Lake First Nation,DRGÉ-PPPH,Consultation,active,4/6/2017,,Marion,"ACÉE, SPAC, MPO, TC",Commentaires écrits et rencontre,Voir dans algonquins of ontario,
1032,"Recharge de plage et enrochement, protection des berges, golfe St-Laurent, Percé",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,4/19/2017,,,"MPO, TC",Commentaires écrits,"Feel comfortable with allowing this project to go forward;
Works an monitoring: Environmental monitoring: should be conducted throughout the project with a Mi’gmaq field monitor / Mi’gmaq contractors and workers be given priority / the construction schedule.",
1033,"Aménagement d’une plage, fleuve St-Laurent, arrondissement de Verdun",Akwesasne,DRGÉ-PPPH,Consultation,active,5/12/2017,,Annik,"MPO, TC",Commentaires écrits,Aucun retour ou commentaire reçu,
1034,"Aménagement d’une plage, fleuve St-Laurent, arrondissement de Verdun",Kahnawà:ke,DRGÉ-PPPH,Consultation,active,5/12/2017,,Annik,"MPO, TC",Commentaires écrits,"
Lettre 7 mars 2018 à MPO: 
Modèle prédictif: encore des incertitudes, veulent résultats de validation du modèle
Compensation d'habitat poisson: effets du projet sur espèces d'eau vive alors que compensation cible espèces d'eau calme. Réévaluation de la compensation par MPO souhaitée.
Suivi: communauté demande mises à jour régulières sur projet.

Lettre du 25 oct., 2018 à la ville de Verdun (MPO en cc.):  MCK confirme son accord au projet et sa satisfaction envers la consultation menée par la ville de Verdun qui devrait servir de modèle. ",
1035,"Aménagement d’une plage, fleuve St-Laurent, arrondissement de Verdun",Kanesatake,DRGÉ-PPPH,Consultation,active,5/12/2017,,Annik,"MPO, TC",Commentaires écrits,Aucun retour ou comentaire reçu,
1036,"Réfection pile du pont P-14256, sécurité usagers, rivière Cap-Chat, Cap-Chat",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,5/29/2017,,,,Commentaires écrits,"Post-autorisation
ABC produite en mai 2017 par MPO
29 mai 2017: envoyé lettre initiation consultation autorisation 35  + doc. de consultation
19 juin: rencontré SMM.  
5 juillet 2017: délivré autorisation 35
6 juillet 2017: informé SMM qu'autorisation 35 délivrée. Demande extension de délai pour commentaires",
1037,"Travaux d’urgence – Réfection ponceau, rte de l'Alverne, rivière du Loup, Pointe-à-la-Croix*",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Information,completed,6/14/2017,,,,Information transmise,14 juin 2017: envoyé lettre d'info. autorisation 35 urgence émise ,
1038,"Exploitation aurifère, projet minier Lac Windfall, territoire d’Eeyou Istchee Baie-James",Anishnabe du Lac Simon,DRGÉ-PPPH,Consultation,active,7/7/2017,,Marion ,"ACÉE, MPO, RNCan, ECCC, SC",Commentaires écrits et rencontre,,
1039,"Exploitation aurifère, projet minier Lac Windfall, territoire d’Eeyou Istchee Baie-James",Opticiwani,DRGÉ-PPPH,Consultation,active,7/7/2017,,Marion ,"ACÉE, MPO, RNCan, ECCC, SC",Commentaires écrits et rencontre,,
1040,"Exploitation aurifère, projet minier Lac Windfall, territoire d’Eeyou Istchee Baie-James",Waswanipi,DRGÉ-PPPH,Consultation,active,7/7/2017,,Marion ,"ACÉE, MPO, RNCan, ECCC, SC",Commentaires écrits et rencontre,,
1041,"Enrochement 3 ponceaux URG, route 299, cd multiples, TNO Lac-Casault, secteur Cascapédia",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1042,"Enrochement 3 ponts et ponceau URG, cd multiples, New Richmond, secteur Petite rivière Cascapédia",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1043,"Enrochement 3 ponts URG, rivière de Mont-Saint-Pierre et coulée à Layoute, Mont-Saint-Pierre",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1044,"Enrochement 4 ponceaux URG, cd multiples, Mont-Albert",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1045,"Enrochement berge et 12 ponceaux URG, cd multiples, Mont-Albert et Sainte-Anne-des-Monts",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1046,"Enrochement culées 3 ponts URG, rivières Bonaventure et Hall, secteur Bonaventure",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1047,"Enrochement et réfection 3 ponts et ponceau URG, cd multiples, secteur Cap-Chat",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1048,"Enrochement pont et ponceau URG, rivière Paquet et Petite rivière Rouge, secteur Mitis",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1049,"Enrochement pont P-01218, URG, rivière Escuminac, Escuminac",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1050,"Enrochement ponts et ponceau URG, ruisseau à Rebours et rivière à Claude, secteur Rivière-à-Claude",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1051,"Enrochement ponts et ponceaux URG, cd multiples, Saint-Maxime-du-Mont-Louis et Sainte-Madeleine",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1052,"Enrochement ponts et ponceaux URG, cd multiples, secteur Gaspé",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1053,"Enrochement ponts et ponceaux URG, cd multiples, secteur Marsoui-La Martre",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1054,"Enrochement ponts et ponceaux URG, cd multiples, secteur Percé",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1055,"Reconstr perrés ponceau P-14884 et stabil rte 195 URG, Petite riv Matane et riv Matane, sect Matane",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1056,"Reconstruction perré ponceau P-08682, URG, route 297, ruisseau sans nom, Saint-Damase",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1057,"Reconstruction perrés et enrochement ponts/ponceaux URG, cd multiples, secteur Matapédia-Ristigouche",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,active,9/27/2017,,,MPO,Information transmise,,
1058,"Reconstruction perrés ponceau P-04381, URG, route 132, fleuve Saint-Laurent, Baie-des-Sables",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Consultation,completed,9/27/2017,,,MPO,Information transmise,,
1059,"Travaux d’urgence –  Stabilisation berge, Riv. Cascapedia , Rte 299, TNO Riv. Bonaventure*",Secrétariat Mi'gmawei Mawiomi,DRGÉ-PPPH,Information,completed,9/27/2017,,,,Information transmise,27 sept. 2017: envoyé lettre d'info. autorisation 35 urgence émise ,
1060,"Construction ponts ferroviaires, projet REM, canal Lachine et ruisseau Bertrand, Montréal incluant les sous-projets suivants: 
- Relocalisation du ruisseau des Prairies (autorisé);
- Pont sur le chenal de l'île-des-sœurs (en cours de consult);
- Pont sur la rivière des Mille-îles (à venir);
- Pont sur la rivière des Prairires (en cours de consult).",Kahnawà:ke,DRGÉ-PPPH,Consultation,active,21-Nov-17,,Serge-Éric,"INFC, TC, MPO, 
PJCCI, PC",Commentaires écrits,"Après l’envoi des lettres de nov. 2017, IC a reçu une réponse officielle uniquement de la part de Kanawhà :ke. 
Date: envoi par TC du plan de consultation sur le projet global, général pour commentaires. 

Courriel du 4 oct.2018: ; MCK indique ne pas avoir d'autre commentaire sur la relocalisation du ruisseau des prairies. Demande le rapport arhéologique et d'être informés si artifacts archéologiques sont trouvés sur le site. 

Rencontre du 15 oct. 2018 avec TC: le MCK pose 2 questions pour le MPO sur la façon dont il analyse les sous-projets et considère les effets cumulatifs. 

Échange du 1er février 2019: deux grandes préoccupation préliminaires 1; impacts environnementaux du découpage du projet de construction en 3 phases; 2. fish habitat compensation project is not mitigating the impatson Kahnawake fisheries practises. 

Lettre réponse du 12 février 2019 aux feds: MCK demande 7 mesures d'accomodement parmi lesquelles l'augmentation de la période de restriction, la prise en compte des effets cumulatifs du projet et participer eu choix du site de compensation et la participation aux suivis,  financement d'un atelier sur le savoir autochtone vs esturgeon jaune, amélioration du processus de consultation (plus de temps). 

Réunion 3 mai: préoccupations résiduelles sur l'application du principe de précaution vs. période de restriction plus permissive de MPO que MDDELCC. Demande de recevoir les données mentionnées par le MPO (carte du MFFP) sur la dustribution des populations d'esturgeons jaunes secteur Kahnawake. ",
