name_eng,name_ind,abbrev,address,mailing_address,city,postal_code,province,phone,fax,dfo_contact_instructions,notes,key_species,former_name,website,council_quorum,next_election,election_term,new_coucil_effective_date,population_on_reserve,population_off_reserve,population_other_reserve,fin,processing_plant,Grouping
Matsqui First Nation,,MatFN,31989 Harris Rd,PO BOX 10,Matsqui,V4X 3R2,10,604-826-6145,604-826-7009,,,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=565&lang=eng,,6/30/2022,,,,,,,,First Nation
Metis Nation BC,,MNBC,107-5668 192 St.,,Surrey,V3S 2V7 ,10,604-557-5851,778-571-9402,"TMX CDCR email:
President N/A
cc Leona Shaw
Senior Director-Ministry of Environmental Protection and Metis Rights
lshaw@mnbc.ca
cc Lissa Smith
Vice President
lsmith@mnbc.ca

***President was removed, her email was cmorin-dalcol@mnbc.ca***

P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.mnbc.ca/,,,,,,,,,,First Nation
Metlakatla First Nation,,MeFN,3 L Dunncan,"PO Box 459
",Prince Rupert,V8J 3R2,10,250-628-3234,250-628-9205,"8T100 Primary Contact
Anna Usborne
Environmental Assessments
Coordinator
ausborne@metlakatla.ca
William Nelson
Marine Planning
wnelson@metlakatla.ca
Ross Wilson
Executive Director
rwilson@metlakatla.ca",,,,http://www.metlakatla.ca/,,8/27/2022,,,,,,,,First Nation
Mowachaht/Muchalaht First Nations,,MoMuFN,100 Ouwatin Rd. ,"PO BOX 459
Gold River, BC 
V0P 1G0 ",Tsaxana,V0P 1G0 ,10,250-283-2015 ,250-283-2335,"Band Administrator
Wanda Wilson
admin@yuquot.ca

Lands Manager
Dorothy Hunt
lands@yuquot.ca",,,,http://mmfn.ca/,,,,,,,,,,First Nation
Musqueam Indian Band,,MIB,6735 Salish Drive,,Vancouver,V6N 4C4,10,604-263-3261,,"Main contacts are:
Laura Sparrow, Fisheries Manager
fisheriesmanager@musqueam.bc.ca
Zoe Craig, Accomodation Support
zoecraig@live.com
Helen Wu, Financial Coordinator
helen.wu@musqueam.bc.ca",,,,https://www.musqueam.bc.ca/,,11/30/2024,,,,,,,,First Nation
Namgis First Nation,,NaFN,49 Atli Street,"PO BOX 210
",Alert Bay,V0N 1A0,10,250-974-5556 ,250-974-5900 ,"8T100 Primary Contact
Harry Alfred
Sr. Lands & Resources Officer
Harry.Alfred@namgis.bc.ca",,,,http://www.namgis.bc.ca/,,5/12/2023,,,,,,,,First Nation
Nanwakolas Council,,NC,1441 16th Avenue,,Campbell River,V9W 2E4,10,250-286-7200,,"8T100 Primary Contact
Barb Dinning
Marine Planner/GIS Analyst
bdinning@nanwakolas.com
John Bones
Marine Planning Coordinator
jgbonesconsulting@gmail.com
Susan McEwan
Finance Director
SusanMcEwen@nanwakolas.com ",,,,https://nanwakolas.com/,,,,,,,,,,First Nation
Naut'sa Mawt Tribal Council,,NaTC,330-6165 Highway 17A,,Delta,V4K 5B8,10,(250) 324-1800,,"Gary Reith
CAO
GaryR@nautsamawt.com",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/TCMain.aspx?TC_NUMBER=1024&lang=eng,,,,,,,,,,First Nation
Nisga’a Nation,,NN,2000 Lisims Drive,"PO Box 231
",New Aiyansh,V0J 1A0,10,250-633-3000,,"8T100 Primary Contact
Walter McKay
Director / Enforcement and Emergency Services
walterm@nisgaa.net
Anthony Moore
Emergency Response Services Manager
anthonym@nisgaa.net",,,,http://www.nisgaanation.ca/,,11/2/2024,,,,,,,,First Nation
Nuchatlaht First Nation,,NuFN,612 Keno,"PO BOX 40
",Zeballos,V0P 2A0,10,250-332-5908,250-332-5907,,,,,https://www.nuchatlaht.com/,,,,,,,,,,First Nation
Nuu-chah-nulth Tribal Council,,NuuTC,5001 Mission Rd.,"PO Box 1383
",Port Alberni,V9Y 7M2,10,250-724-5757,250-723-0463,"President 
Judith Sayers
judith.sayers@nuuchahnulth.org",,,,https://nuuchahnulth.org/,,,,,,,,,,First Nation
Nuxalk Nation,,NxN,,PO BOX 65,Bella Coola,V0T 1C0,10, (250) 799-5613,(250) 799-5426,,,,,https://nuxalknation.ca/,,6/20/2023,,,,,,,,First Nation
Pacheedaht First Nation,,PtFN,350 Kalaid Street,PO Box 170,Port Renfrew,V0S 1K0,10,250-647-5521,250-647-5561,"TMX CDCR primary contact:
Kristine Gatzke (nee Pearson)
Referrals Coordinator
referrals@pacheedaht.ca
cc Eric Denhoff
CDCR Project Manager
edenhoff@shaw.ca
***touch base with Ève Harbour-Marsan before communication***


P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=658&lang=eng,,1/25/2022,,,,,,,,First Nation
Pauquachin First Nation,,PnFN,9010 W Saanich Rd.,,North Saanich,V8L 5W4,10,250-656-0191,250-656-6135,"TMX CDCR primary contact:
Martin Louis 
MLO
MLO@pauquachin.com
cc Susan Miller 
Band Administrator
susan@pauquachin.com

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.pauquachin.ca/,,10/23/2022,,,,,,,,First Nation
Penelakut Tribe,,PT,Clam Bay Rd N.,"PO Box 360
",Chemainus,V0R 1K0,10,250-246-2321,250-246-2725 ,"TMX CDCR email:
Chief Joan (Ozzie) Brown
chiefbrown@penelakut.ca
***CC all the others*** 

Financial Contact
Rob Morton
rob.morton@penelakut.ca
250-246-2321

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://penelakut.ca/,,2/19/2024,,,,,,,,First Nation
Qualicum First Nation,,QualFN,5850 RIVER ROAD,,Qualicum Beach,V9K 1Z5,10,(250) 757-9337 , (250) 757-9898,,,,,https://www.qualicumbeach.com/,,8/9/2023,,,,,,,,First Nation
Quatsino First Nation,,QuatFN,305 Quattishe Rd.,,Coal Harbour,V0N 1K0,10,250-949-6245 ,250-949-6249 ,,,,,https://quatsinofn.com/,,12/4/2022,,,,,,,,First Nation
Scianew (Beecher Bay) First Nation,,ScFN,"4901B East Sooke Road
RR #6 E",,Sooke,V9Z 1B6,10, 250-478-3535,250-478-3585,"TMX CDCR primary contact:
Trina Sxwithul'txw
Project Manager
trina@beecherbay.ca

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://beecherbay.ca/,,10/8/2023,,,,,,,,First Nation
Semiahmoo First Nation,,SeFN,16049 BEACH ROAD,,Surrey,V3S 9R6,10,604-536-3101,,"Addressed to:
Chief Harley Chappell
hchappell@semiahmoofirstnation.org
cc Jennine Cook 
Council
j.cook@semiahmoofirstnation.org
cc Joanne Charles 
Council
jcharles@semiahmoofirstnation.org
(or semiahmoojoanne@gmail.com)

P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=569&lang=eng,,12/27/2022,,,,,,,,First Nation
Shíshálh Nation (Sechelt),,SN,5555 SUNSHINE COAST HWY,"PO BOX 740
",Sechelt,V0N 3A0,10,(604) 885-2273,(604) 885-3490,,,,,https://shishalh.com/,,3/31/2023,,,,,,,,First Nation
Snaw-naw-as (Nanoose) First Nation,,FN,209 Mallard Way,,Lantzville,V0R 2H0 ,10,250-390-3661,250-390-3365,"TMX CDCR primary contact:
Cory Bob
Associate Operations Manager
cory.bob@nanoose.org

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://snawnawas.org/,,1/17/2022,,,,,,,,First Nation
Snuneymuxw First Nation (Nanaimo),,SnFN,668 Centre St.,,Nanaimo,V9R 4Z4,10,250-740-2300,250-753-3492,"TMX CDCR primary contact:
Erralyn Thomas
Council
erralynt@snuneymuxw.ca
cc Buster Bell
CDCR Liaison
busterb@snuneymuxw.ca


P4P0 rep: Christine Marques (christine.marques@canada.ca)
Please reach out to Christine for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.snuneymuxw.ca/,,2/1/2022,,,,,,,,First Nation
Songhees Nation,,SoFN,1100 ADMIRALS RD,,Victoria,V9A 2P6,10,250-386-1043,,"P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.songheesnation.ca/,,6/22/2025,,,,,,,,First Nation
Squamish Nation,,SqN,,"PO BOX 86131
",North Vancouver,V7J 2J3,10,(604) 980-4553,(604) 980-4523,"Given their unique situation and past correspondence, address email to Michelle only, with a note to give your warm regards to Chief and Council K/DR P4PO Contact is Sean Glen Sean Wouters Seanglen.wouters@canada.ca",,,,https://www.squamish.net/,,,,,,,,,,First Nation
Stz’uminus First Nation (Chemainus),,StFN,12611-A Trans Canada Hwy.,,Ladysmith,V9G 1M5 ,10,250-245-7155,250-245-3012,"MX CDCR email: 
Chief Harris
chief@stzuminus.com
Ronda Jordan (no one cc'd) 
Director
Ronda.jordan@stzuminus.com

P4P0 rep: Christine Marques (christine.marques@canada.ca)
Please reach out to Christine for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://www.stzuminus.com/,,,,,,,,,,First Nation
Tla'amin Nation,,TlN,4779 Klahanie Road.,,Powell River,V8A 0C4 ,10,604-483-9646,,"Donna Tom
General Enquiries
reception@tn-bc.ca

PIER Contact
Rod Allan (on leave)
CAO
rod.allan@tn-bc.ca
cc Denise Smith
Lands and Resources, Building Permits, Harvesting Permits and Referrals
denise.smith@tn-bc.ca
cc Jolene Sutcliffe
Financial and Accounting Enquiries
jolene.sutcliffe@tn-bc.ca

***Richard Gage
Acting CAO
richard.gage@tn-bc.ca",,,,https://www.tlaaminnation.com/,,10/16/2024,,,,,,,,First Nation
Tla-o-qui-aht First Nation,,TtFN,1119 Pacific Rim Hwy,"PO BOX 18
",Tofino,V0R 2Z0 ,10,(250) 725-3350,(250) 725-3352,,,,,https://www.tla-o-qui-aht.org/,,5/13/2022,,,,,,,,First Nation
Tlatlasikwala First Nation,,TlFN,113 Bull Harbour,"PO BOX 339
",Port Hardy,V0N 2P0,10,,(250) 902-0538 ,"Tiffany Charlie
Project Referrals and Consultations
tlatlasikwala1@outlook.com",,,,http://www.tlatlasikwala.com/,,,,,,,,,,First Nation
Tlowitsis Nation,,TN,1345 BUTE CRESCENT,,Campbell River,V9H 1G6,10,(250) 923-7815,(250) 923-7816 ,,,,,https://www.tlowitsisnation.ca/,,,,,,,,,,First Nation
Toquaht Nation,,ToN,1971 Peninsula Road,"PO BOX 759
",Ucluelet,V0R 3A0,10,(250) 726-4230 ,(250) 726-4403 ,"TMX CDCR email:
Chief Georgina Livingstone
georgina@lcfn.ca
Consultant
Michelle Corfield 
michellecorfield@shaw.ca
Kathleen Johnnie
Referral Coordinator
salishkat@icloud.com
cc Aaron Hamilton
Operations Manager
aaron@lcfn.ca

P4P0 rep: Ruby Bissett (ruby.bissett@canada.ca)
Please reach out to Ruby for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,http://www.toquaht.ca/,,,,,,,,,,First Nation
